tau,pct_hold,pct_buy,pct_sell,sharpe,cumul_return,return_vs_bh,max_drawdown,win_rate,profit_factor,f1_macro,f1_buy,f1_sell,f1_hold
baseline(argmax),48.3,23.3,28.4,1.2516,20.5587,17.3595,-0.4191,0.5156,1.378,0.4167,0.3527,0.3459,0.5516
0.3,69.3,15.8,14.9,0.7182,3.4843,0.2851,-0.4975,0.4897,1.2629,0.3723,0.2693,0.2513,0.5964
0.32,61.1,19.1,19.8,0.934,6.9145,3.7153,-0.4072,0.5126,1.3117,0.3994,0.3139,0.2987,0.5856
0.34,49.7,23.3,27.0,1.0081,11.0029,7.8037,-0.4255,0.5114,1.3014,0.4175,0.3482,0.3422,0.5621
0.36,38.8,27.8,33.4,1.1215,16.8994,13.7002,-0.4252,0.5104,1.3076,0.4049,0.372,0.3477,0.495
0.38,24.5,33.0,42.5,0.9229,10.9697,7.7705,-0.4946,0.5011,1.2199,0.3817,0.3797,0.3677,0.3976
0.4,9.4,38.1,52.5,0.7526,7.0944,3.8952,-0.5186,0.4936,1.1607,0.3247,0.3785,0.3792,0.2165
0.42,1.8,41.0,57.2,0.7443,7.1101,3.911,-0.5438,0.4994,1.1529,0.2763,0.381,0.3878,0.0602
0.44,0.1,42.0,57.9,0.7174,6.5477,3.3485,-0.554,0.4991,1.146,0.2556,0.377,0.3871,0.0027
0.46,0.0,42.1,57.9,0.7167,6.5331,3.3339,-0.554,0.4988,1.1459,0.2546,0.3767,0.3871,0.0
0.48,0.0,42.1,57.9,0.7167,6.5331,3.3339,-0.554,0.4988,1.1459,0.2546,0.3767,0.3871,0.0
0.5,0.0,42.1,57.9,0.7167,6.5331,3.3339,-0.554,0.4988,1.1459,0.2546,0.3767,0.3871,0.0
0.52,0.0,42.1,57.9,0.7167,6.5331,3.3339,-0.554,0.4988,1.1459,0.2546,0.3767,0.3871,0.0
0.54,0.0,42.1,57.9,0.7167,6.5331,3.3339,-0.554,0.4988,1.1459,0.2546,0.3767,0.3871,0.0
0.56,0.0,42.1,57.9,0.7167,6.5331,3.3339,-0.554,0.4988,1.1459,0.2546,0.3767,0.3871,0.0
0.58,0.0,42.1,57.9,0.7167,6.5331,3.3339,-0.554,0.4988,1.1459,0.2546,0.3767,0.3871,0.0
0.6,0.0,42.1,57.9,0.7167,6.5331,3.3339,-0.554,0.4988,1.1459,0.2546,0.3767,0.3871,0.0
0.62,0.0,42.1,57.9,0.7167,6.5331,3.3339,-0.554,0.4988,1.1459,0.2546,0.3767,0.3871,0.0
0.64,0.0,42.1,57.9,0.7167,6.5331,3.3339,-0.554,0.4988,1.1459,0.2546,0.3767,0.3871,0.0
0.66,0.0,42.1,57.9,0.7167,6.5331,3.3339,-0.554,0.4988,1.1459,0.2546,0.3767,0.3871,0.0
0.68,0.0,42.1,57.9,0.7167,6.5331,3.3339,-0.554,0.4988,1.1459,0.2546,0.3767,0.3871,0.0
0.7,0.0,42.1,57.9,0.7167,6.5331,3.3339,-0.554,0.4988,1.1459,0.2546,0.3767,0.3871,0.0
