modelo,tipo,ticker,experimento,w_lr,w_xgb,test_f1_macro,test_f1_buy,test_f1_hold,test_f1_sell,test_f1_buy_sell_avg,test_accuracy,test_signal_buy,test_signal_hold,test_signal_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test
Ensemble-LR-XGB,por_ticker,AAPL,A,0.0,1.0,0.3596,0.2689,0.4714,0.3385,0.3037,0.38,19.4,45.4,35.2,0.5421,0.0572,0.912,-0.1749,0.5311,1.2684
Ensemble-LR-XGB,por_ticker,NVDA,A,0.0,1.0,0.3598,0.2878,0.4643,0.3274,0.3076,0.378,23.8,48.6,27.6,0.8711,-2.0245,0.8077,-0.5052,0.5409,1.2121
Ensemble-LR-XGB,por_ticker,TSLA,A,0.0,1.0,0.3805,0.3525,0.4372,0.3519,0.3522,0.386,21.8,39.8,38.4,2.5307,1.7014,1.1954,-0.3362,0.5548,1.303
Ensemble-LR-XGB,por_ticker,AMZN,A,0.0,1.0,0.3935,0.3077,0.465,0.4079,0.3578,0.406,19.8,39.6,40.6,0.4553,-0.0956,0.7169,-0.2699,0.5265,1.175
Ensemble-LR-XGB,por_ticker,MSFT,A,0.0,1.0,0.3827,0.381,0.4583,0.3089,0.3449,0.392,43.6,34.6,21.8,0.2762,-0.0579,0.623,-0.2159,0.5627,1.1496
Ensemble-LR-XGB,por_ticker,GOOGL,A,0.0,1.0,0.3762,0.3259,0.4417,0.3609,0.3434,0.384,23.0,41.2,35.8,0.059,-1.2296,0.1226,-0.2903,0.5,1.028
Ensemble-LR-XGB,por_ticker,META,A,0.0,1.0,0.3494,0.2937,0.3406,0.4141,0.3539,0.36,22.2,23.6,54.2,0.5485,-0.388,0.6342,-0.3793,0.4921,1.1508
Ensemble-LR-XGB,global,GLOBAL,A,0.0,1.0,0.3868,0.3278,0.4655,0.3671,0.3474,0.3957,24.1,38.7,37.1,30.1451,-65.8866,0.7014,-0.4491,0.5105,1.1836
Ensemble-LR-XGB,por_ticker,AAPL,B,0.0,1.0,0.3256,0.2375,0.396,0.3433,0.2904,0.3306,38.7,37.9,23.4,0.2235,0.0986,0.6995,-0.1506,0.539,1.2006
Ensemble-LR-XGB,por_ticker,NVDA,B,0.05,0.95,0.3317,0.2241,0.4433,0.3277,0.2759,0.3508,19.4,33.9,46.8,0.1262,-0.2301,0.2909,-0.5114,0.4939,1.0649
Ensemble-LR-XGB,por_ticker,TSLA,B,0.0,1.0,0.425,0.4,0.49,0.3851,0.3925,0.4315,26.6,37.1,36.3,2.1299,1.9317,2.1153,-0.1956,0.5705,1.5845
Ensemble-LR-XGB,por_ticker,AMZN,B,0.0,1.0,0.4075,0.4091,0.451,0.3625,0.3858,0.4113,24.2,42.7,33.1,0.7586,0.7027,2.0193,-0.1536,0.5845,1.6351
Ensemble-LR-XGB,por_ticker,MSFT,B,0.0,1.0,0.3778,0.3265,0.4551,0.3516,0.3391,0.379,31.9,25.0,43.1,-0.1364,-0.3096,-0.6459,-0.2188,0.4624,0.8696
Ensemble-LR-XGB,por_ticker,GOOGL,B,0.1,0.9,0.3125,0.3046,0.3795,0.2533,0.279,0.3185,29.4,39.1,31.5,-0.2997,-0.963,-1.4126,-0.363,0.4636,0.7238
Ensemble-LR-XGB,por_ticker,META,B,0.25,0.75,0.3576,0.3506,0.3846,0.3375,0.3441,0.3589,33.1,34.7,32.3,0.2624,0.1476,0.6761,-0.1941,0.4753,1.1729
Ensemble-LR-XGB,global,GLOBAL,B,0.0,1.0,0.3901,0.3578,0.4344,0.3782,0.368,0.3929,29.0,30.8,40.2,7.8717,4.6726,0.85,-0.3928,0.5116,1.2133
Ensemble-LR-XGB,por_ticker,AAPL,C,0.1,0.9,0.3453,0.2822,0.3874,0.3662,0.3242,0.3468,39.9,33.5,26.6,0.2954,0.1705,0.893,-0.127,0.5394,1.2496
Ensemble-LR-XGB,por_ticker,NVDA,C,0.0,1.0,0.3703,0.2545,0.48,0.3763,0.3154,0.3911,16.9,32.7,50.4,0.3114,-0.0449,0.6465,-0.4819,0.515,1.1459
Ensemble-LR-XGB,por_ticker,TSLA,C,0.0,1.0,0.3939,0.3972,0.4432,0.3412,0.3692,0.3952,29.0,31.0,39.9,0.2086,0.0105,0.3371,-0.3639,0.5263,1.0717
Ensemble-LR-XGB,por_ticker,AMZN,C,0.0,1.0,0.3796,0.3611,0.4362,0.3415,0.3513,0.3831,29.0,36.3,34.7,0.3638,0.3079,1.0844,-0.1244,0.519,1.2776
Ensemble-LR-XGB,por_ticker,MSFT,C,0.0,1.0,0.3647,0.3504,0.4242,0.3196,0.335,0.3629,27.8,24.2,48.0,-0.2309,-0.4041,-1.1592,-0.2968,0.4255,0.7774
Ensemble-LR-XGB,por_ticker,GOOGL,C,0.0,1.0,0.3321,0.3125,0.3598,0.324,0.3183,0.3347,20.2,36.7,43.1,-0.0885,-0.7518,-0.3665,-0.271,0.4841,0.924
Ensemble-LR-XGB,por_ticker,META,C,0.0,1.0,0.3188,0.319,0.3889,0.2484,0.2837,0.3226,36.7,33.9,29.4,-0.171,-0.2858,-0.5449,-0.2898,0.4207,0.8797
Ensemble-LR-XGB,global,GLOBAL,C,0.0,1.0,0.3865,0.3413,0.465,0.3532,0.3473,0.3929,24.7,34.4,40.9,1.003,-2.1962,0.2711,-0.4993,0.4899,1.0647
