modelo,tipo,ticker,experimento,conf_buy,conf_sell,test_f1_macro,test_f1_buy,test_f1_hold,test_f1_sell,test_f1_buy_sell_avg,test_accuracy,test_signal_buy,test_signal_hold,test_signal_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test
LR-confidence-filter,por_ticker,AAPL,A,0.34,0.34,0.363,0.2984,0.4858,0.3049,0.3016,0.38,21.4,42.8,35.8,0.4186,-0.0663,0.717,-0.1792,0.479,1.197
LR-confidence-filter,por_ticker,NVDA,A,0.34,0.34,0.305,0.013,0.5504,0.3515,0.1823,0.402,0.4,62.2,37.4,-0.5274,-3.423,-0.9754,-0.5417,0.4444,0.7652
LR-confidence-filter,por_ticker,TSLA,A,0.34,0.34,0.3954,0.306,0.547,0.3333,0.3197,0.426,23.2,53.8,23.0,1.269,0.4397,0.817,-0.4028,0.5584,1.227
LR-confidence-filter,por_ticker,AMZN,A,0.34,0.34,0.3268,0.2365,0.5724,0.1714,0.2039,0.42,11.0,77.0,12.0,0.1853,-0.3656,0.4054,-0.2371,0.5043,1.1591
LR-confidence-filter,por_ticker,MSFT,A,0.34,0.34,0.3488,0.3563,0.5145,0.1756,0.266,0.39,41.8,47.2,11.0,0.1453,-0.1887,0.3694,-0.2776,0.5189,1.0967
LR-confidence-filter,por_ticker,GOOGL,A,0.34,0.34,0.3659,0.3322,0.5424,0.2232,0.2777,0.406,28.0,55.0,17.0,-0.2596,-1.5482,-0.665,-0.3563,0.4889,0.8435
LR-confidence-filter,por_ticker,META,A,0.34,0.34,0.3479,0.3345,0.5092,0.2,0.2672,0.39,30.4,56.4,13.2,0.1087,-0.8278,0.1848,-0.2943,0.4862,1.0537
LR-confidence-filter,global,GLOBAL,A,0.3681818181818182,0.34,0.3694,0.2333,0.4972,0.3777,0.3055,0.398,14.2,45.8,39.9,2.801,-93.2307,0.2804,-0.691,0.5026,1.0734
LR-confidence-filter,por_ticker,AAPL,B,0.3681818181818182,0.3681818181818182,0.382,0.2951,0.5093,0.3418,0.3184,0.4032,23.4,43.5,33.1,0.3663,0.2414,1.1728,-0.136,0.5,1.3484
LR-confidence-filter,por_ticker,NVDA,B,0.34,0.3681818181818182,0.4549,0.2887,0.627,0.449,0.3688,0.5081,11.7,53.6,34.7,1.6924,1.336,2.5224,-0.1674,0.5826,1.8742
LR-confidence-filter,por_ticker,TSLA,B,0.39636363636363636,0.39636363636363636,0.3689,0.1224,0.5868,0.3974,0.2599,0.4355,11.7,54.0,34.3,-0.3056,-0.5038,-0.7127,-0.4147,0.5,0.8351
LR-confidence-filter,por_ticker,AMZN,B,0.34,0.3681818181818182,0.4216,0.28,0.5283,0.4565,0.3683,0.4516,11.3,46.0,42.7,0.6193,0.5634,1.6264,-0.1343,0.5597,1.4806
LR-confidence-filter,por_ticker,MSFT,B,0.39636363636363636,0.34,0.3591,0.198,0.5737,0.3056,0.2518,0.4194,13.3,58.9,27.8,0.0229,-0.1503,0.1125,-0.2559,0.4412,1.033
LR-confidence-filter,por_ticker,GOOGL,B,0.34,0.3681818181818182,0.3756,0.315,0.4362,0.3757,0.3453,0.3831,19.8,36.3,44.0,-0.0948,-0.7581,-0.36,-0.3478,0.5,0.9267
LR-confidence-filter,por_ticker,META,B,0.34,0.34,0.3632,0.3099,0.5424,0.2373,0.2736,0.4032,28.2,56.5,15.3,-0.1374,-0.2523,-0.4801,-0.3055,0.4074,0.8768
LR-confidence-filter,global,GLOBAL,B,0.34,0.34,0.4118,0.3462,0.5526,0.3367,0.3414,0.4384,22.6,49.8,27.6,16.8277,13.6285,1.1957,-0.4124,0.5161,1.3619
LR-confidence-filter,por_ticker,AAPL,C,0.34,0.3681818181818182,0.367,0.3172,0.488,0.2958,0.3065,0.3831,32.7,40.7,26.6,0.1914,0.0665,0.6004,-0.1349,0.517,1.164
LR-confidence-filter,por_ticker,NVDA,C,0.34,0.34,0.299,0.0,0.4787,0.4184,0.2092,0.3831,0.4,27.8,71.8,-0.0738,-0.4301,-0.1636,-0.4478,0.4804,0.9662
LR-confidence-filter,por_ticker,TSLA,C,0.39636363636363636,0.34,0.3561,0.2143,0.456,0.3979,0.3061,0.379,17.3,34.3,48.4,0.2722,0.0741,0.4318,-0.381,0.4969,1.0959
LR-confidence-filter,por_ticker,AMZN,C,0.34,0.34,0.3763,0.2407,0.4624,0.4257,0.3332,0.3992,14.5,35.5,50.0,0.177,0.1211,0.5601,-0.2065,0.5312,1.1319
LR-confidence-filter,por_ticker,MSFT,C,0.3681818181818182,0.34,0.3737,0.25,0.552,0.319,0.2845,0.4073,17.7,46.8,35.5,-0.1035,-0.2767,-0.5248,-0.3063,0.4091,0.8754
LR-confidence-filter,por_ticker,GOOGL,C,0.34,0.42454545454545456,0.3813,0.3857,0.3522,0.4061,0.3959,0.3831,25.0,24.6,50.4,0.3887,-0.2746,1.1333,-0.2833,0.5561,1.2484
LR-confidence-filter,por_ticker,META,C,0.34,0.34,0.3365,0.3567,0.5088,0.1441,0.2504,0.379,34.3,53.2,12.5,-0.3239,-0.4387,-1.3431,-0.3978,0.4138,0.7039
LR-confidence-filter,global,GLOBAL,C,0.34,0.34,0.3942,0.3333,0.5473,0.3021,0.3177,0.424,24.9,50.5,24.6,5.195,1.9958,0.7721,-0.4783,0.5023,1.2237
