config_id,modelo,tipo,ticker,experimento,lookback,n_features,n_seeds,val_f1_macro,val_f1_buy,val_f1_sell,test_f1_macro,test_f1_buy,test_f1_hold,test_f1_sell,test_f1_buy_sell_avg,test_accuracy,test_signal_buy,test_signal_hold,test_signal_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test
CNN-02-bi,CNN-LSTM,por_ticker,AAPL,B,20,66,3,0.3189,0.3665,0.2459,0.3067,0.3133,0.2897,0.3172,0.3152,0.307,46.9,19.3,33.8,-0.2317,-0.4348,-0.9526,-0.357,0.5054,0.8041
CNN-02-bi,CNN-LSTM,por_ticker,NVDA,B,20,66,3,0.3128,0.1935,0.3057,0.3564,0.2245,0.6047,0.24,0.2322,0.443,16.2,62.7,21.1,-0.0969,-0.7049,-0.3014,-0.313,0.4941,0.9176
CNN-02-bi,CNN-LSTM,por_ticker,TSLA,B,20,66,3,0.3749,0.4718,0.3404,0.3199,0.2973,0.3399,0.3226,0.3099,0.3202,36.8,23.2,39.9,-0.3255,-0.5099,-0.7398,-0.5569,0.4686,0.8639
CNN-02-bi,CNN-LSTM,por_ticker,AMZN,B,20,66,3,0.3719,0.3704,0.2526,0.3463,0.4111,0.4706,0.1573,0.2842,0.386,50.9,42.5,6.6,0.2187,0.2393,0.762,-0.2823,0.5038,1.1928
CNN-02-bi,CNN-LSTM,por_ticker,MSFT,B,20,66,3,0.2767,0.0,0.4059,0.3146,0.0,0.4706,0.4732,0.2366,0.4079,0.0,31.1,68.9,-0.0425,-0.2375,-0.2262,-0.231,0.4586,0.9501
CNN-02-bi,CNN-LSTM,por_ticker,GOOGL,B,20,66,3,0.2569,0.2456,0.0,0.3305,0.3651,0.6264,0.0,0.1825,0.4649,25.0,75.0,0.0,0.0448,-0.521,0.2506,-0.1782,0.5088,1.0829
CNN-02-bi,CNN-LSTM,por_ticker,META,B,20,66,3,0.2611,0.1194,0.102,0.376,0.3168,0.5401,0.2712,0.294,0.4211,16.7,64.5,18.9,0.1175,0.1596,0.4003,-0.1529,0.5185,1.1332
CNN-02-bi,CNN-LSTM,global,GLOBAL,B,20,66,3,0.3179,,,0.3003,0.09,0.3825,0.4284,0.2592,0.3578,4.3,28.6,67.1,-0.378,-3.4001,-0.2018,-0.6732,0.4904,0.956
CNN-04-multikernel,CNN-LSTM,por_ticker,AAPL,B,20,66,3,0.3455,0.3832,0.1802,0.3199,0.2677,0.369,0.323,0.2953,0.3246,29.8,29.4,40.8,-0.2733,-0.4764,-1.1724,-0.3931,0.472,0.7508
CNN-04-multikernel,CNN-LSTM,por_ticker,NVDA,B,20,66,3,0.2138,0.1379,0.0,0.309,0.1053,0.636,0.1856,0.1454,0.4518,6.6,73.7,19.7,0.0467,-0.5613,0.1452,-0.2983,0.4167,1.0504
