config_id,modelo,tipo,ticker,experimento,lookback,n_features,n_seeds,val_f1_macro,val_f1_buy,val_f1_sell,test_f1_macro,test_f1_buy,test_f1_hold,test_f1_sell,test_f1_buy_sell_avg,test_signal_buy,test_signal_hold,test_signal_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test
CNN-puro,CNN,por_ticker,AAPL,A,20,61,3,0.3478,0.2986,0.1905,0.3264,0.2041,0.6,0.1753,0.1897,12.3,77.1,10.6,-0.0852,-0.5801,-0.2347,-0.2807,0.4727,0.9107
CNN-puro,CNN,por_ticker,NVDA,A,20,61,3,0.3454,0.3858,0.1341,0.2889,0.3791,0.0995,0.388,0.3835,34.0,5.0,61.0,0.319,-1.7308,0.2882,-0.3366,0.4934,1.0529
CNN-puro,CNN,por_ticker,TSLA,A,20,61,3,0.3714,0.3762,0.2672,0.3854,0.2972,0.5408,0.3184,0.3078,20.4,57.7,21.9,1.4248,-0.0015,1.0335,-0.3982,0.5271,1.3012
CNN-puro,CNN,por_ticker,AMZN,A,20,61,3,0.3435,0.4248,0.1236,0.3373,0.3008,0.5383,0.173,0.2369,25.6,65.8,8.5,0.171,-0.3273,0.3776,-0.1868,0.5244,1.1209
CNN-puro,CNN,por_ticker,MSFT,A,20,61,3,0.3143,0.363,0.0268,0.286,0.3404,0.5176,0.0,0.1702,41.0,59.0,0.0,0.1167,-0.1277,0.3548,-0.1503,0.533,1.1046
CNN-puro,CNN,por_ticker,GOOGL,A,20,61,3,0.3339,0.4511,0.0382,0.2941,0.3158,0.5165,0.05,0.1829,28.3,68.3,3.3,0.0063,-1.2508,0.019,-0.1742,0.5592,1.0058
CNN-puro,CNN,por_ticker,META,A,20,61,3,0.3312,0.4276,0.1869,0.2618,0.4297,0.1453,0.2105,0.3201,76.0,8.1,15.8,0.1587,-0.5601,0.2118,-0.3749,0.5125,1.0434
CNN-puro,CNN,global,GLOBAL,A,20,61,3,0.3213,,,0.3483,0.3748,0.522,0.1479,0.2614,35.4,56.1,8.5,2.001,-77.0153,0.2666,-0.5138,0.5291,1.0784
CNN-puro,CNN,por_ticker,AAPL,B,20,61,3,0.3061,0.2957,0.0964,0.3632,0.3182,0.5455,0.2261,0.2721,32.0,47.4,20.6,-0.0461,-0.2492,-0.1762,-0.258,0.4917,0.9534
CNN-puro,CNN,por_ticker,NVDA,B,20,61,3,0.2733,0.32,0.0,0.3163,0.3727,0.5761,0.0,0.1863,43.9,56.1,0.0,0.1639,-0.4441,0.4418,-0.3268,0.52,1.1255
CNN-puro,CNN,por_ticker,TSLA,B,20,61,3,0.3365,0.4481,0.0282,0.4057,0.3623,0.5852,0.2697,0.316,32.5,56.6,11.0,0.4807,0.2963,0.8209,-0.23,0.5556,1.2372
CNN-puro,CNN,por_ticker,AMZN,B,20,61,3,0.2152,0.0909,0.0,0.3251,0.3478,0.5345,0.093,0.2204,32.5,62.3,5.3,0.0203,0.0409,0.0851,-0.2194,0.4767,1.025
CNN-puro,CNN,por_ticker,MSFT,B,20,61,3,0.3591,0.3247,0.2679,0.3147,0.2689,0.4934,0.1818,0.2254,25.0,56.1,18.9,0.0128,-0.1823,0.0717,-0.1096,0.48,1.0216
CNN-puro,CNN,por_ticker,GOOGL,B,20,61,3,0.2677,0.2857,0.0,0.32,0.336,0.6241,0.0,0.168,24.6,75.4,0.0,-0.0643,-0.63,-0.3542,-0.1742,0.4821,0.8902
CNN-puro,CNN,por_ticker,META,B,20,61,3,0.2167,0.0769,0.0,0.304,0.3566,0.5556,0.0,0.1783,28.9,71.1,0.0,0.1231,0.1652,0.4586,-0.2262,0.5,1.1665
CNN-puro,CNN,global,GLOBAL,B,20,61,3,0.3235,,,0.3434,0.4023,0.5153,0.1127,0.2575,48.9,44.6,6.5,0.3064,-2.7157,0.1213,-0.4343,0.5102,1.0309
CNN-puro,CNN,por_ticker,AAPL,C,20,61,3,0.1679,0.4658,0.0,0.137,0.4111,0.0,0.0,0.2056,100.0,0.0,0.0,0.2031,0.0,0.6341,-0.3022,0.5395,1.1377
CNN-puro,CNN,por_ticker,NVDA,C,20,61,3,0.1922,0.0506,0.5017,0.2857,0.0,0.4535,0.4036,0.2018,0.0,25.0,75.0,-0.2699,-0.8779,-0.8096,-0.4653,0.4561,0.8506
CNN-puro,CNN,por_ticker,TSLA,C,20,61,3,0.1741,0.5223,0.0,0.1461,0.4384,0.0,0.0,0.2192,100.0,0.0,0.0,0.1844,0.0,0.2931,-0.4343,0.5132,1.0516
CNN-puro,CNN,por_ticker,AMZN,C,20,61,3,0.1937,0.0,0.0,0.2822,0.2752,0.5714,0.0,0.1376,19.7,80.3,0.0,0.0105,0.0311,0.0502,-0.1866,0.4667,1.0203
CNN-puro,CNN,por_ticker,MSFT,C,20,61,3,0.3567,0.3459,0.2286,0.2858,0.2857,0.5228,0.0488,0.1672,31.1,62.3,6.6,0.0073,-0.1877,0.043,-0.148,0.4651,1.0138
CNN-puro,CNN,por_ticker,GOOGL,C,20,61,3,0.2806,0.3053,0.0,0.3203,0.3415,0.6194,0.0,0.1707,23.7,76.3,0.0,-0.0415,-0.6073,-0.227,-0.1668,0.5,0.927
CNN-puro,CNN,por_ticker,META,C,20,61,3,0.2873,0.0845,0.2459,0.2967,0.1111,0.4242,0.3548,0.233,3.9,47.4,48.7,0.0237,0.0659,0.0782,-0.3512,0.4833,1.0209
CNN-puro,CNN,global,GLOBAL,C,20,61,3,0.352,,,0.3727,0.3229,0.5069,0.2884,0.3056,32.1,43.6,24.3,-0.5037,-3.5258,-0.3174,-0.6664,0.4944,0.9241
CNN-puro,CNN,por_ticker,AAPL,A,60,61,3,0.2532,0.1687,0.0,0.2569,0.1644,0.6063,0.0,0.0822,4.5,95.5,0.0,0.2952,-0.3103,1.1388,-0.0462,0.7,3.2312
CNN-puro,CNN,por_ticker,NVDA,A,60,61,3,0.2425,0.1,0.0,0.2596,0.3918,0.0,0.3871,0.3894,58.9,0.0,41.1,1.338,0.2614,0.9537,-0.3343,0.5318,1.1795
CNN-puro,CNN,por_ticker,TSLA,A,60,61,3,0.3289,0.3509,0.1392,0.3594,0.317,0.454,0.3071,0.312,28.2,40.0,31.8,0.8553,-0.7298,0.6821,-0.5341,0.5076,1.16
CNN-puro,CNN,por_ticker,AMZN,A,60,61,3,0.3205,0.4186,0.0,0.2714,0.2783,0.5359,0.0,0.1391,22.0,78.0,0.0,0.1076,-0.1816,0.3118,-0.2253,0.5155,1.1269
CNN-puro,CNN,por_ticker,MSFT,A,60,61,3,0.2387,0.224,0.0,0.2832,0.371,0.4786,0.0,0.1855,51.4,48.6,0.0,-0.0253,-0.1991,-0.1058,-0.1549,0.5398,0.9762
CNN-puro,CNN,por_ticker,GOOGL,A,60,61,3,0.3223,0.4379,0.0,0.3165,0.3813,0.5275,0.0408,0.2111,32.5,64.3,3.2,0.1054,-0.9897,0.314,-0.1792,0.5478,1.0903
CNN-puro,CNN,por_ticker,META,A,60,61,3,0.3611,0.3988,0.1818,0.2438,0.4403,0.2636,0.0276,0.2339,80.7,17.3,2.0,0.4006,0.021,0.5892,-0.3415,0.5357,1.1284
CNN-puro,CNN,global,GLOBAL,A,60,61,3,0.3172,,,0.3025,0.4116,0.4938,0.0022,0.2069,49.2,50.7,0.1,9.2636,-27.4306,0.609,-0.497,0.5464,1.1758
CNN-puro,CNN,por_ticker,AAPL,B,60,61,3,0.1943,0.0,0.0,0.2989,0.3091,0.5877,0.0,0.1545,34.6,65.4,0.0,-0.0581,-0.2858,-0.2825,-0.2299,0.5385,0.906
CNN-puro,CNN,por_ticker,NVDA,B,60,61,3,0.1744,0.0,0.5231,0.227,0.0,0.3256,0.3553,0.1777,0.0,17.0,83.0,-0.4206,-1.1235,-1.7991,-0.5506,0.4359,0.701
CNN-puro,CNN,por_ticker,TSLA,B,60,61,3,0.2815,0.4561,0.3288,0.2756,0.0,0.4267,0.4,0.2,0.0,30.9,69.1,-0.2195,-0.9122,-0.6158,-0.4016,0.4769,0.8778
CNN-puro,CNN,por_ticker,AMZN,B,60,61,3,0.3426,0.3953,0.2766,0.2327,0.4369,0.0233,0.2381,0.3375,81.4,3.2,15.4,0.4841,0.2741,1.6505,-0.1464,0.544,1.3606
CNN-puro,CNN,por_ticker,MSFT,B,60,61,3,0.3047,0.1311,0.3025,0.2792,0.2737,0.5639,0.0,0.1368,21.8,76.6,1.6,0.2022,-0.0801,1.3733,-0.0803,0.5682,1.8262
CNN-puro,CNN,por_ticker,GOOGL,B,60,61,3,0.3061,0.0,0.4337,0.3283,0.0,0.5979,0.3871,0.1935,0.0,59.6,40.4,-0.1722,-1.1759,-1.129,-0.2379,0.4605,0.7375
CNN-puro,CNN,por_ticker,META,B,60,61,3,0.2793,0.0377,0.3771,0.291,0.0,0.4444,0.4286,0.2143,0.0,34.6,65.4,-0.2764,-0.4154,-1.2715,-0.4077,0.5041,0.7356
CNN-puro,CNN,global,GLOBAL,B,60,61,3,0.356,,,0.3344,0.3805,0.4077,0.2152,0.2978,50.5,33.4,16.2,1.308,-10.2239,0.4729,-0.4408,0.5416,1.1207
CNN-puro,CNN,por_ticker,AAPL,C,60,61,3,0.2389,0.3145,0.0,0.1587,0.3628,0.1132,0.0,0.1814,90.4,9.6,0.0,0.097,-0.1307,0.3921,-0.2299,0.5471,1.0933
CNN-puro,CNN,por_ticker,NVDA,C,60,61,3,0.1744,0.0,0.5231,0.274,0.1017,0.3636,0.3568,0.2292,4.8,18.6,76.6,-0.3648,-1.0677,-1.5033,-0.5073,0.4314,0.7421
CNN-puro,CNN,por_ticker,TSLA,C,60,61,3,0.2866,0.5158,0.1975,0.3144,0.3433,0.3636,0.2364,0.2898,44.1,21.3,34.6,-0.1199,-0.8126,-0.3062,-0.396,0.4932,0.9417
CNN-puro,CNN,por_ticker,AMZN,C,60,61,3,0.1607,0.4822,0.0,0.1466,0.4398,0.0,0.0,0.2199,100.0,0.0,0.0,0.21,0.0,0.7123,-0.1464,0.5479,1.1432
CNN-puro,CNN,por_ticker,MSFT,C,60,61,3,0.3234,0.283,0.45,0.2817,0.2278,0.2963,0.321,0.2744,13.3,27.7,59.0,-0.127,-0.4093,-0.8489,-0.1978,0.4559,0.8171
CNN-puro,CNN,por_ticker,GOOGL,C,60,61,3,0.3423,0.2727,0.2626,0.3361,0.4029,0.5146,0.0909,0.2469,43.1,47.3,9.6,0.1024,-0.9013,0.5492,-0.1051,0.4949,1.1393
CNN-puro,CNN,por_ticker,META,C,60,61,3,0.2873,0.0755,0.3864,0.2725,0.0,0.3559,0.4615,0.2308,0.0,20.7,79.3,-0.1384,-0.2774,-0.5282,-0.3762,0.5034,0.8889
CNN-puro,CNN,global,GLOBAL,C,60,61,3,0.3215,,,0.3153,0.1787,0.4072,0.36,0.2694,12.5,34.6,52.9,-0.6984,-12.2303,-0.665,-0.8017,0.4762,0.8521
