config_id,modelo,tipo,ticker,experimento,lookback,n_features,n_seeds,test_f1_macro,test_f1_buy,test_f1_hold,test_f1_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test
CNN-puro-filt,CNN,por_ticker,AAPL,A,20,25,3,0.2835,0.1149,0.5658,0.1696,-0.4764,-0.9713,-1.7317,-0.4913,0.4068,0.4888
CNN-puro-filt,CNN,por_ticker,NVDA,A,20,25,3,0.2355,0.1104,0.5824,0.0135,0.0547,-1.9951,0.1627,-0.1524,0.5,1.1309
CNN-puro-filt,CNN,por_ticker,TSLA,A,20,25,3,0.3515,0.1726,0.5381,0.3436,-0.328,-1.7544,-0.4415,-0.579,0.5178,0.8893
CNN-puro-filt,CNN,por_ticker,AMZN,A,20,25,3,0.3443,0.2589,0.5073,0.2667,0.1847,-0.3135,0.3878,-0.2346,0.4948,1.1147
CNN-puro-filt,CNN,por_ticker,MSFT,A,20,25,3,0.2846,0.2857,0.5679,0.0,0.009,-0.2354,0.0456,-0.1211,0.5566,1.0159
CNN-puro-filt,CNN,por_ticker,GOOGL,A,20,25,3,0.3221,0.3484,0.5075,0.1105,0.0363,-1.2208,0.0981,-0.243,0.5303,1.0253
CNN-puro-filt,CNN,por_ticker,META,A,20,25,3,0.2807,0.2051,0.5652,0.0719,0.2427,-0.4762,0.6639,-0.1726,0.5195,1.3637
CNN-puro-filt,CNN,global,GLOBAL,A,20,25,3,0.3134,0.3181,0.5652,0.0569,2.3985,-76.6177,0.369,-0.4033,0.5471,1.1458
CNN-puro-filt,CNN,por_ticker,AAPL,B,20,10,3,0.3325,0.1579,0.6087,0.2308,-0.095,-0.2981,-0.4523,-0.2532,0.4528,0.8321
CNN-puro-filt,CNN,por_ticker,NVDA,B,20,10,3,0.2888,0.3262,0.3023,0.2378,-0.1912,-0.7992,-0.5651,-0.5591,0.4912,0.8896
CNN-puro-filt,CNN,por_ticker,TSLA,B,20,10,3,0.3771,0.3016,0.5131,0.3165,-0.222,-0.4064,-0.4956,-0.3839,0.4599,0.8961
CNN-puro-filt,CNN,por_ticker,AMZN,B,20,10,3,0.3553,0.3624,0.4706,0.233,0.2519,0.2725,0.9074,-0.2022,0.5263,1.2643
CNN-puro-filt,CNN,por_ticker,MSFT,B,20,10,3,0.2967,0.4038,0.4862,0.0,0.0318,-0.1633,0.1662,-0.148,0.5274,1.0401
CNN-puro-filt,CNN,por_ticker,GOOGL,B,20,10,3,0.3183,0.3662,0.5887,0.0,0.0442,-0.5216,0.2339,-0.2231,0.5135,1.0683
CNN-puro-filt,CNN,por_ticker,META,B,20,10,3,0.3284,0.3038,0.3694,0.3121,-0.1005,-0.0584,-0.3318,-0.2277,0.4286,0.9272
CNN-puro-filt,CNN,global,GLOBAL,B,20,10,3,0.3314,0.3979,0.5558,0.0404,1.0598,-1.9623,0.3496,-0.3881,0.5444,1.1051
CNN-puro-filt,CNN,por_ticker,AAPL,C,20,3,3,0.32,0.4192,0.4883,0.0526,0.2828,0.0797,1.009,-0.2299,0.5948,1.3474
CNN-puro-filt,CNN,por_ticker,NVDA,C,20,3,3,0.2846,0.3625,0.1935,0.2979,0.5776,-0.0304,1.2001,-0.2469,0.5106,1.2691
CNN-puro-filt,CNN,por_ticker,TSLA,C,20,3,3,0.348,0.3043,0.5174,0.2222,-0.4104,-0.5948,-1.195,-0.5397,0.4724,0.7681
CNN-puro-filt,CNN,por_ticker,AMZN,C,20,3,3,0.2827,0.283,0.5652,0.0,-0.024,-0.0034,-0.221,-0.113,0.5,0.9269
