config_id,modelo,tipo,ticker,experimento,n_features,n_seeds,val_f1_macro,val_f1_buy,val_f1_sell,test_f1_macro,test_f1_buy,test_f1_hold,test_f1_sell,test_f1_buy_sell_avg,test_accuracy,test_signal_buy,test_signal_hold,test_signal_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test
LGBM-base,LightGBM,por_ticker,AAPL,A,61,3,0.3945,0.3694,0.278,0.3695,0.2753,0.4818,0.3514,0.3134,0.39,21.2,46.0,32.8,0.3377,-0.1472,0.6338,-0.1895,0.5185,1.1816
LGBM-base,LightGBM,por_ticker,NVDA,A,61,3,0.3753,0.3664,0.2955,0.3548,0.2846,0.4455,0.3344,0.3095,0.368,23.0,43.4,33.6,0.7564,-2.1392,0.676,-0.5245,0.523,1.1694
LGBM-base,LightGBM,por_ticker,TSLA,A,61,3,0.3964,0.4074,0.3395,0.3899,0.3684,0.4649,0.3364,0.3524,0.398,22.8,42.8,34.4,0.3974,-0.4319,0.3314,-0.4588,0.5629,1.0783
LGBM-base,LightGBM,por_ticker,AMZN,A,61,3,0.3825,0.4173,0.2845,0.3875,0.3071,0.4638,0.3916,0.3493,0.4,21.2,42.4,36.4,0.677,0.1261,1.0148,-0.1974,0.5208,1.27
LGBM-base,LightGBM,por_ticker,MSFT,A,61,3,0.3893,0.3977,0.2605,0.4024,0.3944,0.4891,0.3235,0.359,0.41,44.2,31.4,24.4,0.2689,-0.0651,0.5961,-0.2339,0.5423,1.1361
LGBM-base,LightGBM,por_ticker,GOOGL,A,61,3,0.3983,0.4438,0.2105,0.3654,0.305,0.4559,0.3355,0.3202,0.376,25.4,42.2,32.4,-0.1131,-1.4017,-0.2576,-0.2268,0.4983,0.9435
LGBM-base,LightGBM,por_ticker,META,A,61,3,0.3567,0.3706,0.3376,0.3602,0.3448,0.3914,0.3443,0.3445,0.362,24.0,33.6,42.4,0.9022,-0.0343,0.9637,-0.2457,0.512,1.2614
LGBM-base,LightGBM,global,GLOBAL,A,61,3,0.3723,0.4039,0.2178,0.3761,0.3372,0.4412,0.3499,0.3436,0.3823,26.9,37.9,35.2,2.8739,-93.1578,0.2851,-0.727,0.5117,1.0711
LGBM-base,LightGBM,por_ticker,AAPL,B,61,3,0.3682,0.3252,0.2609,0.3017,0.2278,0.3673,0.3099,0.2689,0.3065,37.9,35.5,26.6,0.0312,-0.0937,0.1234,-0.1823,0.4688,1.0298
LGBM-base,LightGBM,por_ticker,NVDA,B,61,3,0.37,0.32,0.3842,0.3433,0.3281,0.3878,0.314,0.321,0.3468,24.2,31.0,44.8,0.5495,0.1932,1.0752,-0.3906,0.5439,1.2576
LGBM-base,LightGBM,por_ticker,TSLA,B,61,3,0.377,0.3231,0.3436,0.4009,0.3913,0.4653,0.3462,0.3687,0.4073,27.8,37.9,34.3,0.7901,0.592,1.1013,-0.2733,0.6039,1.2717
LGBM-base,LightGBM,por_ticker,AMZN,B,61,3,0.3634,0.2087,0.3676,0.3575,0.3571,0.4242,0.2911,0.3241,0.3629,27.4,40.3,32.3,0.0143,-0.0416,0.0476,-0.2485,0.5135,1.0115
LGBM-base,LightGBM,por_ticker,MSFT,B,61,3,0.3739,0.3851,0.1905,0.3569,0.3289,0.4205,0.3214,0.3252,0.3589,33.9,28.6,37.5,-0.1029,-0.2761,-0.4855,-0.2122,0.4915,0.8969
LGBM-base,LightGBM,por_ticker,GOOGL,B,61,3,0.3858,0.2836,0.3949,0.3421,0.3429,0.3696,0.314,0.3284,0.3427,25.0,34.7,40.3,-0.0673,-0.7306,-0.2618,-0.3306,0.5,0.9447
LGBM-base,LightGBM,por_ticker,META,B,61,3,0.3897,0.3738,0.3814,0.3504,0.3636,0.4158,0.2716,0.3176,0.3548,24.2,42.7,33.1,0.1475,0.0327,0.409,-0.2535,0.4577,1.109
LGBM-base,LightGBM,global,GLOBAL,B,61,3,0.3755,0.31,0.337,0.4017,0.356,0.4675,0.3816,0.3688,0.4073,26.7,34.0,39.3,5.9462,2.747,0.7666,-0.4327,0.5201,1.1945
LGBM-base,LightGBM,por_ticker,AAPL,C,61,3,0.3559,0.3121,0.2714,0.3452,0.2877,0.4413,0.3066,0.2971,0.3589,33.1,42.3,24.6,0.0751,-0.0498,0.2511,-0.1497,0.5315,1.0688
LGBM-base,LightGBM,por_ticker,NVDA,C,61,3,0.3989,0.3613,0.3684,0.2988,0.2517,0.337,0.3077,0.2797,0.3024,30.2,26.2,43.5,-0.2754,-0.6317,-0.7726,-0.6459,0.4863,0.8533
LGBM-base,LightGBM,por_ticker,TSLA,C,61,3,0.38,0.3649,0.2542,0.3303,0.3401,0.3422,0.3086,0.3244,0.3306,31.5,31.9,36.7,0.2417,0.0436,0.4359,-0.3664,0.5385,1.0932
LGBM-base,LightGBM,por_ticker,AMZN,C,61,3,0.3908,0.2419,0.4099,0.3703,0.3796,0.3979,0.3333,0.3564,0.371,26.2,37.5,36.3,0.6283,0.5724,1.7265,-0.1336,0.5161,1.4897
LGBM-base,LightGBM,por_ticker,MSFT,C,61,3,0.336,0.25,0.254,0.376,0.3465,0.4045,0.377,0.3617,0.379,23.8,29.4,46.8,0.1659,-0.0073,0.6882,-0.2402,0.48,1.1693
LGBM-base,LightGBM,por_ticker,GOOGL,C,61,3,0.3947,0.3382,0.3506,0.3107,0.2769,0.3404,0.3146,0.2958,0.3145,21.0,36.3,42.7,-0.0144,-0.6777,-0.0567,-0.3137,0.5127,0.9875
LGBM-base,LightGBM,por_ticker,META,C,61,3,0.3499,0.3307,0.3371,0.3551,0.3816,0.3667,0.3171,0.3493,0.3548,32.3,33.9,33.9,0.3713,0.2565,0.929,-0.2115,0.4573,1.2477
LGBM-base,LightGBM,global,GLOBAL,C,61,3,0.3745,0.3276,0.3251,0.368,0.3246,0.4271,0.3522,0.3384,0.3727,28.9,33.6,37.5,1.881,-1.3182,0.4227,-0.6771,0.5009,1.1036
