config_id,modelo,tipo,ticker,experimento,n_features,C,l1_ratio,n_seeds,val_f1_macro,val_f1_buy,val_f1_sell,test_f1_macro,test_f1_buy,test_f1_hold,test_f1_sell,test_f1_buy_sell_avg,test_accuracy,test_signal_buy,test_signal_hold,test_signal_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test
LR-01-l2-all,LogisticRegression,por_ticker,AAPL,A,61,0.003,,5,0.4025,0.3699,0.3035,0.3374,0.2632,0.4958,0.2533,0.2582,0.37,17.4,52.4,30.2,0.3581,-0.1268,0.6583,-0.1829,0.4916,1.2033
LR-01-l2-all,LogisticRegression,por_ticker,NVDA,A,61,0.001,,5,0.3627,0.4142,0.3448,0.251,0.026,0.5826,0.1444,0.0852,0.418,0.4,92.2,7.4,0.0206,-2.875,0.0402,-0.1651,0.4872,1.024
LR-01-l2-all,LogisticRegression,por_ticker,TSLA,A,61,0.001,,5,0.357,0.3604,0.251,0.3951,0.3187,0.4853,0.3812,0.35,0.408,19.8,41.8,38.4,1.6891,0.8598,0.9116,-0.4299,0.5601,1.2296
LR-01-l2-all,LogisticRegression,por_ticker,AMZN,A,61,1.0,,5,0.3557,0.431,0.2918,0.3869,0.2656,0.4953,0.4,0.3328,0.408,18.6,44.4,37.0,0.7749,0.224,1.0787,-0.1766,0.5432,1.2925
LR-01-l2-all,LogisticRegression,por_ticker,MSFT,A,61,0.003,,5,0.365,0.3853,0.2029,0.3578,0.3344,0.5439,0.1951,0.2648,0.406,35.6,53.4,11.0,0.0317,-0.3023,0.089,-0.1837,0.4936,1.024
LR-01-l2-all,LogisticRegression,por_ticker,GOOGL,A,61,0.3,,5,0.3843,0.4138,0.2367,0.3152,0.16,0.3968,0.3888,0.2744,0.346,9.0,35.2,55.8,-0.4457,-1.7344,-1.185,-0.4851,0.4537,0.7762
LR-01-l2-all,LogisticRegression,por_ticker,META,A,61,0.01,,5,0.3283,0.3914,0.3188,0.317,0.2589,0.2214,0.4708,0.3649,0.358,16.6,11.4,72.0,0.7004,-0.2361,0.7464,-0.4245,0.5034,1.1637
LR-01-l2-all,LogisticRegression,global,GLOBAL,A,61,0.03,,5,0.3791,0.3848,0.2481,0.3755,0.2714,0.4566,0.3985,0.3349,0.3906,18.6,36.9,44.5,10.2647,-85.767,0.4921,-0.5299,0.5102,1.1222
LR-01-l2-all,LogisticRegression,por_ticker,AAPL,B,61,0.03,,5,0.3394,0.2264,0.2875,0.3876,0.2923,0.5,0.3704,0.3313,0.4032,26.6,38.7,34.7,0.395,0.2701,1.1404,-0.1679,0.5066,1.3293
LR-01-l2-all,LogisticRegression,por_ticker,NVDA,B,61,0.03,,5,0.2926,0.0455,0.4651,0.3623,0.3611,0.3494,0.3763,0.3687,0.3629,30.6,19.0,50.4,0.6578,0.3015,1.0697,-0.2681,0.5423,1.2393
LR-01-l2-all,LogisticRegression,por_ticker,TSLA,B,61,0.003,,5,0.3656,0.2903,0.3333,0.3989,0.2564,0.5192,0.4211,0.3387,0.4234,19.4,40.3,40.3,0.7584,0.5603,1.0292,-0.3374,0.5338,1.2577
LR-01-l2-all,LogisticRegression,por_ticker,AMZN,B,61,0.01,,5,0.3513,0.18,0.3046,0.4275,0.3148,0.5152,0.4526,0.3837,0.4476,14.5,40.3,45.2,0.6888,0.6329,1.6876,-0.1372,0.5608,1.4747
LR-01-l2-all,LogisticRegression,por_ticker,MSFT,B,61,0.001,,5,0.3344,0.331,0.1414,0.3712,0.3289,0.5565,0.2281,0.2785,0.4113,33.9,50.4,15.7,-0.1323,-0.3055,-0.7256,-0.2067,0.4715,0.8269
LR-01-l2-all,LogisticRegression,por_ticker,GOOGL,B,61,0.03,,5,0.3821,0.1856,0.456,0.3843,0.3281,0.4492,0.3757,0.3519,0.3911,20.2,35.9,44.0,-0.1098,-0.7731,-0.4186,-0.3552,0.5094,0.9156
LR-01-l2-all,LogisticRegression,por_ticker,META,B,61,0.001,,5,0.355,0.2453,0.3158,0.411,0.2963,0.49,0.4468,0.3716,0.4315,14.5,41.9,43.5,1.1788,1.064,2.342,-0.1679,0.5208,1.7903
LR-01-l2-all,LogisticRegression,global,GLOBAL,B,61,3.0,,5,0.3593,0.2403,0.3905,0.3856,0.2768,0.516,0.3641,0.3205,0.4096,17.9,44.2,37.8,5.8174,2.6182,0.7683,-0.4787,0.499,1.2134
LR-01-l2-all,LogisticRegression,por_ticker,AAPL,C,61,3.0,,5,0.3569,0.3709,0.3041,0.3421,0.2615,0.4571,0.3077,0.2846,0.3589,26.6,41.1,32.3,0.1698,0.0448,0.5411,-0.1627,0.4863,1.1491
LR-01-l2-all,LogisticRegression,por_ticker,NVDA,C,61,0.001,,5,0.2932,0.0899,0.3314,0.4061,0.25,0.5294,0.4388,0.3444,0.4395,11.3,34.3,54.4,1.0321,0.6758,1.5531,-0.1743,0.546,1.4111
LR-01-l2-all,LogisticRegression,por_ticker,TSLA,C,61,0.03,,5,0.3414,0.2385,0.2937,0.3838,0.2951,0.4396,0.4167,0.3559,0.3952,21.4,29.8,48.8,1.0821,0.884,1.2944,-0.2469,0.5287,1.3036
LR-01-l2-all,LogisticRegression,por_ticker,AMZN,C,61,3.0,,5,0.351,0.1163,0.386,0.3761,0.243,0.4541,0.4314,0.3372,0.3992,14.1,35.1,50.8,0.2316,0.1757,0.7158,-0.2065,0.5342,1.1714
LR-01-l2-all,LogisticRegression,por_ticker,MSFT,C,61,0.01,,5,0.3502,0.2018,0.2893,0.3684,0.2222,0.5438,0.3392,0.2807,0.4032,16.1,45.2,38.7,-0.138,-0.3112,-0.7262,-0.3053,0.4265,0.8361
LR-01-l2-all,LogisticRegression,por_ticker,GOOGL,C,61,10.0,,5,0.3491,0.1136,0.4537,0.3036,0.3733,0.1217,0.4156,0.3945,0.3347,29.0,6.9,64.1,0.1356,-0.5277,0.4045,-0.3671,0.5152,1.075
LR-01-l2-all,LogisticRegression,por_ticker,META,C,61,0.001,,5,0.3627,0.2353,0.3771,0.383,0.2752,0.4192,0.4545,0.3649,0.4032,14.9,28.6,56.5,0.3084,0.1936,0.7619,-0.265,0.4689,1.1845
LR-01-l2-all,LogisticRegression,global,GLOBAL,C,61,0.001,,5,0.35,0.2248,0.3095,0.3987,0.3011,0.5359,0.3591,0.3301,0.4245,19.9,47.7,32.4,10.658,7.4588,1.0176,-0.3542,0.5176,1.297
LR-05-l2-shap,LogisticRegression,por_ticker,AAPL,A,20,0.03,,5,0.4013,0.3396,0.3706,0.322,0.2302,0.4527,0.2832,0.2567,0.338,22.2,38.4,39.4,-0.525,-1.0099,-1.5647,-0.5331,0.4058,0.6814
LR-05-l2-shap,LogisticRegression,por_ticker,NVDA,A,20,0.001,,5,0.3351,0.4312,0.2,0.3861,0.3818,0.5149,0.2617,0.3217,0.414,39.8,46.0,14.2,1.2419,-1.6538,0.9281,-0.3444,0.5222,1.2456
LR-05-l2-shap,LogisticRegression,por_ticker,TSLA,A,20,0.01,,5,0.3805,0.3958,0.3491,0.3568,0.3377,0.3802,0.3526,0.3451,0.358,31.2,32.8,36.0,1.1492,0.3199,0.7122,-0.3493,0.5536,1.1638
LR-05-l2-shap,LogisticRegression,por_ticker,AMZN,A,20,0.001,,5,0.3074,0.4095,0.2748,0.3483,0.3849,0.5054,0.1545,0.2697,0.39,33.8,52.2,14.0,0.0226,-0.5283,0.0456,-0.2933,0.5188,1.0115
LR-05-l2-shap,LogisticRegression,por_ticker,MSFT,A,20,0.001,,5,0.3202,0.4187,0.2885,0.3136,0.3316,0.4679,0.1413,0.2364,0.356,48.2,45.0,6.8,0.0352,-0.2988,0.0984,-0.2219,0.52,1.0244
LR-05-l2-shap,LogisticRegression,por_ticker,GOOGL,A,20,0.03,,5,0.3411,0.4608,0.218,0.3507,0.3553,0.4888,0.208,0.2816,0.378,29.8,49.8,20.4,-0.4023,-1.6909,-1.1557,-0.4297,0.4741,0.7586
LR-05-l2-shap,LogisticRegression,por_ticker,META,A,20,0.003,,5,0.3349,0.423,0.2812,0.348,0.3281,0.4787,0.2373,0.2827,0.374,35.2,48.4,16.4,-0.249,-1.1856,-0.5109,-0.342,0.5,0.878
LR-05-l2-shap,LogisticRegression,global,GLOBAL,A,20,0.01,,5,0.3418,0.4121,0.257,0.3682,0.3821,0.4682,0.2542,0.3182,0.3871,37.8,43.3,19.0,22.5862,-73.4455,0.6561,-0.5979,0.5378,1.175
LR-05-l2-shap,LogisticRegression,por_ticker,AAPL,B,20,0.3,,5,0.3213,0.2158,0.2837,0.3587,0.3165,0.4776,0.2821,0.2993,0.371,30.2,37.5,32.3,-0.1775,-0.3025,-0.6807,-0.3427,0.4387,0.8425
LR-05-l2-shap,LogisticRegression,por_ticker,NVDA,B,20,0.03,,5,0.4044,0.3862,0.3453,0.4077,0.3115,0.626,0.2857,0.2986,0.4718,21.8,57.7,20.6,0.5496,0.1933,1.0543,-0.2281,0.5619,1.3381
LR-05-l2-shap,LogisticRegression,por_ticker,TSLA,B,20,10.0,,5,0.3763,0.3194,0.3975,0.4219,0.3259,0.5248,0.4151,0.3705,0.4355,26.6,37.9,35.5,0.4709,0.2728,0.7033,-0.4353,0.539,1.1636
LR-05-l2-shap,LogisticRegression,por_ticker,AMZN,B,20,3.0,,5,0.3792,0.3066,0.268,0.3551,0.3217,0.5182,0.2256,0.2736,0.3831,28.6,49.2,22.2,-0.0098,-0.0657,-0.0372,-0.3033,0.5079,0.9909
LR-05-l2-shap,LogisticRegression,por_ticker,MSFT,B,20,3.0,,5,0.312,0.3439,0.069,0.3929,0.3659,0.5487,0.2642,0.315,0.4274,38.7,48.8,12.5,0.1357,-0.0375,0.6887,-0.1065,0.5512,1.188
LR-05-l2-shap,LogisticRegression,por_ticker,GOOGL,B,20,10.0,,5,0.3426,0.3718,0.2,0.4056,0.3623,0.5641,0.2903,0.3263,0.4395,24.2,54.8,21.0,0.0622,-0.6011,0.2492,-0.2201,0.5268,1.0626
LR-05-l2-shap,LogisticRegression,por_ticker,META,B,20,0.3,,5,0.3448,0.3846,0.1593,0.3703,0.3418,0.4706,0.2985,0.3201,0.3831,34.7,43.5,21.8,-0.0809,-0.1957,-0.2824,-0.2271,0.5143,0.9348
LR-05-l2-shap,LogisticRegression,global,GLOBAL,B,20,0.1,,5,0.3669,0.3643,0.2497,0.3713,0.3691,0.4993,0.2455,0.3073,0.3957,36.6,44.6,18.8,1.0425,-2.1567,0.2891,-0.592,0.5291,1.0744
LR-05-l2-shap,LogisticRegression,por_ticker,AAPL,C,20,0.3,,5,0.3234,0.1636,0.2645,0.3659,0.2774,0.5182,0.3022,0.2898,0.3911,29.4,45.2,25.4,-0.0341,-0.159,-0.1246,-0.2449,0.4559,0.9674
LR-05-l2-shap,LogisticRegression,por_ticker,NVDA,C,20,0.03,,5,0.4006,0.3862,0.349,0.3958,0.3226,0.6273,0.2376,0.2801,0.4718,22.6,61.3,16.1,0.4847,0.1284,1.0018,-0.2308,0.5521,1.3362
LR-05-l2-shap,LogisticRegression,por_ticker,TSLA,C,20,3.0,,5,0.4031,0.3256,0.3796,0.3828,0.2742,0.5044,0.3699,0.322,0.4073,22.2,47.6,30.2,0.4413,0.2431,0.7077,-0.354,0.5385,1.1868
LR-05-l2-shap,LogisticRegression,por_ticker,AMZN,C,20,3.0,,5,0.32,0.2727,0.1573,0.3609,0.36,0.5112,0.2114,0.2857,0.3911,31.5,50.4,18.1,-0.0767,-0.1326,-0.3043,-0.2816,0.5203,0.9266
LR-05-l2-shap,LogisticRegression,por_ticker,MSFT,C,20,0.3,,5,0.333,0.2593,0.1739,0.3773,0.3143,0.5394,0.2783,0.2963,0.4153,29.0,54.8,16.1,0.0467,-0.1265,0.2546,-0.1218,0.5268,1.0709
LR-05-l2-shap,LogisticRegression,por_ticker,GOOGL,C,20,0.1,,5,0.3561,0.3733,0.2308,0.4112,0.411,0.5523,0.2703,0.3406,0.4476,27.4,56.9,15.7,0.4719,-0.1914,1.647,-0.1508,0.5888,1.5205
LR-05-l2-shap,LogisticRegression,por_ticker,META,C,20,0.1,,5,0.3718,0.384,0.2087,0.378,0.3436,0.478,0.3125,0.328,0.3911,36.7,44.0,19.4,-0.0562,-0.171,-0.1933,-0.2345,0.4964,0.9547
LR-05-l2-shap,LogisticRegression,global,GLOBAL,C,20,0.03,,5,0.355,0.3551,0.2031,0.3778,0.372,0.5182,0.243,0.3075,0.4073,34.3,47.9,17.9,2.5314,-0.6678,0.5166,-0.5627,0.5348,1.1396
LR-03-l1-all,LogisticRegression,por_ticker,AAPL,A,61,0.1,,5,0.4053,0.3713,0.2937,0.3558,0.288,0.4813,0.2981,0.2931,0.374,21.8,43.6,34.6,0.3596,-0.1253,0.6313,-0.1973,0.4823,1.173
LR-03-l1-all,LogisticRegression,por_ticker,NVDA,A,61,0.1,,5,0.3668,0.3345,0.3503,0.3097,0.0131,0.5303,0.3859,0.1995,0.398,0.2,54.8,45.0,-0.5396,-3.4353,-0.9604,-0.6268,0.4602,0.7855
LR-03-l1-all,LogisticRegression,por_ticker,TSLA,A,61,0.1,,5,0.3418,0.3793,0.1972,0.4038,0.3603,0.4655,0.3858,0.373,0.41,24.0,38.4,37.6,3.0462,2.217,1.2671,-0.4495,0.5584,1.3223
LR-03-l1-all,LogisticRegression,por_ticker,AMZN,A,61,1.0,,5,0.3592,0.4184,0.2955,0.3863,0.2578,0.5058,0.3953,0.3266,0.412,15.4,45.8,38.8,0.6809,0.13,0.9536,-0.1882,0.5461,1.2587
LR-03-l1-all,LogisticRegression,por_ticker,MSFT,A,61,0.01,,5,0.398,0.4185,0.2415,0.3475,0.3667,0.4678,0.2081,0.2874,0.374,44.2,41.6,14.2,0.2347,-0.0993,0.5673,-0.253,0.5274,1.1451
LR-03-l1-all,LogisticRegression,por_ticker,GOOGL,A,61,10.0,,5,0.3838,0.4237,0.2358,0.3236,0.1923,0.3946,0.3839,0.2881,0.348,10.6,34.6,54.8,-0.4359,-1.7245,-1.1469,-0.4876,0.4526,0.7837
LR-03-l1-all,LogisticRegression,por_ticker,META,A,61,0.01,,5,0.3655,0.3955,0.1325,0.3646,0.3569,0.5157,0.2212,0.2891,0.402,31.2,54.4,14.4,-0.0703,-1.0068,-0.1312,-0.2651,0.5044,0.9653
LR-03-l1-all,LogisticRegression,global,GLOBAL,A,61,1.0,,5,0.3779,0.3834,0.2462,0.3751,0.2766,0.4543,0.3943,0.3354,0.3891,19.0,36.8,44.3,11.7082,-84.3236,0.5172,-0.5534,0.5102,1.1289
LR-03-l1-all,LogisticRegression,por_ticker,AAPL,B,61,1.0,,5,0.3275,0.2602,0.3243,0.3884,0.2923,0.4902,0.3827,0.3375,0.4032,26.6,38.7,34.7,0.3885,0.2636,1.1262,-0.1909,0.5132,1.3265
LR-03-l1-all,LogisticRegression,por_ticker,NVDA,B,61,0.1,,5,0.3147,0.0851,0.419,0.4168,0.3103,0.5171,0.4229,0.3666,0.4355,19.4,34.7,46.0,1.1042,0.7479,1.6324,-0.265,0.5679,1.4388
LR-03-l1-all,LogisticRegression,por_ticker,TSLA,B,61,1.0,,5,0.3528,0.303,0.4076,0.3682,0.2537,0.4294,0.4216,0.3377,0.379,26.2,27.8,46.0,0.1214,-0.0767,0.2009,-0.3939,0.5196,1.0414
LR-03-l1-all,LogisticRegression,por_ticker,AMZN,B,61,0.1,,5,0.3468,0.1961,0.3077,0.4354,0.3333,0.5073,0.4656,0.3995,0.4556,12.1,43.1,44.8,1.215,1.1591,2.6179,-0.1266,0.5674,1.8752
LR-03-l1-all,LogisticRegression,por_ticker,MSFT,B,61,0.1,,5,0.3889,0.3179,0.3284,0.3733,0.2946,0.5478,0.2774,0.286,0.4073,24.6,50.4,25.0,-0.0136,-0.1867,-0.0659,-0.2489,0.4715,0.9828
LR-03-l1-all,LogisticRegression,por_ticker,GOOGL,B,61,10.0,,5,0.3535,0.1333,0.439,0.3742,0.3231,0.4205,0.3789,0.351,0.379,21.0,31.5,47.6,-0.092,-0.7553,-0.3387,-0.4095,0.5176,0.9332
LR-03-l1-all,LogisticRegression,por_ticker,META,B,61,0.01,,5,0.2828,0.3543,0.0,0.3245,0.4318,0.5417,0.0,0.2159,0.4153,41.9,58.1,0.0,0.2404,0.1256,0.7411,-0.2903,0.5577,1.225
