config_id,modelo,tipo,ticker,experimento,lookback,n_features,n_seeds,val_f1_macro,val_f1_buy,val_f1_sell,test_f1_macro,test_f1_buy,test_f1_hold,test_f1_sell,test_f1_buy_sell_avg,test_accuracy,test_signal_buy,test_signal_hold,test_signal_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test
LSTM-02-bi,LSTM,por_ticker,AAPL,A,20,61,3,0.3715,0.3433,0.2381,0.3515,0.2557,0.5669,0.2318,0.2437,0.4146,17.1,64.2,18.8,-0.1886,-0.6835,-0.5488,-0.3097,0.5058,0.8433
LSTM-02-bi,LSTM,por_ticker,NVDA,A,20,61,3,0.3509,0.3435,0.0966,0.293,0.0,0.5583,0.3208,0.1604,0.4021,0.2,67.9,31.9,-0.4164,-2.4662,-0.8122,-0.4509,0.4351,0.7859
LSTM-02-bi,LSTM,por_ticker,TSLA,A,20,61,3,0.3297,0.2868,0.1863,0.3544,0.2762,0.5112,0.2759,0.276,0.3958,18.3,62.5,19.2,1.176,-0.2503,0.9569,-0.3596,0.55,1.306
LSTM-02-bi,LSTM,por_ticker,AMZN,A,20,61,3,0.3573,0.3559,0.2966,0.3506,0.2146,0.5451,0.2921,0.2534,0.4042,12.9,61.5,25.6,-0.0459,-0.5442,-0.1112,-0.2423,0.4757,0.9695
LSTM-02-bi,LSTM,por_ticker,MSFT,A,20,61,3,0.3541,0.3415,0.3232,0.3972,0.3282,0.456,0.4072,0.3677,0.4042,27.1,34.2,38.8,0.3615,0.1171,0.8299,-0.1249,0.5538,1.2
LSTM-02-bi,LSTM,por_ticker,GOOGL,A,20,61,3,0.3548,0.4037,0.2214,0.3505,0.288,0.4853,0.2781,0.2831,0.3688,21.0,46.0,32.9,-0.3386,-1.5957,-0.9701,-0.4683,0.4479,0.8044
LSTM-02-bi,LSTM,por_ticker,META,A,20,61,3,0.3376,0.4274,0.0556,0.3425,0.3764,0.556,0.0952,0.2358,0.4146,28.7,63.5,7.7,-0.0957,-0.8146,-0.1995,-0.2562,0.48,0.9422
LSTM-02-bi,LSTM,global,GLOBAL,A,20,61,3,0.3589,,,0.3361,0.1585,0.5482,0.3016,0.2301,0.4071,8.2,66.9,25.0,-0.5403,-79.5566,-0.2096,-0.689,0.4969,0.9349
LSTM-02-bi,LSTM,por_ticker,AAPL,C,20,61,3,0.2624,0.4074,0.0,0.3218,0.4286,0.459,0.0779,0.2532,0.3816,60.1,36.0,3.9,0.2452,0.0421,0.8068,-0.3022,0.5616,1.2236
LSTM-02-bi,LSTM,por_ticker,NVDA,C,20,61,3,0.2353,0.0,0.5017,0.2772,0.0,0.4615,0.37,0.185,0.3596,0.0,35.1,64.9,-0.1633,-0.7713,-0.4782,-0.3817,0.4595,0.9007
LSTM-02-bi,LSTM,por_ticker,TSLA,C,20,61,3,0.2554,0.4123,0.0286,0.2987,0.3738,0.4651,0.0571,0.2155,0.3596,65.8,31.6,2.6,-0.2433,-0.4277,-0.5263,-0.4244,0.4872,0.8967
LSTM-02-bi,LSTM,por_ticker,AMZN,C,20,61,3,0.2252,0.0964,0.0513,0.3634,0.3411,0.5333,0.2157,0.2784,0.4079,28.5,59.2,12.3,0.1189,0.1395,0.4689,-0.2212,0.4731,1.1389
LSTM-02-bi,LSTM,por_ticker,MSFT,C,20,61,3,0.3337,0.3115,0.3353,0.311,0.2937,0.48,0.1593,0.2265,0.3421,35.5,44.3,20.2,-0.15,-0.345,-0.8891,-0.188,0.4567,0.7951
LSTM-02-bi,LSTM,por_ticker,GOOGL,C,20,61,3,0.3719,0.3407,0.3134,0.377,0.4161,0.6,0.1149,0.2655,0.4474,35.1,55.3,9.6,0.1162,-0.4495,0.4663,-0.2243,0.4804,1.123
LSTM-02-bi,LSTM,por_ticker,META,C,20,61,3,0.3154,0.0857,0.3053,0.3096,0.0312,0.4873,0.4103,0.2208,0.3904,0.4,46.9,52.6,0.124,0.1662,0.3879,-0.2846,0.4711,1.1055
