config_id,modelo,tipo,ticker,experimento,n_features,n_seeds,val_f1_macro,val_f1_buy,val_f1_sell,test_f1_macro,test_f1_buy,test_f1_hold,test_f1_sell,test_f1_buy_sell_avg,test_accuracy,test_signal_buy,test_signal_hold,test_signal_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test
XGB-01-all,XGBoost,por_ticker,AAPL,A,61,3,0.3819,0.3642,0.2451,0.3625,0.2809,0.465,0.3416,0.3112,0.382,18.8,46.6,34.6,0.7906,0.3056,1.2421,-0.177,0.5393,1.3913
XGB-01-all,XGBoost,por_ticker,NVDA,A,61,3,0.3572,0.4097,0.2509,0.3637,0.3162,0.4758,0.2993,0.3077,0.384,24.0,49.8,26.2,0.9726,-1.923,0.8234,-0.4917,0.5538,1.2231
XGB-01-all,XGBoost,por_ticker,TSLA,A,61,3,0.3866,0.4162,0.2869,0.3806,0.3521,0.4427,0.3471,0.3496,0.386,23.0,38.8,38.2,3.0135,2.1843,1.2855,-0.3724,0.5458,1.3285
XGB-01-all,XGBoost,por_ticker,AMZN,A,61,3,0.3448,0.4286,0.2137,0.3923,0.3241,0.4573,0.3954,0.3598,0.402,21.0,39.2,39.8,0.3658,-0.1851,0.5796,-0.2363,0.5329,1.142
XGB-01-all,XGBoost,por_ticker,MSFT,A,61,3,0.3881,0.4262,0.2091,0.3843,0.3864,0.4623,0.3042,0.3453,0.394,42.6,34.8,22.6,0.1293,-0.2047,0.3103,-0.2589,0.5583,1.0717
XGB-01-all,XGBoost,por_ticker,GOOGL,A,61,3,0.4065,0.4611,0.2521,0.3712,0.3309,0.4296,0.3529,0.3419,0.378,23.4,41.6,35.0,0.0553,-1.2333,0.1151,-0.2205,0.5068,1.0265
XGB-01-all,XGBoost,por_ticker,META,A,61,3,0.3676,0.431,0.3115,0.3525,0.2787,0.3537,0.4252,0.352,0.366,20.6,24.6,54.8,0.4809,-0.4557,0.5734,-0.3417,0.496,1.136
XGB-01-all,XGBoost,global,GLOBAL,A,61,3,0.3764,,,0.3917,0.3388,0.4677,0.3686,0.3537,0.4,24.4,38.7,36.9,47.6312,-48.4005,0.7945,-0.441,0.5156,1.21
XGB-01-all,XGBoost,por_ticker,AAPL,B,61,3,0.4135,0.378,0.3396,0.3381,0.2635,0.4335,0.3175,0.2905,0.3468,41.5,38.3,20.2,0.4729,0.3479,1.351,-0.1158,0.5294,1.4234
XGB-01-all,XGBoost,por_ticker,NVDA,B,61,3,0.3999,0.2946,0.4074,0.347,0.2783,0.4221,0.3407,0.3095,0.3589,19.0,32.3,48.8,0.7746,0.4183,1.4097,-0.4769,0.5179,1.3531
XGB-01-all,XGBoost,por_ticker,TSLA,B,61,3,0.3839,0.2857,0.3882,0.429,0.4118,0.5025,0.3727,0.3922,0.4355,27.0,36.7,36.3,1.1654,0.9672,1.4011,-0.1956,0.5605,1.3521
XGB-01-all,XGBoost,por_ticker,AMZN,B,61,3,0.3928,0.2833,0.3758,0.4047,0.3759,0.4585,0.3797,0.3778,0.4113,24.6,43.1,32.3,0.607,0.5511,1.6594,-0.2332,0.5603,1.4898
XGB-01-all,XGBoost,por_ticker,MSFT,B,61,3,0.3558,0.2993,0.2388,0.3722,0.3188,0.4379,0.3598,0.3393,0.375,28.2,25.8,46.0,-0.1049,-0.2781,-0.488,-0.2172,0.4402,0.8985
XGB-01-all,XGBoost,por_ticker,GOOGL,B,61,3,0.4113,0.3562,0.4177,0.333,0.3378,0.398,0.2632,0.3005,0.3387,28.2,39.5,32.3,-0.1655,-0.8288,-0.7145,-0.3013,0.48,0.8503
XGB-01-all,XGBoost,por_ticker,META,B,61,3,0.3563,0.2979,0.3791,0.3606,0.3421,0.4,0.3396,0.3409,0.3629,32.3,35.9,31.9,0.278,0.1631,0.7245,-0.244,0.478,1.1905
