config_id,modelo,tipo,ticker,experimento,n_features,n_seeds,C,l1_ratio,calib_f_buy,calib_f_sell,val_f1_macro,val_f1_buy,val_f1_sell,test_f1_macro,test_f1_buy,test_f1_hold,test_f1_sell,test_f1_buy_sell_avg,test_accuracy,test_signal_buy,test_signal_hold,test_signal_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test
LRv2-l2-calib,LogisticRegression,por_ticker,AAPL,A,181,5,0.1,,0.8,1.1,0.4327,0.3346,0.4419,0.3124,0.2044,0.3248,0.4078,0.3061,0.336,16.8,20.8,62.4,-0.058,-0.5429,-0.1143,-0.2792,0.4722,0.9758
LRv2-l2-calib,LogisticRegression,por_ticker,NVDA,A,181,5,0.003,,1.0,1.0,0.3826,0.3904,0.3411,0.3027,0.051,0.4104,0.4467,0.2488,0.372,1.0,28.2,70.8,-0.3435,-3.2391,-0.4649,-0.5435,0.468,0.9112
LRv2-l2-calib,LogisticRegression,por_ticker,TSLA,A,181,5,0.001,,1.0,1.2,0.3812,0.2954,0.4119,0.3086,0.173,0.3165,0.4363,0.3046,0.352,6.6,19.6,73.8,-0.2064,-1.0357,-0.1969,-0.6395,0.5124,0.9625
LRv2-l2-calib,LogisticRegression,por_ticker,AMZN,A,181,5,3.0,,0.7,0.8,0.3855,0.3914,0.3087,0.3298,0.1963,0.5231,0.2699,0.2331,0.38,13.2,59.0,27.8,-0.0142,-0.5652,-0.0312,-0.2223,0.4488,0.9912
LRv2-l2-calib,LogisticRegression,por_ticker,MSFT,A,181,5,0.003,,1.0,1.3,0.3802,0.3469,0.2835,0.3435,0.2232,0.373,0.4342,0.3287,0.366,18.8,20.0,61.2,-0.1693,-0.5033,-0.4518,-0.367,0.4675,0.9135
LRv2-l2-calib,LogisticRegression,por_ticker,GOOGL,A,181,5,0.001,,0.8,1.0,0.3628,0.3665,0.214,0.3461,0.1818,0.4789,0.3777,0.2797,0.382,8.6,45.8,45.6,-0.2587,-1.5473,-0.6508,-0.3855,0.4502,0.8597
LRv2-l2-calib,LogisticRegression,por_ticker,META,A,181,5,0.03,,0.7,1.1,0.3747,0.3518,0.3736,0.2527,0.0278,0.2593,0.471,0.2494,0.35,0.6,13.0,86.4,-0.1492,-1.0857,-0.2435,-0.3908,0.4782,0.9536
LRv2-l2-calib,LogisticRegression,global,GLOBAL,A,181,5,0.003,,1.0,1.2,0.3895,0.3244,0.3467,0.3127,0.1673,0.3316,0.4391,0.3032,0.3549,8.5,20.0,71.5,-0.6372,-96.6689,-0.1969,-0.8422,0.4729,0.9594
LRv2-l2-calib,LogisticRegression,por_ticker,AAPL,B,181,5,0.3,,1.1,1.0,0.3985,0.375,0.4498,0.299,0.2841,0.3422,0.2707,0.2774,0.3024,45.2,31.9,23.0,0.0292,-0.0957,0.1163,-0.1762,0.4911,1.0275
LRv2-l2-calib,LogisticRegression,por_ticker,NVDA,B,181,5,0.001,,1.3,1.0,0.3856,0.3472,0.3975,0.3776,0.4231,0.5146,0.1951,0.3091,0.4234,56.5,35.1,8.5,0.4268,0.0705,0.7781,-0.3066,0.5528,1.1889
LRv2-l2-calib,LogisticRegression,por_ticker,TSLA,B,181,5,0.001,,1.0,0.9,0.3873,0.3758,0.303,0.4041,0.3609,0.5633,0.2881,0.3245,0.4435,25.8,55.2,19.0,0.3188,0.1207,0.572,-0.282,0.5586,1.1577
LRv2-l2-calib,LogisticRegression,por_ticker,AMZN,B,181,5,1.0,,1.3,1.3,0.3679,0.2185,0.4236,0.3175,0.3579,0.229,0.3657,0.3618,0.3266,47.6,13.3,39.1,0.3278,0.2719,0.9093,-0.1848,0.5116,1.1929
