modelo,exp,f1_macro,sharpe
LR-v1,A,0.38,0.6561
LR-v1,B,0.4167,1.2516
LR-v1,C,0.4059,1.0176
LR-v2,A,0.3127,-0.1969
LR-v2,B,0.3747,0.84
LR-v2,C,0.3909,0.6409
XGB-v1,A,0.3917,0.7945
XGB-v1,B,0.3903,0.4184
XGB-v1,C,0.3835,0.3991
LightGBM,A,0.3761,0.2851
LightGBM,B,0.4017,0.7666
LightGBM,C,0.368,0.4227
LSTM-v1,A,0.3388,0.17
LSTM-v1,B,0.37,0.6648
LSTM-v1,C,0.3702,0.3431
CNN-LSTM-v1,A,0.3283,0.1895
CNN-LSTM-v1,B,0.378,0.0905
CNN-LSTM-v1,C,0.346,0.2918
Stacking,A,0.3589,0.032
Stacking,B,0.3581,0.3242
Stacking,C,0.3645,0.358
SoftVoting,A,0.3462,-0.3941
SoftVoting,B,0.331,-0.258
SoftVoting,C,0.322,0.0565
Ensemble-LR-XGB,A,0.3868,0.7014
Ensemble-LR-XGB,B,0.3901,0.85
Ensemble-LR-XGB,C,0.3865,0.2711
LR-ConfFilter,A,0.3694,0.2804
LR-ConfFilter,B,0.4118,1.1957
LR-ConfFilter,C,0.3942,0.7721
