modelo,tipo,experimento,best_config_id,best_lookback,best_f1_macro,best_f1_std,best_f1_buy,best_f1_sell,best_sharpe,best_cum_ret,n_tickers
LogisticRegression,por_ticker,A,BASELINE,,0.3487,0.0181,0.3476,0.2386,0.6911,0.7079,7
LogisticRegression,por_ticker,B,BASELINE,,0.3552,0.0569,0.3586,0.2572,0.467,0.2879,7
LogisticRegression,por_ticker,C,BASELINE,,0.3495,0.0457,0.3618,0.2387,0.77,0.3976,7
LogisticRegression,global,A,BASELINE,,0.3562,,0.3784,0.1988,0.2952,2.9708,1
LogisticRegression,global,B,BASELINE,,0.3912,,0.3838,0.2909,0.3278,1.1542,1
LogisticRegression,global,C,BASELINE,,0.3748,,0.3828,0.2728,0.4279,1.4533,1
XGBoost,por_ticker,A,BASELINE,,0.3781,0.0235,0.3386,0.3125,0.4653,0.5129,7
XGBoost,por_ticker,B,BASELINE,,0.3711,0.0187,0.3288,0.3574,0.2705,0.1969,7
XGBoost,por_ticker,C,BASELINE,,0.3586,0.0382,0.3028,0.3354,-0.203,0.0195,7
XGBoost,global,A,BASELINE,,0.3825,,0.3465,0.3326,0.2114,1.7559,1
XGBoost,global,B,BASELINE,,0.3694,,0.3093,0.3693,-0.2284,-0.4419,1
XGBoost,global,C,BASELINE,,0.362,,0.3044,0.3426,-0.6244,-0.7988,1
LSTM,por_ticker,A,BASELINE,60.0,0.2903,0.0542,0.221,0.137,-0.2532,-0.0118,7
LSTM,por_ticker,B,BASELINE,20.0,0.2883,0.0812,0.339,0.1716,-0.0582,-0.0244,7
LSTM,por_ticker,C,BASELINE,20.0,0.2567,0.0881,0.2664,0.172,0.3686,0.0936,7
LSTM,global,A,BASELINE,20.0,0.2996,,0.4112,0.0,0.7506,15.9234,1
LSTM,global,B,BASELINE,20.0,0.3345,,0.3996,0.0627,0.757,2.6345,1
LSTM,global,C,BASELINE,20.0,0.3763,,0.3406,0.2971,-0.1448,-0.2496,1
CNN-LSTM,por_ticker,A,BASELINE,20.0,0.3068,0.0299,0.2588,0.138,0.0397,0.1633,7
CNN-LSTM,por_ticker,B,BASELINE,20.0,0.3117,0.0417,0.3708,0.1836,-0.588,-0.1394,7
CNN-LSTM,por_ticker,C,BASELINE,20.0,0.3171,0.0503,0.2213,0.301,0.4883,0.1322,7
CNN-LSTM,global,A,BASELINE,20.0,0.3394,,0.2284,0.2564,-0.4839,-0.7971,1
CNN-LSTM,global,B,BASELINE,20.0,0.3585,,0.2537,0.2384,-0.1769,-0.234,1
CNN-LSTM,global,C,BASELINE,20.0,0.3723,,0.3011,0.357,-0.2329,-0.3905,1
