modelo,tipo,experimento,best_config_id,best_lookback,best_f1_macro,best_f1_std,best_f1_buy,best_f1_sell,best_sharpe,best_cum_ret,n_tickers
LogisticRegression,por_ticker,A,LR-03-l1-all,,0.3559,0.033,0.2622,0.3255,0.1687,0.4679,7
LogisticRegression,por_ticker,B,LR-02-elasticnet-all,,0.3956,0.0254,0.292,0.3784,0.6378,0.3844,7
LogisticRegression,por_ticker,C,LR-05-l2-shap,,0.3817,0.0173,0.329,0.2832,0.427,0.1825,7
LogisticRegression,global,A,LR-02-elasticnet-all,,0.38,,0.2824,0.3801,0.3607,4.8728,1
LogisticRegression,global,B,LR-02-elasticnet-all,,0.4167,,0.3527,0.3459,1.2516,20.5587,1
LogisticRegression,global,C,LR-03-l1-all,,0.4059,,0.3501,0.319,0.9569,9.3981,1
XGBoost,por_ticker,A,XGB-01-all,,0.3724,0.014,0.3242,0.3522,0.7042,0.8297,7
XGBoost,por_ticker,B,XGB-01-all,,0.3692,0.0358,0.3326,0.339,0.7633,0.4325,7
XGBoost,por_ticker,C,XGB-01-all,,0.3612,0.0243,0.3223,0.3422,0.2232,0.1389,7
XGBoost,global,A,XGB-01-all,,0.3917,,0.3388,0.3686,0.7945,47.6312,1
XGBoost,global,B,XGB-01-all,,0.3903,,0.3489,0.3717,0.4184,1.9154,1
XGBoost,global,C,XGB-01-all,,0.3835,,0.3463,0.3527,0.3991,1.7654,1
LSTM,por_ticker,A,LSTM-02-bi,20.0,0.3485,0.0304,0.2484,0.2716,-0.1221,0.0646,7
LSTM,por_ticker,B,LSTM-02-bi,20.0,0.3376,0.0517,0.2867,0.2582,0.213,0.0706,7
LSTM,por_ticker,C,LSTM-02-bi,20.0,0.3227,0.0355,0.2692,0.2007,0.0338,0.0068,7
LSTM,global,A,LSTM-02-bi,60.0,0.3388,,0.2202,0.2469,0.17,0.7346,1
LSTM,global,B,LSTM-02-bi,60.0,0.37,,0.3013,0.2861,0.4327,1.1594,1
LSTM,global,C,LSTM-02-bi,20.0,0.3702,,0.3565,0.2806,0.1627,0.4494,1
CNN-LSTM,por_ticker,A,CNN-01-base,60.0,0.3171,0.0212,0.2392,0.1975,0.1914,0.0933,7
CNN-LSTM,por_ticker,B,CNN-02-bi,20.0,0.3358,0.0249,0.2754,0.2545,-0.1153,-0.0451,7
CNN-LSTM,por_ticker,C,CNN-01-base,20.0,0.3485,0.0405,0.2844,0.2295,0.3363,0.106,7
CNN-LSTM,global,A,CNN-01-base,60.0,0.3283,,0.2342,0.1885,0.1895,0.8164,1
CNN-LSTM,global,B,CNN-01-base,20.0,0.378,,0.2533,0.3805,0.0905,0.2265,1
CNN-LSTM,global,C,CNN-01-base,20.0,0.346,,0.1197,0.4255,0.2918,0.9427,1
