modelo,config_id,tipo,experimento,lookback,f1_macro_mean,f1_macro_std,f1_buy_mean,f1_sell_mean,f1_buy_sell_avg,sharpe_mean,cum_ret_mean,n_tickers
CNN-LSTM,CNN-01-base,global,A,20.0,0.3092,,0.3167,0.0454,0.1811,-0.0259,-0.0865,1
CNN-LSTM,CNN-01-base,global,B,20.0,0.378,,0.2533,0.3805,0.3169,0.0905,0.2265,1
CNN-LSTM,CNN-01-base,por_ticker,A,20.0,0.2996,0.0549,0.1524,0.3375,0.2449,-0.3256,-0.1398,7
CNN-LSTM,CNN-01-base,por_ticker,B,20.0,0.3356,0.0564,0.1649,0.3774,0.2711,-0.2811,-0.0749,7
CNN-LSTM,CNN-02-bi,global,B,20.0,0.3003,,0.09,0.4284,0.2592,-0.2018,-0.378,1
CNN-LSTM,CNN-02-bi,por_ticker,B,20.0,0.3358,0.0249,0.2754,0.2545,0.2649,-0.1153,-0.0451,7
CNN-LSTM,CNN-04-multikernel,global,B,20.0,0.3374,,0.0589,0.3811,0.22,-0.1252,-0.229,1
CNN-LSTM,CNN-04-multikernel,por_ticker,B,20.0,0.3303,0.0435,0.2686,0.2459,0.2572,-0.2112,-0.0307,7
CNN-LSTM,CNN-05-focal,global,B,20.0,0.2755,,0.0956,0.4439,0.2698,-0.3046,-0.5286,1
CNN-LSTM,CNN-05-focal,por_ticker,B,20.0,0.2959,0.0494,0.2687,0.3436,0.3061,-0.1381,-0.0318,7
CNN-LSTM,CNN-06-deeper,global,B,20.0,0.3286,,0.0,0.3904,0.1952,-0.3207,-0.4775,1
CNN-LSTM,CNN-06-deeper,por_ticker,B,20.0,0.3107,0.0817,0.2465,0.235,0.2408,0.185,0.1738,7
LSTM,LSTM-01-stack,global,B,20.0,0.3602,,0.3733,0.1447,0.259,0.2445,0.6841,1
LSTM,LSTM-01-stack,global,B,60.0,0.351,,0.3554,0.1407,0.2481,0.6648,2.0404,1
LSTM,LSTM-01-stack,por_ticker,B,20.0,0.3215,0.0813,0.2912,0.2159,0.2536,-0.125,-0.0247,7
LSTM,LSTM-01-stack,por_ticker,B,60.0,0.2951,0.0515,0.2259,0.2125,0.2192,-0.1659,0.0225,7
LSTM,LSTM-02-bi,global,A,20.0,0.3361,,0.1585,0.3016,0.2301,-0.2096,-0.5403,1
LSTM,LSTM-02-bi,global,A,60.0,0.3388,,0.2202,0.2469,0.2336,0.17,0.7346,1
LSTM,LSTM-02-bi,global,B,20.0,0.3617,,0.3347,0.1872,0.261,-0.1352,-0.2465,1
LSTM,LSTM-02-bi,global,B,60.0,0.37,,0.3013,0.2861,0.2937,0.4327,1.1594,1
LSTM,LSTM-02-bi,global,C,20.0,0.3702,,0.3565,0.2806,0.3186,0.1627,0.4494,1
LSTM,LSTM-02-bi,global,C,60.0,0.3517,,0.3397,0.2826,0.3112,0.3431,0.8742,1
LSTM,LSTM-02-bi,por_ticker,A,20.0,0.3485,0.0304,0.2484,0.2716,0.26,-0.1221,0.0646,7
LSTM,LSTM-02-bi,por_ticker,A,60.0,0.3452,0.0294,0.3169,0.196,0.2565,0.0906,0.1599,7
LSTM,LSTM-02-bi,por_ticker,B,20.0,0.3376,0.0517,0.2867,0.2582,0.2725,0.213,0.0706,7
LSTM,LSTM-02-bi,por_ticker,B,60.0,0.3176,0.0524,0.2573,0.2774,0.2674,-0.1045,-0.0084,7
LSTM,LSTM-02-bi,por_ticker,C,20.0,0.3227,0.0355,0.2692,0.2007,0.235,0.0338,0.0068,7
LSTM,LSTM-02-bi,por_ticker,C,60.0,0.2336,0.0842,0.2678,0.271,0.2693,-0.1734,0.0539,7
LogisticRegression,LR-01-l2-all,global,A,,0.3755,,0.2714,0.3985,0.3349,0.4921,10.2647,1
LogisticRegression,LR-01-l2-all,global,B,,0.3856,,0.2768,0.3641,0.3205,0.7683,5.8174,1
LogisticRegression,LR-01-l2-all,global,C,,0.3987,,0.3011,0.3591,0.3301,1.0176,10.658,1
LogisticRegression,LR-01-l2-all,por_ticker,A,,0.3372,0.0493,0.2324,0.3191,0.2758,0.3342,0.447,7
LogisticRegression,LR-01-l2-all,por_ticker,B,,0.3918,0.0226,0.3111,0.3816,0.3463,0.875,0.491,7
LogisticRegression,LR-01-l2-all,por_ticker,C,,0.3662,0.0336,0.2743,0.4006,0.3375,0.6492,0.4031,7
LogisticRegression,LR-02-elasticnet-all,global,A,,0.38,,0.2824,0.3801,0.3313,0.3607,4.8728,1
LogisticRegression,LR-02-elasticnet-all,global,B,,0.4167,,0.3527,0.3459,0.3493,1.2516,20.5587,1
LogisticRegression,LR-02-elasticnet-all,global,C,,0.3955,,0.3355,0.3104,0.3229,0.683,4.2426,1
LogisticRegression,LR-02-elasticnet-all,por_ticker,A,,0.3545,0.0294,0.2763,0.2619,0.2691,0.0924,0.1515,7
LogisticRegression,LR-02-elasticnet-all,por_ticker,B,,0.3956,0.0254,0.292,0.3784,0.3351,0.6378,0.3844,7
LogisticRegression,LR-02-elasticnet-all,por_ticker,C,,0.3573,0.0278,0.2634,0.3559,0.3097,0.0541,0.0607,7
LogisticRegression,LR-03-l1-all,global,A,,0.3751,,0.2766,0.3943,0.3354,0.5172,11.7082,1
LogisticRegression,LR-03-l1-all,global,B,,0.382,,0.2754,0.3579,0.3167,0.6282,3.7999,1
LogisticRegression,LR-03-l1-all,global,C,,0.4059,,0.3501,0.319,0.3345,0.9569,9.3981,1
LogisticRegression,LR-03-l1-all,por_ticker,A,,0.3559,0.033,0.2622,0.3255,0.2938,0.1687,0.4679,7
LogisticRegression,LR-03-l1-all,por_ticker,B,,0.383,0.0359,0.3199,0.3356,0.3277,0.8448,0.4234,7
LogisticRegression,LR-03-l1-all,por_ticker,C,,0.3647,0.0175,0.2744,0.3845,0.3294,0.5913,0.2976,7
LogisticRegression,LR-05-l2-shap,global,A,,0.3682,,0.3821,0.2542,0.3182,0.6561,22.5862,1
LogisticRegression,LR-05-l2-shap,global,B,,0.3713,,0.3691,0.2455,0.3073,0.2891,1.0425,1
LogisticRegression,LR-05-l2-shap,global,C,,0.3778,,0.372,0.243,0.3075,0.5166,2.5314,1
LogisticRegression,LR-05-l2-shap,por_ticker,A,,0.3465,0.0237,0.3357,0.2341,0.2848,-0.2067,0.1818,7
LogisticRegression,LR-05-l2-shap,por_ticker,B,,0.3875,0.0262,0.3351,0.2945,0.3148,0.2422,0.1357,7
LogisticRegression,LR-05-l2-shap,por_ticker,C,,0.3817,0.0173,0.329,0.2832,0.3061,0.427,0.1825,7
