modelo,exp,features,n_features,F1_macro,Win_Rate,Profit_Factor,Max_Drawdown
LogisticRegression,A,filt,,0.3562,0.507,1.0748,-0.5358
LogisticRegression,A,all,61.0,0.38,0.5095,1.0903,-0.6928
LogisticRegression,B,filt,,0.3912,0.4898,1.0807,-0.5511
LogisticRegression,B,all,61.0,0.4167,0.5156,1.378,-0.4191
LogisticRegression,C,filt,,0.3748,0.521,1.1102,-0.3887
LogisticRegression,C,all,61.0,0.3955,0.5022,1.1939,-0.4998
XGBoost,A,filt,,0.3825,0.5082,1.052,-0.6727
XGBoost,A,all,61.0,0.3917,0.5156,1.21,-0.441
XGBoost,B,filt,,0.3694,0.5067,0.9495,-0.686
XGBoost,B,all,61.0,0.3903,0.4996,1.1012,-0.4416
XGBoost,C,filt,,0.362,0.464,0.8678,-0.8646
XGBoost,C,all,61.0,0.3835,0.4952,1.0964,-0.4685
LSTM,A,filt,,0.2996,0.5458,1.2255,-0.6395
LSTM,A,all,61.0,0.3388,0.5074,1.0576,-0.4488
LSTM,B,filt,,0.3345,0.5494,1.2418,-0.3761
LSTM,B,all,61.0,0.37,0.4914,1.12,-0.4064
LSTM,C,filt,,0.3763,0.4972,0.964,-0.7041
LSTM,C,all,61.0,0.3702,0.4959,1.039,-0.6315
CNN-LSTM,A,filt,,0.3394,0.488,0.8608,-0.8892
CNN-LSTM,A,all,66.0,0.3283,0.5025,1.071,-0.4713
CNN-LSTM,B,filt,,0.3585,0.4981,0.9426,-0.5113
CNN-LSTM,B,all,66.0,0.378,0.5043,1.0226,-0.457
CNN-LSTM,C,filt,,0.3723,0.4708,0.9452,-0.6706
CNN-LSTM,C,all,66.0,0.346,0.4968,1.0723,-0.442
CNN,A,filt,25.0,0.3134,0.5471,1.1458,-0.4033
CNN,A,all,61.0,0.3483,0.5291,1.0784,-0.5138
CNN,B,filt,10.0,0.3682,0.5296,1.3164,-0.4451
CNN,B,all,61.0,0.3434,0.5102,1.0309,-0.4343
CNN,C,filt,3.0,0.3621,0.5017,0.9671,-0.5947
CNN,C,all,61.0,0.3727,0.4944,0.9241,-0.6664
