modelo,experimento,tipo,ticker,lookback,F1_macro,F1_BUY,F1_SELL,F1_HOLD,Win_Rate,Profit_Factor,Max_Drawdown,Sharpe,Cum_Return
LR,A,global,GLOBAL,,0.38,0.2824,0.3801,0.4774,0.5095,1.0903,-0.6928,0.3607,4.8728
LR,A,por_ticker,AAPL,,0.363,0.2972,0.3049,0.487,0.4774,1.1799,-0.2,0.6623,0.3826
LR,A,por_ticker,NVDA,,0.305,0.013,0.3515,0.5504,0.4444,0.7652,-0.5417,-0.9754,-0.5274
LR,A,por_ticker,TSLA,,0.3983,0.3311,0.3394,0.5246,0.5625,1.1717,-0.3947,0.6855,1.0873
LR,A,por_ticker,AMZN,,0.3345,0.2415,0.1991,0.5629,0.5077,1.1541,-0.2097,0.4176,0.1959
LR,A,por_ticker,MSFT,,0.3496,0.3523,0.1932,0.5034,0.5259,1.1233,-0.2776,0.4704,0.1891
LR,A,por_ticker,GOOGL,,0.3716,0.3478,0.2259,0.5411,0.4894,0.8798,-0.3588,-0.5141,-0.2108
LR,A,por_ticker,META,,0.3593,0.351,0.2194,0.5076,0.4754,0.974,-0.3206,-0.0995,-0.0565
LR,B,global,GLOBAL,,0.4167,0.3527,0.3459,0.5516,0.5156,1.378,-0.4191,1.2516,20.5587
LR,B,por_ticker,AAPL,,0.3949,0.2969,0.3804,0.5073,0.5099,1.4106,-0.1679,1.3751,0.4932
LR,B,por_ticker,NVDA,,0.4305,0.2887,0.4327,0.5702,0.5612,1.7699,-0.1949,2.3714,1.8705
LR,B,por_ticker,TSLA,,0.3658,0.224,0.4086,0.4649,0.5263,0.9229,-0.4301,-0.3887,-0.1977
LR,B,por_ticker,AMZN,,0.4297,0.297,0.4694,0.5226,0.5578,1.4823,-0.1304,1.7075,0.7
LR,B,por_ticker,MSFT,,0.3747,0.2645,0.3056,0.5541,0.459,1.0206,-0.2525,0.0774,0.0162
LR,B,por_ticker,GOOGL,,0.387,0.315,0.3978,0.4481,0.5031,0.9254,-0.3558,-0.3744,-0.0994
LR,B,por_ticker,META,,0.3865,0.3576,0.254,0.5479,0.424,0.926,-0.3341,-0.3038,-0.0918
LR,C,global,GLOBAL,,0.3955,0.3355,0.3104,0.5406,0.5022,1.1939,-0.4998,0.683,4.2426
LR,C,por_ticker,AAPL,,0.3686,0.3172,0.3056,0.4831,0.5168,1.1663,-0.1285,0.6111,0.1952
LR,C,por_ticker,NVDA,,0.299,0.0,0.4184,0.4787,0.4804,0.9662,-0.4478,-0.1636,-0.0738
LR,C,por_ticker,TSLA,,0.3587,0.256,0.3979,0.4222,0.4886,1.1005,-0.381,0.4696,0.307
LR,C,por_ticker,AMZN,,0.379,0.2569,0.4236,0.4565,0.5309,1.1406,-0.2065,0.5976,0.1902
LR,C,por_ticker,MSFT,,0.3824,0.2456,0.3394,0.5622,0.4118,0.879,-0.311,-0.5221,-0.1048
LR,C,por_ticker,GOOGL,,0.3563,0.3857,0.4126,0.2707,0.5352,1.135,-0.3522,0.6858,0.2375
LR,C,por_ticker,META,,0.3572,0.3827,0.1935,0.4952,0.4179,0.7307,-0.442,-1.2998,-0.3261
XGBoost,A,global,GLOBAL,,0.3917,0.3388,0.3686,0.4677,0.5156,1.21,-0.441,0.7945,47.6312
XGBoost,A,por_ticker,AAPL,,0.3625,0.2809,0.3416,0.465,0.5393,1.3913,-0.177,1.2421,0.7906
XGBoost,A,por_ticker,NVDA,,0.3637,0.3162,0.2993,0.4758,0.5538,1.2231,-0.4917,0.8234,0.9726
XGBoost,A,por_ticker,TSLA,,0.3806,0.3521,0.3471,0.4427,0.5458,1.3285,-0.3724,1.2855,3.0135
XGBoost,A,por_ticker,AMZN,,0.3923,0.3241,0.3954,0.4573,0.5329,1.142,-0.2363,0.5796,0.3658
XGBoost,A,por_ticker,MSFT,,0.3843,0.3864,0.3042,0.4623,0.5583,1.0717,-0.2589,0.3103,0.1293
XGBoost,A,por_ticker,GOOGL,,0.3712,0.3309,0.3529,0.4296,0.5068,1.0265,-0.2205,0.1151,0.0553
XGBoost,A,por_ticker,META,,0.3525,0.2787,0.4252,0.3537,0.496,1.136,-0.3417,0.5734,0.4809
XGBoost,B,global,GLOBAL,,0.3903,0.3489,0.3717,0.4503,0.4996,1.1012,-0.4416,0.4184,1.9154
XGBoost,B,por_ticker,AAPL,,0.3381,0.2635,0.3175,0.4335,0.5294,1.4234,-0.1158,1.351,0.4729
