modelo,tipo,ticker,experimento,w_lr,w_xgb,w_lstm,w_cnn,test_f1_macro,test_f1_buy,test_f1_hold,test_f1_sell,test_f1_buy_sell_avg,test_accuracy,test_signal_buy,test_signal_hold,test_signal_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test
SoftVoting,por_ticker,AAPL,A,0.0,1.0,0.0,0.0,0.3594,0.2673,0.474,0.3369,0.3021,0.3795,20.7,44.8,34.5,0.482,-0.1235,0.9068,-0.1749,0.5144,1.267
SoftVoting,por_ticker,NVDA,A,0.0,1.0,0.0,0.0,0.3655,0.2869,0.4709,0.3387,0.3128,0.3841,24.5,48.4,27.0,1.0792,0.0026,1.04,-0.4158,0.5463,1.2791
SoftVoting,por_ticker,TSLA,A,0.0,1.0,0.0,0.0,0.3823,0.3544,0.432,0.3607,0.3575,0.3864,21.8,37.7,40.5,2.0352,0.4502,1.1592,-0.3362,0.5584,1.2837
SoftVoting,por_ticker,AMZN,A,0.0,1.0,0.0,0.0,0.3757,0.2909,0.4277,0.4085,0.3497,0.3864,19.8,36.4,43.9,0.2165,-0.0726,0.4076,-0.2699,0.5179,1.0942
SoftVoting,por_ticker,MSFT,A,0.0,1.0,0.0,0.0,0.3706,0.3853,0.4396,0.287,0.3361,0.3795,47.3,31.8,20.9,0.1181,-0.0557,0.3124,-0.2159,0.5567,1.0712
SoftVoting,por_ticker,GOOGL,A,0.0,1.0,0.0,0.0,0.3817,0.3417,0.4235,0.38,0.3608,0.3864,23.9,38.2,38.0,0.1296,-0.9656,0.2821,-0.2903,0.5074,1.0643
SoftVoting,por_ticker,META,A,0.0,0.8,0.0,0.2,0.3391,0.3049,0.3083,0.4041,0.3545,0.35,23.0,19.1,58.0,0.0424,-0.3372,0.0709,-0.3649,0.4663,1.0147
SoftVoting,global,GLOBAL,A,0.0,0.4444444444444445,0.5555555555555556,0.0,0.3462,0.2171,0.4871,0.3345,0.2758,0.3795,13.1,51.1,35.8,-0.7752,-37.4694,-0.3941,-0.8798,0.4831,0.8997
SoftVoting,por_ticker,AAPL,B,0.0,0.5,0.0,0.5,0.2845,0.1864,0.3671,0.3,0.2432,0.2926,38.8,37.2,23.9,-0.2003,-0.428,-0.9735,-0.2783,0.5169,0.7635
SoftVoting,por_ticker,NVDA,B,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3056,0.1798,0.5169,0.2202,0.2,0.3511,20.7,43.1,36.2,-0.3605,-1.0634,-1.6237,-0.4648,0.4206,0.6681
SoftVoting,por_ticker,TSLA,B,0.0,0.8333333333333334,0.16666666666666669,0.0,0.4087,0.3838,0.5393,0.303,0.3434,0.4362,25.5,45.7,28.7,1.1151,0.4224,1.9879,-0.1995,0.549,1.6139
SoftVoting,por_ticker,AMZN,B,0.0,0.6666666666666666,0.3333333333333333,0.0,0.4294,0.4078,0.4872,0.3932,0.4005,0.4362,26.6,40.4,33.0,0.5146,0.3045,1.8181,-0.206,0.5536,1.5599
SoftVoting,por_ticker,MSFT,B,0.0,1.0,0.0,0.0,0.3515,0.3186,0.4638,0.272,0.2953,0.3564,31.4,29.3,39.4,-0.1516,-0.434,-0.997,-0.2188,0.4361,0.7938
SoftVoting,por_ticker,GOOGL,B,0.0,0.6666666666666666,0.0,0.3333333333333333,0.3004,0.2653,0.3902,0.2456,0.2555,0.3138,21.3,43.6,35.1,-0.1914,-1.1951,-1.118,-0.2308,0.4811,0.7547
SoftVoting,por_ticker,META,B,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3433,0.283,0.4321,0.3148,0.2989,0.3564,29.8,44.1,26.1,0.1905,0.0515,0.6536,-0.1863,0.4857,1.1955
SoftVoting,global,GLOBAL,B,0.4,0.6,0.0,0.0,0.331,0.2672,0.4072,0.3186,0.2929,0.3404,26.6,35.0,38.4,-0.3379,-11.8698,-0.258,-0.6988,0.4953,0.94
SoftVoting,por_ticker,AAPL,C,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.3455,0.2609,0.4321,0.3434,0.3022,0.3564,37.2,39.4,23.4,0.296,0.0683,1.1432,-0.1094,0.5702,1.3745
SoftVoting,por_ticker,NVDA,C,0.0,1.0,0.0,0.0,0.3527,0.1892,0.5434,0.3256,0.2574,0.3989,12.8,40.4,46.8,-0.1362,-0.8391,-0.5233,-0.4819,0.4554,0.8835
SoftVoting,por_ticker,TSLA,C,0.0,0.7499999999999999,0.25,0.0,0.3625,0.3738,0.475,0.2385,0.3062,0.3777,29.8,36.2,34.0,-0.0055,-0.6982,-0.014,-0.2355,0.475,0.997
SoftVoting,por_ticker,AMZN,C,0.0,1.0,0.0,0.0,0.3765,0.3333,0.4713,0.3248,0.3291,0.3883,26.1,41.0,33.0,0.2529,0.0429,0.9979,-0.1244,0.5135,1.2758
SoftVoting,por_ticker,MSFT,C,0.0,1.0,0.0,0.0,0.3409,0.2941,0.4638,0.2647,0.2794,0.3457,25.5,29.3,45.2,-0.236,-0.5184,-1.6357,-0.2968,0.391,0.6824
SoftVoting,por_ticker,GOOGL,C,0.0,1.0,0.0,0.0,0.3391,0.3146,0.3974,0.3053,0.31,0.3457,16.5,39.4,44.1,-0.0471,-1.0507,-0.2494,-0.271,0.4737,0.9448
SoftVoting,por_ticker,META,C,0.0,1.0,0.0,0.0,0.3125,0.2609,0.4459,0.2308,0.2458,0.3298,34.6,41.5,23.9,-0.0977,-0.2367,-0.3824,-0.2166,0.4273,0.9035
SoftVoting,global,GLOBAL,C,0.0,0.8,0.2,0.0,0.322,0.25,0.3473,0.3688,0.3094,0.3328,20.0,27.0,53.0,0.1042,-11.4277,0.0565,-0.5659,0.4797,1.013
