modelo,tipo,ticker,experimento,lookback,test_f1_macro,test_f1_buy,test_f1_sell,test_f1_hold,test_f1_buy_sell_avg,test_signal_buy,test_signal_hold,test_signal_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test
LR,por_ticker,AAPL,A,,0.3485,0.3032,0.2519,0.4902,0.2776,27.2,50.2,22.6,-0.0906,-0.5755,-0.2036,-0.3805,0.5301,0.9458
LR,por_ticker,NVDA,A,,0.3017,0.2893,0.0387,0.5771,0.164,18.0,79.6,2.4,0.4832,-2.4125,0.6379,-0.231,0.598,1.2619
LR,por_ticker,TSLA,A,,0.3815,0.3394,0.3089,0.4964,0.3241,35.6,42.4,22.0,0.514,-0.3153,0.3842,-0.5133,0.5139,1.0906
LR,por_ticker,AMZN,A,,0.3306,0.2392,0.1748,0.5778,0.207,12.2,76.6,11.2,-0.0013,-0.5522,-0.0031,-0.2195,0.5214,0.9989
LR,por_ticker,MSFT,A,,0.3301,0.3362,0.1347,0.5195,0.2355,41.2,50.2,8.6,0.0021,-0.3319,0.0058,-0.242,0.498,1.0015
LR,por_ticker,GOOGL,A,,0.3363,0.2789,0.178,0.552,0.2284,19.2,72.2,8.6,0.1379,-1.1507,0.3433,-0.193,0.554,1.1187
LR,por_ticker,META,A,,0.359,0.4091,0.2689,0.3989,0.339,51.0,32.2,16.8,1.0309,0.0943,1.1454,-0.2512,0.5369,1.2934
LR,global,GLOBAL,A,,0.3758,0.4237,0.248,0.4556,0.3359,49.7,37.1,13.3,286.9832,190.9515,1.1604,-0.5151,0.5629,1.3152
XGBoost,por_ticker,AAPL,A,,0.3806,0.3526,0.3228,0.4665,0.3377,34.2,38.6,27.2,0.5194,0.0345,0.8552,-0.2326,0.544,1.2348
XGBoost,por_ticker,NVDA,A,,0.3252,0.2889,0.1429,0.5438,0.2159,23.6,68.6,7.8,0.3621,-2.5335,0.4328,-0.2765,0.5223,1.141
XGBoost,por_ticker,TSLA,A,,0.3331,0.2727,0.2553,0.4714,0.264,22.4,51.0,26.6,-0.1775,-1.0068,-0.1999,-0.5569,0.5143,0.9505
XGBoost,por_ticker,AMZN,A,,0.3763,0.3146,0.3354,0.479,0.325,23.8,40.6,35.6,-0.0449,-0.5958,-0.0865,-0.3604,0.4949,0.9805
XGBoost,por_ticker,MSFT,A,,0.3521,0.37,0.2072,0.479,0.2886,46.8,38.8,14.4,0.1904,-0.1436,0.4512,-0.2308,0.5359,1.1101
XGBoost,por_ticker,GOOGL,A,,0.4107,0.3831,0.3258,0.5234,0.3544,30.6,46.2,23.2,0.0432,-1.2455,0.0883,-0.2213,0.5167,1.0208
XGBoost,por_ticker,META,A,,0.3967,0.4272,0.3429,0.4199,0.3851,36.4,31.4,32.2,1.7845,0.848,1.6516,-0.1841,0.5335,1.4445
XGBoost,global,GLOBAL,A,,0.3716,0.3591,0.2543,0.5016,0.3067,29.8,49.9,20.3,9.3633,-86.6684,0.5209,-0.5407,0.5288,1.15
LSTM,por_ticker,AAPL,A,20.0,0.3555,0.3297,0.2987,0.438,0.3142,28.3,37.3,34.4,-0.0217,-0.5166,-0.0472,-0.3531,0.495,0.9888
LSTM,por_ticker,NVDA,A,20.0,0.3399,0.0727,0.435,0.512,0.2539,4.6,46.0,49.4,-0.0967,-2.1465,-0.1251,-0.2708,0.471,0.9712
LSTM,por_ticker,TSLA,A,20.0,0.2881,0.0,0.3824,0.4819,0.1912,0.0,58.3,41.7,0.2503,-1.1761,0.2639,-0.3954,0.535,1.0719
LSTM,por_ticker,AMZN,A,20.0,0.332,0.4068,0.0881,0.5011,0.2474,44.0,52.9,3.1,0.4763,-0.022,0.856,-0.2823,0.5531,1.2424
LSTM,por_ticker,MSFT,A,20.0,0.374,0.2883,0.3048,0.5288,0.2966,18.8,56.0,25.2,0.0917,-0.1527,0.2808,-0.1209,0.5403,1.0787
LSTM,por_ticker,GOOGL,A,20.0,0.3414,0.3579,0.1488,0.5174,0.2534,28.3,56.9,14.8,-0.1071,-1.3642,-0.2881,-0.3217,0.4928,0.9306
LSTM,por_ticker,META,A,20.0,0.3679,0.3372,0.298,0.4685,0.3176,26.7,42.1,31.2,-0.2589,-0.9778,-0.5405,-0.451,0.4964,0.8786
LSTM,global,GLOBAL,A,20.0,0.3713,0.3539,0.2974,0.4627,0.3256,33.8,40.8,25.4,0.9993,-78.0169,0.1516,-0.6586,0.5093,1.0375
CNN,por_ticker,AAPL,A,20.0,0.3022,0.3929,0.0599,0.4539,0.2264,53.1,41.9,5.0,-0.0393,-0.5342,-0.0863,-0.3823,0.5233,0.9782
CNN,por_ticker,NVDA,A,20.0,0.2147,0.0654,0.0,0.5787,0.0327,2.1,97.9,0.0,0.1397,-1.9101,1.2588,-0.0205,0.6,5.3462
CNN,por_ticker,TSLA,A,20.0,0.3848,0.2544,0.3643,0.5356,0.3093,16.0,57.1,26.9,1.2195,-0.2068,0.8997,-0.3515,0.5291,1.2571
CNN,por_ticker,AMZN,A,20.0,0.1908,0.0,0.0,0.5723,0.0,0.4,99.6,0.0,-0.0262,-0.5244,-0.9341,-0.0262,0.0,0.0
CNN,por_ticker,MSFT,A,20.0,0.1961,0.0,0.0,0.5882,0.0,0.0,100.0,0.0,0.0,-0.2444,0.0,0.0,0.0,
CNN,por_ticker,GOOGL,A,20.0,0.2923,0.1294,0.2203,0.5271,0.1749,4.4,76.5,19.2,0.0519,-1.2052,0.1698,-0.2355,0.4425,1.0625
CNN,por_ticker,META,A,20.0,0.2762,0.3915,0.0,0.4372,0.1958,51.0,49.0,0.0,0.4655,-0.2534,0.7579,-0.28,0.5469,1.2163
CNN,global,GLOBAL,A,20.0,0.3325,0.2176,0.4259,0.3538,0.3218,16.5,25.8,57.7,0.5685,-78.4478,0.0945,-0.6645,0.4868,1.021
