number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_escalador,params_l1_ratio,params_penalty,state
0,0.30830874695851174,2026-08-15 00:14:40.320945,2026-08-15 00:14:45.369677,0 days 00:00:05.048732,1.55099139875943,balanced,robust,,l2,COMPLETE
1,0.30638490655174233,2026-08-15 00:14:45.376688,2026-08-15 00:14:49.496470,0 days 00:00:04.119782,615.6997328235198,balanced,robust,,l2,COMPLETE
2,0.3282052191890164,2026-08-15 00:14:49.502540,2026-08-15 00:14:53.604210,0 days 00:00:04.101670,0.010929592787219389,balanced,robust,,l2,COMPLETE
3,0.31152335545842996,2026-08-15 00:14:53.682388,2026-08-15 00:14:57.962247,0 days 00:00:04.279859,0.3977782830811188,balanced,standard,,l2,COMPLETE
4,0.3194887947864607,2026-08-15 00:14:57.980920,2026-08-15 00:15:01.915790,0 days 00:00:03.934870,45.5807468402732,balanced,standard,0.12203823484477883,elasticnet,COMPLETE
5,0.32590188497697614,2026-08-15 00:15:01.922280,2026-08-15 00:15:02.709214,0 days 00:00:00.786934,0.006478282331897323,balanced,robust,0.18485445552552704,elasticnet,COMPLETE
6,0.3209484645088089,2026-08-15 00:15:02.782285,2026-08-15 00:15:10.306706,0 days 00:00:07.524421,183.5656654435504,none,robust,,l1,COMPLETE
7,0.32657556052972875,2026-08-15 00:15:10.313117,2026-08-15 00:15:11.315362,0 days 00:00:01.002245,0.00793310536373302,balanced,robust,0.14092422497476265,elasticnet,COMPLETE
8,0.31987775603737995,2026-08-15 00:15:11.322631,2026-08-15 00:15:15.580524,0 days 00:00:04.257893,25.45150013091291,balanced,standard,0.7290071680409873,elasticnet,COMPLETE
9,0.15558452846588441,2026-08-15 00:15:15.587140,2026-08-15 00:15:15.712088,0 days 00:00:00.124948,0.0006472669269538638,balanced,standard,,l1,COMPLETE
10,0.31205214448383084,2026-08-15 00:15:15.719383,2026-08-15 00:15:22.301200,0 days 00:00:06.581817,2.903369428128561,balanced,robust,0.7607850486168974,elasticnet,COMPLETE
11,0.305609372013577,2026-08-15 00:15:22.307312,2026-08-15 00:15:26.954299,0 days 00:00:04.646987,0.45617324056306324,balanced,standard,,l2,COMPLETE
12,0.3227725369545243,2026-08-15 00:15:26.960609,2026-08-15 00:15:30.862967,0 days 00:00:03.902358,225.40591970426073,none,standard,,l1,COMPLETE
