number,value,datetime_start,datetime_complete,duration,params_batch,params_batchnorm,params_class_weight,params_criterio,params_dilatacion,params_dropout,params_escalador,params_fc_dim,params_filtros_base,params_focal_gamma,params_grad_clip,params_kernel,params_label_smooth,params_lookback,params_loss,params_lr,params_n_bloques,params_pool_cnn,params_scheduler,params_weight_decay,state
0,0.3352819991651036,2026-08-14 22:35:20.860343,2026-08-14 22:36:02.819193,0 days 00:00:41.958850,128,True,sqrt,val_f1,1,0.519705687464961,robust,132,85,1.9810364221551062,0.5,7,,10,focal,0.0003083434817935577,1,flatten,plateau,0.0034702669886504172,COMPLETE
1,0.34314703900996246,2026-08-14 22:36:02.829347,2026-08-14 22:36:48.863068,0 days 00:00:46.033721,64,True,none,val_f1,1,0.11091267331531622,robust,192,16,2.4306119232416434,0.5,3,,10,focal,0.0025221951700214276,1,gap_gmp,cosine,0.0075104181387775516,COMPLETE
2,0.2638957233470232,2026-08-14 22:36:48.870623,2026-08-14 22:37:31.274081,0 days 00:00:42.403458,64,False,none,val_f1_ma3,1,0.42794687233379697,minmax,61,92,,0.5,3,0.18593953046851464,20,ce,0.0007665788170871722,4,flatten,plateau,0.0006403036652671174,COMPLETE
3,0.33698920966403334,2026-08-14 22:37:31.281324,2026-08-14 22:37:47.699062,0 days 00:00:16.417738,512,True,balanced,val_f1,2,0.20256910284217677,standard,38,102,2.964126135276502,0.5,3,,10,focal,0.0021662155489352167,1,gap_gmp,plateau,4.1306144511331714e-05,COMPLETE
4,0.28484200320875935,2026-08-14 22:37:47.706755,2026-08-14 22:38:45.375892,0 days 00:00:57.669137,64,True,balanced,val_f1_ma3,2,0.10461985740299486,standard,39,187,2.3148891971755985,0.5,3,,60,focal,0.0005146791283102272,4,gap_gmp,cosine,8.583743499363294e-05,COMPLETE
5,0.2810559330998023,2026-08-14 22:38:45.384630,2026-08-14 22:39:33.177655,0 days 00:00:47.793025,64,False,sqrt,val_f1,2,0.44789484307081445,robust,238,217,,0.5,3,0.12909445918143356,20,ce,0.0004066487690425729,1,gap_gmp,cosine,0.01762451003968554,COMPLETE
6,0.3141335846392451,2026-08-14 22:39:33.185059,2026-08-14 22:39:43.436274,0 days 00:00:10.251215,256,False,none,val_loss,2,0.05830589626246112,standard,34,44,2.7250133545439157,1.0,5,,20,focal,0.00033377013398032054,2,gap,none,0.08918036602897811,COMPLETE
7,0.30157530909192404,2026-08-14 22:39:43.443246,2026-08-14 22:40:34.447651,0 days 00:00:51.004405,128,False,balanced,val_f1_ma3,1,0.3188127789408888,robust,32,226,2.150493441794328,0.5,3,,20,focal,0.00021838296130342758,2,gap_gmp,none,0.001538684246914408,COMPLETE
8,0.2903938299881954,2026-08-14 22:40:34.456350,2026-08-14 22:41:01.384816,0 days 00:00:26.928466,64,False,none,val_loss,1,0.2603109895427838,robust,37,230,2.8536620219413127,5.0,3,,20,focal,9.708330390791411e-05,2,gap,none,0.0012001913440860322,COMPLETE
9,0.2589681065364763,2026-08-14 22:41:01.392848,2026-08-14 22:41:13.102015,0 days 00:00:11.709167,256,True,none,val_loss,1,0.4820885582309091,minmax,58,197,1.4730041968354077,1.0,7,,40,focal,4.996131196762739e-05,1,flatten,plateau,7.712545140181928e-06,COMPLETE
10,0.30202642884898606,2026-08-14 22:41:13.110617,2026-08-14 22:41:29.852086,0 days 00:00:16.741469,128,False,none,val_loss,2,0.5326225096549798,robust,35,137,,1.0,7,0.07525191710618316,40,ce,7.400465463376865e-05,1,flatten,plateau,3.848886303127135e-06,COMPLETE
11,0.18881213598808075,2026-08-14 22:41:29.859155,2026-08-14 22:41:37.609350,0 days 00:00:07.750195,512,False,sqrt,val_f1_ma3,1,0.5779335236643668,minmax,136,34,,1.0,5,0.0911313505571426,40,ce,1.0717860684545277e-05,3,flatten,none,0.07069588467653601,COMPLETE
12,0.31790118774342646,2026-08-14 22:41:37.616410,2026-08-14 22:41:46.771918,0 days 00:00:09.155508,512,True,balanced,val_f1_ma3,1,0.2509458217743713,robust,51,134,2.9915920926847637,0.5,3,,20,focal,0.0020440031040978753,3,gap_gmp,cosine,0.02139535256831786,COMPLETE
13,0.299803136215259,2026-08-14 22:41:46.779667,2026-08-14 22:42:00.607604,0 days 00:00:13.827937,256,True,balanced,val_f1,2,0.33656278292123176,robust,119,23,2.655909271866863,5.0,3,,40,focal,0.0014844899855628135,4,gap_gmp,none,0.00010409127568994283,COMPLETE
14,0.3129746807873848,2026-08-14 22:42:00.685476,2026-08-14 22:42:13.720162,0 days 00:00:13.034686,512,True,balanced,val_f1,2,0.2843769841577234,minmax,83,149,0.6526948996371593,1.0,3,,60,focal,0.0004504239375791406,2,gap_gmp,plateau,7.2710872496857125e-06,COMPLETE
15,0.32699493920499056,2026-08-14 22:42:13.727699,2026-08-14 22:42:28.288702,0 days 00:00:14.561003,512,True,none,val_f1,2,0.1454823021808378,minmax,47,42,2.114793103329003,5.0,3,,60,focal,4.6445979919183354e-05,3,flatten,cosine,7.698760608299931e-05,COMPLETE
16,0.25029829588433006,2026-08-14 22:42:28.295944,2026-08-14 22:42:31.823197,0 days 00:00:03.527253,256,False,sqrt,val_f1,2,0.5193042755363881,minmax,155,40,1.8314735813789647,0.5,7,,10,focal,0.0010567848863858905,1,gap_gmp,none,1.947664440631529e-05,PRUNED
17,0.33956995390849654,2026-08-14 22:42:31.829578,2026-08-14 22:42:52.137143,0 days 00:00:20.307565,128,False,balanced,val_f1,1,0.10873983969939609,minmax,117,30,,1.0,3,0.14952187603525022,10,ce,1.4612324806418183e-05,3,flatten,plateau,0.005076954210131189,COMPLETE
18,0.2557863640469587,2026-08-14 22:42:52.145422,2026-08-14 22:42:56.135418,0 days 00:00:03.989996,128,False,none,val_f1_ma3,2,0.4463677755436062,standard,33,80,0.9539942920035642,1.0,7,,10,focal,1.2107762872143419e-05,4,gap,cosine,0.0007070472286699655,PRUNED
19,0.296388919443086,2026-08-14 22:42:56.142051,2026-08-14 22:42:58.597620,0 days 00:00:02.455569,256,True,none,val_f1,2,0.44186654137483367,robust,215,123,1.3658649859149032,5.0,7,,40,focal,0.002063195547956019,2,flatten,cosine,0.042446566361752494,PRUNED
20,0.2821620022200823,2026-08-14 22:42:58.604034,2026-08-14 22:43:00.425491,0 days 00:00:01.821457,512,True,balanced,val_f1,2,0.5981245511075683,robust,33,44,2.6544640525337933,0.5,5,,10,focal,0.00017538721588318982,4,flatten,cosine,0.0009482548804624966,PRUNED
21,0.34225680911636247,2026-08-14 22:43:00.431461,2026-08-14 22:43:58.448762,0 days 00:00:58.017301,64,True,none,val_f1_ma3,2,0.14590331459967246,minmax,195,89,1.9757373562870193,1.0,5,,20,focal,0.0006153791370924602,2,gap,cosine,0.018988136301569862,COMPLETE
22,0.30226396949572115,2026-08-14 22:43:58.473141,2026-08-14 22:44:05.104627,0 days 00:00:06.631486,512,False,none,val_loss,2,0.5009581420795794,minmax,53,50,0.938428196558624,0.5,5,,20,focal,0.0027446284766593416,4,gap_gmp,none,0.0004250606593055044,PRUNED
23,0.306063835424933,2026-08-14 22:44:05.112473,2026-08-14 22:44:14.666520,0 days 00:00:09.554047,512,True,none,val_loss,2,0.12896422715445405,minmax,171,203,1.402434742350067,0.5,5,,40,focal,1.1946602308029966e-05,1,flatten,cosine,2.0479541130142575e-05,COMPLETE
24,0.23394305108321745,2026-08-14 22:44:14.673059,2026-08-14 22:44:22.523595,0 days 00:00:07.850536,64,True,none,val_f1,2,0.5551489904493995,minmax,51,19,1.3496874094201654,1.0,7,,10,focal,2.800960765587466e-05,3,gap,cosine,0.0006913948698657626,PRUNED
25,0.32334639686177435,2026-08-14 22:44:22.531983,2026-08-14 22:45:13.117513,0 days 00:00:50.585530,64,True,none,val_f1,1,0.16726923811818017,robust,225,20,1.9963921938729965,5.0,3,,10,focal,0.002020204634616339,1,gap,cosine,0.018830259717759933,COMPLETE
26,0.31971949881604794,2026-08-14 22:45:13.125092,2026-08-14 22:45:26.102268,0 days 00:00:12.977176,512,True,none,val_f1,2,0.010463754220350285,minmax,219,48,2.223841502801605,1.0,5,,20,focal,0.0004399638874088119,2,gap,cosine,0.05147915761215449,COMPLETE
27,0.3177545894895678,2026-08-14 22:45:26.109352,2026-08-14 22:45:50.406621,0 days 00:00:24.297269,64,True,balanced,val_loss,1,0.04028748179431124,robust,104,16,1.803719251655025,0.5,3,,10,focal,0.0011746276469835864,1,gap_gmp,cosine,0.01285616845511241,COMPLETE
28,0.22999860763018662,2026-08-14 22:45:50.413990,2026-08-14 22:45:54.235402,0 days 00:00:03.821412,128,False,none,val_f1,1,0.12594909121074013,minmax,109,22,,5.0,3,0.009041817440505528,10,ce,6.536215044009483e-05,4,flatten,plateau,0.0004334092088632697,PRUNED
29,0.33558237548967335,2026-08-14 22:45:54.241848,2026-08-14 22:46:14.024898,0 days 00:00:19.783050,512,False,balanced,val_f1_ma3,1,0.1891534510106544,minmax,66,51,,1.0,3,0.1540145292698927,10,ce,2.8215565666034728e-05,3,flatten,plateau,0.0012294895477287999,COMPLETE
30,0.3005846050970332,2026-08-14 22:46:14.031125,2026-08-14 22:48:03.029282,0 days 00:01:48.998157,64,True,none,val_f1_ma3,2,0.23298841968309447,standard,135,198,2.330729437080839,1.0,5,,20,focal,0.0009472644501327566,2,gap,cosine,0.012153208881677178,COMPLETE
31,0.3431223870464967,2026-08-14 22:48:03.039335,2026-08-14 22:48:11.646651,0 days 00:00:08.607316,512,True,balanced,val_f1,2,0.0008888528666953777,standard,56,114,2.9799137855903255,0.5,7,,10,focal,0.002674959975352072,2,gap_gmp,plateau,0.00011201458996059241,COMPLETE
32,0.2675817640007881,2026-08-14 22:48:11.653353,2026-08-14 22:48:21.307851,0 days 00:00:09.654498,128,False,balanced,val_f1,1,0.17961520563016162,minmax,126,42,,1.0,5,0.1982351137268951,10,ce,1.3300023607332497e-05,2,flatten,none,0.01498690305399169,PRUNED
33,0.24911775003294223,2026-08-14 22:48:21.314279,2026-08-14 22:48:24.771662,0 days 00:00:03.457383,128,False,balanced,val_f1,1,0.013787538901637655,minmax,105,26,2.501192611460009,1.0,3,,20,focal,1.4179624977309338e-05,2,flatten,plateau,0.00047260014269012105,PRUNED
34,0.2714802581886144,2026-08-14 22:48:24.778534,2026-08-14 22:48:26.458415,0 days 00:00:01.679881,512,False,sqrt,val_f1,2,0.00149396104678195,minmax,62,140,2.9847682310963686,1.0,7,,10,focal,0.00217980450453182,2,gap_gmp,plateau,4.0565690911032354e-05,PRUNED
35,0.24098372636272716,2026-08-14 22:48:26.464352,2026-08-14 22:48:33.643808,0 days 00:00:07.179456,64,True,none,val_f1,1,0.16682002963066211,robust,161,39,,0.5,3,0.12979911858148566,60,ce,0.002682252904775071,2,gap_gmp,plateau,0.026012929730616967,PRUNED
36,0.3150621205166219,2026-08-14 22:48:33.649903,2026-08-14 22:48:43.062337,0 days 00:00:09.412434,256,False,none,val_f1,1,0.1996175037366002,standard,151,24,2.4021172358599108,0.5,3,,10,focal,0.0010082629855924525,1,gap_gmp,cosine,0.04986775471149488,PRUNED
37,0.31920754068117496,2026-08-14 22:48:43.068362,2026-08-14 22:48:49.630210,0 days 00:00:06.561848,512,True,none,val_loss,2,0.0010084398146462804,standard,83,70,2.4476138957344835,0.5,7,,10,focal,0.0013772633304132659,2,gap_gmp,plateau,5.993342869728462e-06,COMPLETE
38,0.3395506361660887,2026-08-14 22:48:49.637359,2026-08-14 22:50:03.230911,0 days 00:01:13.593552,64,True,sqrt,val_f1_ma3,2,0.13349299810281032,minmax,220,76,1.7848147895050321,1.0,5,,10,focal,0.0009872269756107275,2,gap,cosine,0.001824638472509878,COMPLETE
39,0.33600620646735735,2026-08-14 22:50:03.239820,2026-08-14 22:50:17.150999,0 days 00:00:13.911179,256,True,balanced,val_f1,1,0.03715355983672876,standard,68,156,2.0412493250408272,0.5,7,,10,focal,0.0010973350760662551,2,gap_gmp,cosine,1.3649811176315848e-05,COMPLETE
40,0.34581151193737236,2026-08-14 22:50:17.160680,2026-08-14 22:50:36.581341,0 days 00:00:19.420661,128,False,balanced,val_f1,1,0.14295062826871802,robust,79,24,,0.5,3,0.049959206395596076,10,ce,1.3660505281000683e-05,3,flatten,plateau,0.025849747923862795,COMPLETE
41,0.23806323476739435,2026-08-14 22:50:36.587853,2026-08-14 22:50:40.694380,0 days 00:00:04.106527,128,False,none,val_f1,1,0.18425601222068894,robust,72,17,,0.5,5,0.03993906059431506,40,ce,3.88637129447029e-05,3,flatten,plateau,0.014906759521785698,PRUNED
42,0.3356882489818489,2026-08-14 22:50:40.700570,2026-08-14 22:51:00.733270,0 days 00:00:20.032700,128,False,balanced,val_f1,1,0.21988595240466402,robust,147,26,,1.0,3,0.057022071550498876,10,ce,1.7954533621958247e-05,3,gap,plateau,0.0019124850762538051,COMPLETE
43,0.3266856120135524,2026-08-14 22:51:00.739753,2026-08-14 22:51:28.548644,0 days 00:00:27.808891,128,False,balanced,val_f1,1,0.09314477087160994,robust,78,44,,0.5,3,0.10461492308373112,10,ce,1.0498112870787918e-05,4,flatten,cosine,0.06473248801228722,COMPLETE
44,0.3136066397458024,2026-08-14 22:51:28.555360,2026-08-14 22:51:39.293350,0 days 00:00:10.737990,512,True,balanced,val_f1,2,0.09344216180532916,robust,46,63,2.9214105685627803,0.5,7,,20,focal,0.0004375981673991656,2,gap_gmp,plateau,0.0013006046617116804,COMPLETE
45,0.32341471821957785,2026-08-14 22:51:39.299644,2026-08-14 22:52:04.995451,0 days 00:00:25.695807,64,True,none,val_f1,2,0.11756628815917095,robust,198,19,2.436503166212734,0.5,7,,10,focal,0.0023278830869583557,2,gap_gmp,cosine,0.02277185802965921,PRUNED
46,0.2839316965360333,2026-08-14 22:52:05.002522,2026-08-14 22:52:14.340441,0 days 00:00:09.337919,128,False,none,val_f1,1,0.2271540949436342,robust,239,19,2.919277096619071,0.5,3,,40,focal,0.002823592666763953,1,gap_gmp,plateau,0.0099849658447252,PRUNED
47,0.27862745933719,2026-08-14 22:52:14.349378,2026-08-14 22:52:26.556719,0 days 00:00:12.207341,128,False,sqrt,val_loss,1,0.04062622695212187,robust,93,16,,0.5,3,0.01108877120060145,10,ce,1.2515223936522747e-05,3,gap_gmp,plateau,0.01593975462343517,PRUNED
48,0.3529217057011862,2026-08-14 22:52:26.563912,2026-08-14 22:52:56.110622,0 days 00:00:29.546710,128,False,balanced,val_loss,1,0.09365770666487525,robust,86,33,2.3963933625678253,0.5,7,,10,focal,1.646477865108201e-05,2,flatten,plateau,0.03591830439991,COMPLETE
49,0.336974424106703,2026-08-14 22:52:56.120836,2026-08-14 22:53:08.856215,0 days 00:00:12.735379,256,False,balanced,val_f1,1,0.13082307148597633,robust,46,58,2.30666016861686,0.5,7,,10,focal,4.1568243417317464e-05,1,flatten,plateau,0.024870824552349725,COMPLETE
50,0.3599122519593142,2026-08-14 22:53:08.863472,2026-08-14 22:53:37.404607,0 days 00:00:28.541135,128,False,balanced,val_f1_ma3,1,0.1576717004659018,robust,101,50,2.480189988405459,0.5,7,,10,focal,1.2120246019447426e-05,2,gap,plateau,0.05598223252076369,COMPLETE
51,0.362579121751905,2026-08-14 22:53:37.413254,2026-08-14 22:53:59.177729,0 days 00:00:21.764475,128,False,balanced,val_f1_ma3,1,0.022526736010091503,robust,116,36,2.443448123485113,5.0,7,,10,focal,2.4065569402138704e-05,3,gap,plateau,0.05860568103104996,COMPLETE
52,0.26662495293188854,2026-08-14 22:53:59.186359,2026-08-14 22:54:02.562659,0 days 00:00:03.376300,128,False,balanced,val_loss,1,0.06312901862425996,robust,84,23,2.5389298787406336,5.0,7,,10,focal,1.9066032223915058e-05,1,gap,plateau,0.013455356166879071,PRUNED
53,0.33714758523375066,2026-08-14 22:54:02.570057,2026-08-14 22:54:12.808207,0 days 00:00:10.238150,512,False,balanced,val_f1_ma3,1,0.05563386119428454,robust,127,71,,5.0,7,0.054347934214743,10,ce,1.2605664732058042e-05,3,gap,plateau,0.004970102963155196,COMPLETE
54,0.3147846441197695,2026-08-14 22:54:12.815785,2026-08-14 22:54:56.820705,0 days 00:00:44.004920,128,False,balanced,val_f1_ma3,1,0.05616043546754529,robust,100,66,2.486095158585124,5.0,5,,10,focal,3.1232996626749174e-05,4,gap_gmp,plateau,0.035078278211954264,COMPLETE
55,0.3207582666751583,2026-08-14 22:54:56.828499,2026-08-14 22:55:32.885680,0 days 00:00:36.057181,128,False,balanced,val_f1_ma3,1,0.041132287471947165,robust,201,27,2.6068119569753683,5.0,7,,60,focal,4.0177292689337764e-05,3,flatten,plateau,0.08035736314984482,COMPLETE
56,0.3253871587004972,2026-08-14 22:55:32.934135,2026-08-14 22:55:49.009425,0 days 00:00:16.075290,128,True,balanced,val_loss,1,0.10034202650346699,robust,58,60,2.6078816308898,0.5,7,,20,focal,1.3882184677153715e-05,2,flatten,plateau,0.00821049490250684,COMPLETE
57,0.26693953222657246,2026-08-14 22:55:49.042339,2026-08-14 22:55:53.930665,0 days 00:00:04.888326,128,False,balanced,val_f1_ma3,1,0.23185041652700383,robust,85,47,2.9583606250537975,0.5,7,,10,focal,1.3595471835647267e-05,3,gap,plateau,0.006240737455851323,PRUNED
58,0.3476384342118459,2026-08-14 22:55:53.936892,2026-08-14 22:56:22.461724,0 days 00:00:28.524832,128,False,sqrt,val_loss,1,0.24574219181138898,robust,99,23,2.4453923313761665,0.5,7,,10,focal,2.6906582101465892e-05,2,flatten,none,0.03999796760754543,COMPLETE
59,0.2685887166802194,2026-08-14 22:56:22.469216,2026-08-14 22:56:26.276079,0 days 00:00:03.806863,128,False,sqrt,val_loss,1,0.404367175887682,robust,211,24,2.3308071444513976,0.5,7,,10,focal,2.1667664706348223e-05,3,flatten,none,0.012062175010767024,PRUNED
60,0.15563870950342792,2026-08-14 22:56:26.282786,2026-08-14 22:56:28.132282,0 days 00:00:01.849496,512,False,sqrt,val_loss,1,0.25702803438975885,robust,45,23,2.290482451776852,0.5,3,,20,focal,1.448008869611291e-05,3,flatten,none,0.03475452180099629,PRUNED
61,0.3145127684719771,2026-08-14 22:56:28.139712,2026-08-14 22:56:29.972014,0 days 00:00:01.832302,512,False,balanced,val_f1,2,0.0761611856558975,robust,59,22,,0.5,3,0.07845070813910325,10,ce,2.6464455965725584e-05,3,flatten,plateau,0.007227291173346355,PRUNED
62,0.33299373617299866,2026-08-14 22:56:29.979003,2026-08-14 22:56:38.774435,0 days 00:00:08.795432,512,True,balanced,val_f1,2,0.08834552777332975,standard,92,115,2.57541892652302,1.0,7,,10,focal,0.0016423326470932451,1,gap_gmp,plateau,0.0026169975300922885,COMPLETE
63,0.3622246621231203,2026-08-14 22:56:38.781735,2026-08-14 22:57:01.418592,0 days 00:00:22.636857,128,False,balanced,val_f1_ma3,2,0.1601964773392689,robust,218,25,2.554369762180163,5.0,3,,10,focal,3.5484411826024625e-05,4,gap,plateau,0.01837567946702053,COMPLETE
64,0.216737369841882,2026-08-14 22:57:01.426545,2026-08-14 22:57:06.446363,0 days 00:00:05.019818,128,False,none,val_f1_ma3,2,0.26975639772490057,robust,255,20,2.3362900705548006,5.0,3,,60,focal,1.2625585884680572e-05,3,gap,plateau,0.007627058449308955,PRUNED
65,0.2343805439087585,2026-08-14 22:57:06.454835,2026-08-14 22:57:08.275288,0 days 00:00:01.820453,512,False,balanced,val_f1_ma3,2,0.09949097168536866,robust,199,26,2.3726930992697137,5.0,3,,10,focal,2.648643454241354e-05,3,gap,cosine,0.006756317802324476,PRUNED
