number,value,datetime_start,datetime_complete,duration,params_batch,params_bidir,params_class_weight,params_criterio,params_dropout,params_escalador,params_filtros_base,params_focal_gamma,params_grad_clip,params_hidden,params_kernel,params_label_smooth,params_layers,params_lookback,params_loss,params_lr,params_pooling,params_scheduler,params_weight_decay,state
0,0.30915031868256293,2026-08-14 23:06:40.863285,2026-08-14 23:07:29.147327,0 days 00:00:48.284042,128,True,sqrt,val_f1,0.519705687464961,robust,30,1.9810364221551062,0.5,18,5,,2,10,focal,0.0003083434817935577,meanmax,plateau,0.0034702669886504172,COMPLETE
1,0.31902317743732683,2026-08-14 23:07:29.154786,2026-08-14 23:11:22.058092,0 days 00:03:52.903306,64,True,none,val_f1,0.3120408127066865,robust,79,0.686376609199427,5.0,247,5,,3,10,focal,0.0002260828676373493,last,none,8.399864445957506e-06,COMPLETE
2,0.2824705816160451,2026-08-14 23:11:22.066537,2026-08-14 23:11:36.534617,0 days 00:00:14.468080,256,False,balanced,val_loss,0.38253448281312785,standard,85,1.0719954137290562,1.0,19,5,,1,60,focal,0.0015766436357943082,attn,plateau,0.00022965432344634358,COMPLETE
3,0.2546765819878528,2026-08-14 23:11:36.542693,2026-08-14 23:12:25.218012,0 days 00:00:48.675319,64,True,balanced,val_f1,0.516438349953806,minmax,64,,0.5,34,3,0.01029575024999787,3,60,ce,1.0404501336028154e-05,meanmax,none,0.00035787924535023234,COMPLETE
4,0.30868062548631253,2026-08-14 23:12:25.224832,2026-08-14 23:12:59.294005,0 days 00:00:34.069173,64,False,sqrt,val_f1_ma3,0.11191110623991253,minmax,72,,5.0,31,3,0.10593011567120131,1,40,ce,1.2618419742822217e-05,last,cosine,0.0009004606022643075,COMPLETE
5,0.26755521978871966,2026-08-14 23:12:59.300930,2026-08-14 23:13:28.452812,0 days 00:00:29.151882,128,False,balanced,val_loss,0.3981010614648335,minmax,28,,0.5,91,5,0.17840931103542268,3,10,ce,1.0292909562864094e-05,attn,none,6.368545516399497e-06,COMPLETE
6,0.33265705021766623,2026-08-14 23:13:28.460848,2026-08-14 23:13:46.315458,0 days 00:00:17.854610,256,False,sqrt,val_f1,0.5799928914262017,standard,84,1.398727878049388,1.0,35,7,,3,40,focal,0.002437830614871069,last,plateau,0.01840972398983907,COMPLETE
7,0.3379053542373893,2026-08-14 23:13:46.323624,2026-08-14 23:14:19.603951,0 days 00:00:33.280327,256,True,sqrt,val_loss,0.32558678082454595,robust,37,,5.0,33,7,0.15903723895374075,2,20,ce,5.126222187253491e-05,last,cosine,0.0008998420889037459,COMPLETE
8,0.31536615921032873,2026-08-14 23:14:19.610474,2026-08-14 23:15:01.985654,0 days 00:00:42.375180,128,True,sqrt,val_f1,0.36703244774061133,robust,16,,0.5,90,5,0.07492252292529425,2,20,ce,0.00010949649892243712,attn,plateau,1.7324270154949117e-05,COMPLETE
9,0.2926413646707707,2026-08-14 23:15:01.993382,2026-08-14 23:16:36.974828,0 days 00:01:34.981446,512,True,sqrt,val_f1,0.5432103851736382,minmax,95,,1.0,149,7,0.1501229503281717,3,60,ce,3.0549097281632174e-05,attn,cosine,2.2223195374893766e-06,COMPLETE
10,0.2660613524785495,2026-08-14 23:16:36.982384,2026-08-14 23:16:53.416149,0 days 00:00:16.433765,256,True,balanced,val_f1,0.006502590888179016,robust,18,1.3772875313801967,0.5,22,3,,1,40,focal,0.0017488031925099968,attn,none,2.860443565915635e-06,COMPLETE
11,0.2347314126716667,2026-08-14 23:16:53.423109,2026-08-14 23:17:14.743257,0 days 00:00:21.320148,512,True,none,val_f1,0.452026911155365,standard,18,1.0589895962986315,5.0,231,5,,1,60,focal,8.551466852013352e-05,attn,plateau,2.615192026778637e-06,COMPLETE
12,0.32595503609832177,2026-08-14 23:17:14.750660,2026-08-14 23:18:02.057335,0 days 00:00:47.306675,128,False,sqrt,val_f1,0.16857791375533818,minmax,34,,0.5,119,5,0.18995998265838482,2,40,ce,0.0022609163158429113,last,none,0.02826955156816132,COMPLETE
13,0.33583526005210085,2026-08-14 23:18:02.064795,2026-08-14 23:18:31.514440,0 days 00:00:29.449645,128,True,none,val_f1_ma3,0.16404424315842372,minmax,21,1.8007692522594834,0.5,135,5,,2,10,focal,1.37926889120243e-05,meanmax,cosine,0.02106744560525704,COMPLETE
14,0.3042177673900252,2026-08-14 23:18:31.521473,2026-08-14 23:18:51.487843,0 days 00:00:19.966370,128,True,none,val_loss,0.2624849532142374,standard,64,0.820114597394431,1.0,24,5,,1,40,focal,0.0017366436783471763,meanmax,plateau,5.511595477601768e-05,COMPLETE
15,0.34050474392478836,2026-08-14 23:18:51.494176,2026-08-14 23:19:48.404447,0 days 00:00:56.910271,128,True,none,val_f1,0.21856191662884528,standard,48,0.5917080072264947,5.0,31,7,,3,40,focal,0.00017661420128873266,last,cosine,0.0028312234265202266,COMPLETE
16,0.3345134042879777,2026-08-14 23:19:48.425450,2026-08-14 23:20:19.147056,0 days 00:00:30.721606,512,True,balanced,val_f1,0.40746139148669375,minmax,20,,1.0,34,5,0.03731340481026115,1,40,ce,0.0009013072173715609,attn,cosine,0.00031060682524644936,COMPLETE
17,0.28372010304030143,2026-08-14 23:20:19.155544,2026-08-14 23:20:37.039465,0 days 00:00:17.883921,256,True,none,val_loss,0.1679874561961705,robust,90,1.1366016369094096,0.5,105,3,,3,20,focal,0.0008056145478991701,attn,plateau,8.614275214800757e-06,COMPLETE
18,0.2637697100008491,2026-08-14 23:20:37.047738,2026-08-14 23:20:43.000261,0 days 00:00:05.952523,128,True,none,val_loss,0.4771603871159341,robust,58,2.7661802774113675,5.0,89,5,,1,40,focal,3.1583141060896896e-05,attn,plateau,6.580815488709269e-06,PRUNED
19,0.25053585299013187,2026-08-14 23:20:43.008364,2026-08-14 23:21:45.484311,0 days 00:01:02.475947,128,True,balanced,val_f1,0.5260593820570496,robust,111,,0.5,221,7,0.09240116072882654,1,60,ce,7.036844767189019e-05,attn,plateau,0.012772812100441663,COMPLETE
20,0.2617941908951696,2026-08-14 23:21:45.492267,2026-08-14 23:21:56.224883,0 days 00:00:10.732616,64,True,balanced,val_loss,0.5553411077440658,robust,107,2.343753120274371,0.5,55,7,,1,60,focal,0.000130853031766526,meanmax,plateau,3.6829025642112775e-06,PRUNED
21,0.34020526849314314,2026-08-14 23:21:56.231719,2026-08-14 23:22:05.851358,0 days 00:00:09.619639,512,False,balanced,val_f1,0.5981245511075683,robust,70,2.6544640525337933,0.5,221,3,,2,10,focal,0.00017538721588318982,last,cosine,0.0009482548804624966,COMPLETE
22,0.32574798950510997,2026-08-14 23:22:05.859410,2026-08-14 23:22:28.572071,0 days 00:00:22.712661,128,False,balanced,val_f1,0.14290966862803592,robust,29,,0.5,45,3,0.0518846866862585,2,20,ce,1.7633088515138756e-05,meanmax,plateau,1.643845340580847e-05,COMPLETE
23,0.34486370604176164,2026-08-14 23:22:28.580719,2026-08-14 23:22:57.292388,0 days 00:00:28.711669,256,True,none,val_f1_ma3,0.3249805287965201,minmax,46,2.684725193906288,5.0,83,7,,2,10,focal,0.0003708534834594607,last,plateau,1.9473249450858307e-05,COMPLETE
