number,value,datetime_start,datetime_complete,duration,params_batch,params_bidir,params_class_weight,params_criterio,params_dropout,params_escalador,params_focal_gamma,params_grad_clip,params_hidden,params_label_smooth,params_layers,params_lookback,params_loss,params_lr,params_pooling,params_scheduler,params_weight_decay,state
0,0.31411846918085573,2026-08-14 21:52:34.172193,2026-08-14 21:52:56.154909,0 days 00:00:21.982716,128,True,sqrt,val_f1,0.519705687464961,robust,1.9810364221551062,0.5,18,,2,10,focal,0.0003083434817935577,meanmax,plateau,0.0034702669886504172,COMPLETE
1,0.3362450895154352,2026-08-14 21:52:56.162589,2026-08-14 21:53:09.946477,0 days 00:00:13.783888,256,True,balanced,val_f1_ma3,0.5455922412472692,standard,,1.0,71,0.05618690193747616,1,40,ce,4.375517173207357e-05,last,none,0.002054051942538846,COMPLETE
2,0.3350498605418675,2026-08-14 21:53:09.953199,2026-08-14 21:54:31.892549,0 days 00:01:21.939350,64,False,sqrt,val_f1,0.06952143571507782,standard,0.5785729642168356,5.0,92,,1,20,focal,0.0013740794394697655,attn,none,0.0013076473382928546,COMPLETE
3,0.25447537491506206,2026-08-14 21:54:31.901701,2026-08-14 21:54:55.669423,0 days 00:00:23.767722,512,True,balanced,val_f1_ma3,0.5228763541126306,robust,,1.0,111,0.10375812434867322,2,20,ce,0.0009790236510178586,meanmax,none,8.56742466787506e-06,COMPLETE
4,0.2637677101885879,2026-08-14 21:54:55.677507,2026-08-14 21:55:29.499683,0 days 00:00:33.822176,64,False,none,val_f1_ma3,0.14373713440018346,robust,,1.0,29,0.1024186116598562,2,60,ce,2.2851892235553444e-05,meanmax,cosine,0.00028006820077310237,COMPLETE
5,0.338316561759129,2026-08-14 21:55:29.506639,2026-08-14 21:55:51.097125,0 days 00:00:21.590486,256,True,sqrt,val_f1_ma3,0.3331204869596774,minmax,0.5126539596155467,0.5,24,,2,10,focal,0.0002051203293779096,meanmax,plateau,1.6190544494716505e-05,COMPLETE
6,0.316344929262913,2026-08-14 21:55:51.104742,2026-08-14 21:58:03.266214,0 days 00:02:12.161472,64,True,balanced,val_f1,0.2206294818356601,robust,,5.0,210,0.003091323305773486,2,10,ce,4.53877257250326e-05,last,none,1.6593890383815802e-05,COMPLETE
7,0.30814846797580886,2026-08-14 21:58:03.274616,2026-08-14 21:58:17.318599,0 days 00:00:14.043983,256,False,none,val_loss,0.05830589626246112,standard,2.7250133545439157,1.0,40,,2,20,focal,0.00033377013398032054,attn,none,0.08918036602897811,COMPLETE
8,0.33229435051521794,2026-08-14 21:58:17.326428,2026-08-14 21:58:41.865713,0 days 00:00:24.539285,64,False,sqrt,val_f1,0.3133459560328826,robust,,0.5,25,0.08179058888285398,1,20,ce,0.000807918208873933,last,plateau,1.1997897226934485e-05,COMPLETE
9,0.31879779371321865,2026-08-14 21:58:41.872687,2026-08-14 21:59:22.800381,0 days 00:00:40.927694,256,True,sqrt,val_loss,0.45470766627862147,robust,2.146734079047363,5.0,24,,1,10,focal,1.0855614604261917e-05,meanmax,plateau,3.805074835058824e-06,COMPLETE
10,0.3078941826959609,2026-08-14 21:59:22.808070,2026-08-14 22:00:58.530620,0 days 00:01:35.722550,512,True,sqrt,val_f1,0.5432103851736382,minmax,,1.0,149,0.1501229503281717,3,60,ce,3.0549097281632174e-05,attn,cosine,2.2223195374893766e-06,COMPLETE
11,0.2928387097540878,2026-08-14 22:00:58.539092,2026-08-14 22:01:29.041287,0 days 00:00:30.502195,256,True,sqrt,val_loss,0.49587447966464493,standard,0.6438969000416107,5.0,72,,2,40,focal,6.205855646103131e-05,attn,cosine,0.0300342051204874,COMPLETE
12,0.3036730591628729,2026-08-14 22:01:29.049649,2026-08-14 22:01:36.904856,0 days 00:00:07.855207,512,False,balanced,val_loss,0.04880926838513986,minmax,0.7938156169427621,1.0,96,,3,40,focal,1.6223826929363506e-05,attn,cosine,0.08574284557962648,COMPLETE
13,0.27088032853253635,2026-08-14 22:01:36.912862,2026-08-14 22:02:22.379140,0 days 00:00:45.466278,64,True,none,val_f1,0.5957788776715802,minmax,,0.5,19,0.11673122237017441,3,10,ce,1.5233617230313584e-05,attn,plateau,0.0005878566318396012,COMPLETE
14,0.3033561231191514,2026-08-14 22:02:22.387476,2026-08-14 22:02:36.823357,0 days 00:00:14.435881,512,True,balanced,val_f1_ma3,0.2509458217743713,robust,2.9915920926847637,0.5,74,,3,20,focal,0.0020440031040978753,meanmax,cosine,0.02139535256831786,COMPLETE
15,0.34376583905235336,2026-08-14 22:02:36.832487,2026-08-14 22:03:03.080810,0 days 00:00:26.248323,128,True,balanced,val_loss,0.40294391735567975,robust,2.760396736234371,0.5,41,,2,10,focal,0.00019447566486155575,attn,cosine,0.007270963402444571,COMPLETE
