modelo,exp,lookback,v4,v5,delta,ok
LSTM,A,20,0.3451,0.3451,0.0,True
LSTM,A,60,0.3891,0.3891,0.0,True
LSTM,B,20,0.3617,0.3617,0.0,True
LSTM,B,60,0.37,0.37,0.0,True
LSTM,C,20,0.3702,0.3702,0.0,True
LSTM,C,60,0.3517,0.3517,0.0,True
CNN,A,20,0.3236,0.3236,0.0,True
CNN,A,60,0.3606,0.3606,0.0,True
CNN,B,20,0.3434,0.3434,0.0,True
CNN,B,60,0.3344,0.3344,0.0,True
CNN,C,20,0.3727,0.3727,0.0,True
CNN,C,60,0.3153,0.3153,0.0,True
CNN-LSTM,A,20,0.3641,0.3641,0.0,True
CNN-LSTM,A,60,0.3764,0.3764,0.0,True
CNN-LSTM,B,20,0.3835,0.3835,0.0,True
CNN-LSTM,B,60,0.3761,0.3761,0.0,True
CNN-LSTM,C,20,0.3366,0.3366,0.0,True
CNN-LSTM,C,60,0.371,0.371,0.0,True
