modelo,dataset,exp,tipo,ticker,n_eval,sharpe_5bp,retorno_5bp,turnover_medio,sharpe_10bp,retorno_10bp,test_f1_ens,test_f1_mean,test_f1_std,val_f1_ens,test_f1_buy,test_f1_hold,test_f1_sell,sharpe,win_rate,profit_factor,max_dd,signal_buy,signal_hold,signal_sell
LR,v1,A,global,GLOBAL,1736,0.8135,6.4469,0.3952,0.6745,4.2846,0.4058,0.4058,0.0,0.353,0.3554,0.5334,0.3287,0.9522,0.5131,1.2677,-0.4158,26.5,44.9,28.6
LR,v1,A,por_ticker,AAPL,248,0.0465,0.0133,0.3548,-0.1089,-0.0303,0.3876,0.3876,0.0,0.3101,0.3704,0.5579,0.2344,0.2012,0.5203,1.0565,-0.2299,28.6,50.4,21.0
LR,v1,A,por_ticker,NVDA,248,1.4866,0.9565,0.3387,1.3949,0.876,0.3724,0.3724,0.0,0.3444,0.2128,0.5025,0.402,1.5778,0.5061,1.4211,-0.2918,10.5,33.9,55.6
LR,v1,A,por_ticker,TSLA,248,0.4641,0.2987,0.2944,0.3986,0.2522,0.3972,0.3972,0.0,0.345,0.3077,0.4681,0.4157,0.5297,0.5179,1.1169,-0.3848,24.6,32.3,43.1
LR,v1,A,por_ticker,AMZN,248,0.3158,0.0929,0.25,0.2055,0.0595,0.364,0.364,0.0,0.3276,0.3975,0.5022,0.1923,0.4261,0.5043,1.1203,-0.2234,35.9,53.6,10.5
LR,v1,A,por_ticker,MSFT,248,0.0012,0.0003,0.2258,-0.1341,-0.0274,0.3405,0.3405,0.0,0.3216,0.381,0.4976,0.1429,0.1363,0.5347,1.0344,-0.1717,48.8,41.9,9.3
LR,v1,A,por_ticker,GOOGL,248,-0.5813,-0.1188,0.1935,-0.6918,-0.1397,0.3811,0.3811,0.0,0.3028,0.3611,0.5984,0.1837,-0.4707,0.4891,0.884,-0.2589,26.6,62.9,10.5
LR,v1,A,por_ticker,META,248,0.3847,0.1379,0.3226,0.2655,0.0933,0.3842,0.3842,0.0,0.3564,0.3567,0.4928,0.303,0.504,0.4599,1.1335,-0.2863,34.3,44.8,21.0
XGBoost,v1,A,global,GLOBAL,1736,0.1132,0.3339,0.6768,-0.1176,-0.2587,0.3588,0.3622,0.006,0.365,0.3241,0.4168,0.3356,0.3443,0.487,1.0838,-0.5052,29.7,33.3,37.0
XGBoost,v1,A,por_ticker,AAPL,248,1.63,0.5865,0.5605,1.3837,0.48,0.3915,0.3812,0.0213,0.3772,0.2727,0.5108,0.391,1.8758,0.56,1.6939,-0.1061,27.4,49.6,23.0
