decision,arch,variante,eval_f1_mean,eval_f1_std,eval_f1_ens,val_f1_ens,n_eval,segundos
D1_criterio,lstm,val_loss,0.2859,0.0305,0.2882,0.2514,1624,51.4
D1_criterio,lstm,val_f1,0.3444,0.0146,0.3489,0.3671,1624,52.0
D1_criterio,lstm,val_f1_ma3,0.3336,0.009,0.3486,0.344,1624,60.5
D1_criterio,cnn,val_loss,0.3006,0.0289,0.2949,0.2339,1624,38.3
D1_criterio,cnn,val_f1,0.3279,0.0085,0.3309,0.3695,1624,60.1
D1_criterio,cnn,val_f1_ma3,0.3226,0.0179,0.3254,0.3425,1624,63.2
D1_criterio,cnn_lstm,val_loss,0.335,0.0098,0.3374,0.2916,1624,39.2
D1_criterio,cnn_lstm,val_f1,0.3348,0.0062,0.3301,0.3559,1624,58.2
D1_criterio,cnn_lstm,val_f1_ma3,0.31,0.024,0.3199,0.3563,1624,62.7
D2_alineado,lstm,no,0.3444,0.0146,0.3489,0.3671,1624,51.6
D2_alineado,lstm,si,0.3417,0.0127,0.3475,0.3531,1764,47.7
D2_alineado,cnn,no,0.3006,0.0289,0.2949,0.2339,1624,40.1
D2_alineado,cnn,si,0.3139,0.0221,0.3331,0.2474,1764,48.1
D2_alineado,cnn_lstm,no,0.335,0.0098,0.3374,0.2916,1624,38.1
D2_alineado,cnn_lstm,si,0.3085,0.0194,0.3062,0.2488,1764,38.1
D3_escalador,lstm,minmax,0.3417,0.0127,0.3475,0.3531,1764,46.0
D3_escalador,lstm,standard,0.3372,0.0237,0.3398,0.3569,1764,36.9
D3_escalador,lstm,robust_clip5,0.3093,0.0229,0.3046,0.356,1764,42.7
D3_escalador,cnn,minmax,0.3139,0.0221,0.3331,0.2474,1764,48.8
D3_escalador,cnn,standard,0.3263,0.0287,0.3512,0.2377,1764,38.7
D3_escalador,cnn,robust_clip5,0.3198,0.0246,0.3245,0.2391,1764,38.7
D3_escalador,cnn_lstm,minmax,0.335,0.0098,0.3374,0.2916,1624,39.0
D3_escalador,cnn_lstm,standard,0.3153,0.0393,0.3275,0.2697,1624,34.9
D3_escalador,cnn_lstm,robust_clip5,0.3059,0.0367,0.3321,0.2543,1624,34.1
D4_pesos,lstm,balanced,0.3417,0.0127,0.3475,0.3531,1764,46.1
D4_pesos,lstm,none,0.345,0.0098,0.353,0.3392,1764,49.1
D4_pesos,lstm,sqrt,0.3471,0.0098,0.358,0.3546,1764,41.6
D4_pesos,cnn,balanced,0.3139,0.0221,0.3331,0.2474,1764,48.7
D4_pesos,cnn,none,0.3039,0.0308,0.3118,0.2293,1764,46.2
D4_pesos,cnn,sqrt,0.2932,0.0362,0.3042,0.219,1764,43.4
D4_pesos,cnn_lstm,balanced,0.335,0.0098,0.3374,0.2916,1624,38.4
D4_pesos,cnn_lstm,none,0.3118,0.008,0.308,0.2438,1624,38.5
D4_pesos,cnn_lstm,sqrt,0.3154,0.0069,0.3063,0.2531,1624,38.1
D5_pooling,lstm,last,0.3417,0.0127,0.3475,0.3531,1764,46.1
D5_pooling,lstm,meanmax,0.3356,0.0138,0.3393,0.3524,1764,50.9
D5_pooling,lstm,attn,0.3463,0.0086,0.3442,0.3533,1764,68.9
D5_pooling,cnn,gap_gmp,0.3139,0.0221,0.3331,0.2474,1764,48.8
D5_pooling,cnn,gap,0.3075,0.0289,0.3355,0.2397,1764,34.5
D5_pooling,cnn,flatten,0.3306,0.0196,0.3296,0.2677,1764,32.8
D5_pooling,cnn_lstm,last,0.335,0.0098,0.3374,0.2916,1624,39.0
D5_pooling,cnn_lstm,meanmax,0.3055,0.0293,0.3104,0.2307,1624,39.5
D5_pooling,cnn_lstm,attn,0.3051,0.0382,0.3201,0.2299,1624,41.3
D6_refit,lstm,no,0.3417,0.0127,0.3475,0.3531,1764,46.5
D6_refit,lstm,si,0.2943,0.0328,0.287,0.3531,1764,67.8
D6_refit,cnn,no,0.3139,0.0221,0.3331,0.2474,1764,50.1
D6_refit,cnn,si,0.2897,0.0263,0.333,0.2474,1764,73.0
D6_refit,cnn_lstm,no,0.335,0.0098,0.3374,0.2916,1624,40.4
D6_refit,cnn_lstm,si,0.2931,0.0374,0.3464,0.2916,1624,50.5
