modelo,dataset,exp,tipo,ticker,n_eval,sharpe_5bp,retorno_5bp,turnover_medio,sharpe_10bp,retorno_10bp,test_f1_ens,test_f1_mean,test_f1_std,val_f1_ens,test_f1_buy,test_f1_hold,test_f1_sell,sharpe,win_rate,profit_factor,max_dd,signal_buy,signal_hold,signal_sell,anio
LR,v1,WF2020,global,GLOBAL,1771,0.4133,3.2244,0.2818,0.342,2.2916,0.3926,0.3926,0.0,0.3409,0.3936,0.4033,0.381,0.4845,0.5275,1.1191,-0.8805,25.4,37.4,37.2,2020
XGBoost,v1,WF2020,global,GLOBAL,1771,0.4993,4.9882,0.5195,0.371,2.7802,0.3753,0.3745,0.0066,0.3594,0.4503,0.3581,0.3175,0.6275,0.5397,1.1444,-0.7191,49.2,25.3,25.5,2020
LSTM,v1,WF2020,global,GLOBAL,1771,0.0045,0.017,0.214,-0.0462,-0.1586,0.3496,0.3433,0.0196,0.3466,0.4478,0.2035,0.3973,0.0552,0.5104,1.0112,-0.8632,36.1,13.2,50.8,2020
CNN,v1,WF2020,global,GLOBAL,1771,-0.0582,-0.197,0.092,-0.0798,-0.2599,0.3144,0.3056,0.0525,0.3549,0.3846,0.123,0.4356,-0.0366,0.4832,0.9929,-0.8336,25.9,7.7,66.4,2020
CNN-LSTM,v1,WF2020,global,GLOBAL,1771,-0.1119,-0.3453,0.1022,-0.1358,-0.4019,0.327,0.3228,0.011,0.3703,0.4412,0.125,0.4149,-0.088,0.5085,0.983,-0.8945,38.7,7.1,54.3,2020
LR,v1,WF2021,global,GLOBAL,1764,0.6819,1.7178,0.3265,0.4864,1.0377,0.3783,0.3783,0.0,0.3572,0.2775,0.6087,0.2486,0.8762,0.5477,1.3416,-0.1989,13.9,72.1,14.1,2021
XGBoost,v1,WF2021,global,GLOBAL,1764,0.1409,0.2461,0.394,-0.0816,-0.1197,0.3547,0.3611,0.0072,0.3783,0.2557,0.5873,0.2211,0.3635,0.5326,1.1252,-0.4892,14.7,69.6,15.7,2021
LSTM,v1,WF2021,global,GLOBAL,1764,-0.1031,-0.2107,0.2511,-0.1996,-0.3675,0.32,0.294,0.0343,0.34,0.3255,0.2538,0.3806,-0.0066,0.4943,0.9987,-0.6119,28.0,15.6,56.4,2021
CNN,v1,WF2021,global,GLOBAL,1764,-0.8416,-0.8318,0.1207,-0.8917,-0.8488,0.3015,0.3129,0.0149,0.3837,0.0712,0.4487,0.3848,-0.7914,0.4584,0.8335,-0.8668,2.9,38.7,58.4,2021
CNN-LSTM,v1,WF2021,global,GLOBAL,1764,-0.7882,-0.8164,0.1514,-0.8499,-0.8394,0.3141,0.2924,0.024,0.3648,0.1752,0.3886,0.3787,-0.7264,0.4727,0.8548,-0.8316,6.9,30.6,62.5,2021
LR,v1,WF2022,global,GLOBAL,1757,0.1957,0.9728,0.6551,0.03,0.1095,0.3581,0.3581,0.0,0.3884,0.4352,0.3202,0.3189,0.3613,0.4983,1.0719,-0.4186,53.8,18.4,27.7,2022
XGBoost,v1,WF2022,global,GLOBAL,1757,-0.3497,-0.7028,0.4593,-0.4661,-0.8015,0.3466,0.3521,0.0108,0.353,0.4604,0.3271,0.2523,-0.2333,0.5011,0.9558,-0.8474,67.0,19.5,13.5,2022
LSTM,v1,WF2022,global,GLOBAL,1757,-0.897,-0.9445,0.3944,-1.0029,-0.9607,0.3507,0.3451,0.0323,0.362,0.3947,0.3881,0.2694,-0.7906,0.4813,0.8447,-0.9626,45.6,33.1,21.3,2022
CNN,v1,WF2022,global,GLOBAL,1757,0.5776,5.5047,0.136,0.5406,4.7721,0.3751,0.3425,0.0407,0.3215,0.4405,0.3883,0.2966,0.6146,0.5271,1.1404,-0.4516,42.7,33.9,23.3,2022
CNN-LSTM,v1,WF2022,global,GLOBAL,1757,-0.2758,-0.599,0.2538,-0.343,-0.6791,0.3692,0.3209,0.0346,0.3395,0.4099,0.3642,0.3336,-0.2085,0.5035,0.9583,-0.7052,44.4,27.7,27.9,2022
LR,v1,WF2023,global,GLOBAL,1750,-0.0295,-0.0497,0.2749,-0.1685,-0.2528,0.3304,0.3304,0.0,0.3707,0.1553,0.5579,0.278,0.1097,0.4984,1.034,-0.4054,6.7,63.9,29.4,2023
XGBoost,v1,WF2023,global,GLOBAL,1750,-0.7296,-0.7452,0.4577,-0.943,-0.8293,0.3288,0.3345,0.0067,0.3515,0.2081,0.5365,0.2418,-0.5158,0.4944,0.8598,-0.6885,13.7,59.0,27.4,2023
LSTM,v1,WF2023,global,GLOBAL,1750,-1.1536,-0.896,0.1874,-1.237,-0.9117,0.2953,0.2738,0.0486,0.3411,0.1241,0.4564,0.3054,-1.0701,0.4507,0.7717,-0.8882,4.5,45.0,50.5,2023
CNN,v1,WF2023,global,GLOBAL,1750,0.5127,1.6764,0.2006,0.4215,1.2456,0.3516,0.3388,0.0167,0.3531,0.2751,0.4968,0.2827,0.6038,0.5244,1.1681,-0.4392,17.5,50.7,31.8,2023
CNN-LSTM,v1,WF2023,global,GLOBAL,1750,-1.1466,-0.8812,0.1686,-1.2256,-0.8975,0.2972,0.3066,0.0143,0.3646,0.0957,0.4926,0.3032,-1.0673,0.4705,0.747,-0.8835,3.6,52.5,43.9,2023
LR,v1,WF2024,global,GLOBAL,1764,-0.4084,-0.6257,0.2528,-0.5009,-0.7005,0.3259,0.3259,0.0,0.304,0.1366,0.4157,0.4252,-0.3158,0.469,0.9294,-0.6664,6.1,34.1,59.8,2024
XGBoost,v1,WF2024,global,GLOBAL,1764,0.5069,2.0699,0.487,0.3128,0.998,0.3688,0.3632,0.0039,0.3343,0.256,0.4538,0.3966,0.7008,0.5084,1.1875,-0.2726,14.7,42.7,42.6,2024
LSTM,v1,WF2024,global,GLOBAL,1764,-0.2639,-0.3366,0.1298,-0.3375,-0.4084,0.299,0.2902,0.0271,0.269,0.175,0.543,0.1789,-0.1903,0.4783,0.9302,-0.5209,10.4,77.8,11.8,2024
CNN,v1,WF2024,global,GLOBAL,1764,-0.252,-0.3685,0.131,-0.3151,-0.4374,0.3331,0.3139,0.0221,0.2474,0.2399,0.5155,0.2438,-0.1888,0.521,0.9417,-0.5844,15.9,66.3,17.9,2024
CNN-LSTM,v1,WF2024,global,GLOBAL,1764,-0.8471,-0.7795,0.1111,-0.9017,-0.8001,0.3062,0.3085,0.0194,0.2488,0.112,0.5216,0.2851,-0.7924,0.4596,0.7676,-0.7907,6.0,69.2,24.8,2024
LR,v1,WF2025,global,GLOBAL,1736,0.4727,2.2934,0.3825,0.341,1.363,0.3727,0.3727,0.0,0.2984,0.2765,0.4615,0.3801,0.6043,0.5095,1.1532,-0.4501,20.0,36.5,43.5,2025
XGBoost,v1,WF2025,global,GLOBAL,1736,0.3936,1.8191,0.6008,0.1955,0.6735,0.3633,0.3567,0.0082,0.3676,0.3168,0.3744,0.3988,0.5916,0.49,1.1392,-0.6523,25.2,25.2,49.6,2025
LSTM,v1,WF2025,global,GLOBAL,1736,-0.1151,-0.25,0.163,-0.1717,-0.349,0.3712,0.3485,0.0174,0.3569,0.3513,0.4891,0.2731,-0.0585,0.4976,0.9861,-0.698,34.7,40.0,25.3,2025
CNN,v1,WF2025,global,GLOBAL,1736,0.2157,0.7,0.0714,0.1905,0.5978,0.3498,0.3325,0.0286,0.352,0.1592,0.4765,0.4138,0.2409,0.4986,1.06,-0.5014,7.9,39.8,52.3,2025
CNN-LSTM,v1,WF2025,global,GLOBAL,1736,-0.2999,-0.5223,0.0829,-0.329,-0.5554,0.3438,0.3372,0.0274,0.3386,0.136,0.4921,0.4034,-0.2707,0.4857,0.9359,-0.7141,6.5,41.4,52.1,2025
