modelo,tecnica,extra,f1,sharpe,win_rate,pf,max_dd,signal_buy,signal_hold,signal_sell
LR,baseline,,0.4036,0.8946,0.5203,1.2695,-0.453,20.737327188940093,51.728110599078335,27.534562211981566
LR,isotonic,,0.3575,0.3031,0.5054,1.0949,-0.4005,28.744239631336406,62.84562211981567,8.410138248847925
LR,threshold,τ=0.200,0.2563,1.1765,0.6203,2.8536,-0.1514,2.9377880184331797,95.44930875576037,1.6129032258064515
LR,iso+threshold,τ=0.525,0.2458,0.8048,0.5271,1.1652,-0.4623,63.76728110599078,0.0,36.23271889400922
XGBoost,baseline,,0.3591,0.462,0.4908,1.1111,-0.4985,26.900921658986178,31.105990783410135,41.99308755760369
XGBoost,isotonic,,0.3711,0.5958,0.5155,1.1995,-0.317,19.12442396313364,60.88709677419355,19.98847926267281
XGBoost,threshold,τ=0.275,0.3786,0.8093,0.507,1.2591,-0.3698,18.663594470046082,54.78110599078341,26.555299539170505
XGBoost,iso+threshold,τ=0.625,0.2443,0.3203,0.4971,1.0627,-0.51,58.813364055299544,0.0,41.18663594470046
LSTM,baseline,,0.3688,-0.3451,0.4901,0.9225,-0.6758,18.14516129032258,35.8294930875576,46.025345622119815
LSTM,isotonic,,0.3126,0.1231,0.5204,1.0535,-0.3974,16.93548387096774,81.62442396313364,1.4400921658986174
LSTM,threshold,τ=0.300,0.341,-0.4701,0.4864,0.8465,-0.6843,11.52073732718894,72.40783410138249,16.071428571428573
LSTM,iso+threshold,τ=0.250,0.218,-0.2579,0.375,0.7562,-0.332,2.7649769585253456,97.23502304147466,0.0
CNN,baseline,,0.359,-0.4592,0.4842,0.9001,-0.725,15.552995391705068,34.56221198156682,49.88479262672811
CNN,isotonic,,0.3124,0.481,0.5018,1.2475,-0.4275,10.829493087557603,84.1589861751152,5.011520737327189
CNN,threshold,τ=0.200,0.2379,0.0463,0.5286,1.041,-0.2926,1.0368663594470047,95.96774193548387,2.995391705069124
CNN,iso+threshold,τ=0.325,0.3029,0.3784,0.502,1.2017,-0.4051,10.829493087557603,85.65668202764977,3.513824884792627
CNN-LSTM,baseline,,0.3723,-0.0739,0.4844,0.9824,-0.6213,33.00691244239631,39.22811059907834,27.764976958525345
CNN-LSTM,isotonic,,0.3053,0.3319,0.5228,1.1493,-0.2877,18.89400921658986,81.04838709677419,0.0576036866359447
CNN-LSTM,threshold,τ=0.200,0.2517,0.619,0.5052,1.6069,-0.1642,5.126728110599078,94.41244239631337,0.4608294930875576
CNN-LSTM,iso+threshold,τ=0.225,0.1996,-0.7364,0.1429,0.096,-0.1858,0.4032258064516129,99.59677419354838,0.0
