combo,modelo,f1,sharpe,win_rate,profit_factor,max_dd,signal_buy,signal_hold,signal_sell
"baseline (h=1d, 30/70, base features)",LR,0.3899,0.6841,0.5161,1.2141,-0.4208,16.71,56.85,26.43
"baseline (h=1d, 30/70, base features)",XGBoost,0.3683,0.5606,0.4983,1.1392,-0.5741,21.52,33.72,44.77
"h=5d, 25/75, base features",LR,0.4296,1.1485,0.5284,1.2817,-0.9017,13.87,39.92,46.21
"h=5d, 25/75, base features",XGBoost,0.3563,-0.13,0.4592,0.9723,-0.9809,12.87,39.45,47.68
"h=5d, 30/70, base features",LR,0.4143,1.2888,0.5342,1.316,-0.8899,15.52,38.04,46.44
"h=5d, 30/70, base features",XGBoost,0.3421,0.3873,0.4777,1.0766,-0.9572,15.99,20.99,63.02
"h=1d, 30/70, base + interactions",LR,0.4125,0.9155,0.5316,1.2939,-0.523,16.02,57.03,26.95
"h=1d, 30/70, base + interactions",XGBoost,0.3831,0.2093,0.5082,1.0498,-0.4965,21.86,33.31,44.82
"h=5d, 25/75, base + interactions",LR,0.4303,1.1848,0.5265,1.2836,-0.9109,14.29,36.68,49.03
"h=5d, 25/75, base + interactions",XGBoost,0.3771,1.0797,0.4968,1.2589,-0.8999,12.99,36.1,50.91
"h=5d, 30/70, base + interactions",LR,0.4161,1.3925,0.5284,1.3359,-0.9155,15.99,34.8,49.21
"h=5d, 30/70, base + interactions",XGBoost,0.3381,0.3623,0.4699,1.072,-0.9555,14.64,21.81,63.55
"h=5d, 25/75, base + inter + crossasset",LR,0.4319,1.1483,0.5278,1.2776,-0.9112,14.87,38.74,46.38
"h=5d, 25/75, base + inter + crossasset",XGBoost,0.39,1.2612,0.5126,1.3188,-0.8842,12.76,39.33,47.91
"h=10d, 33/67, base + interactions",LR,0.4081,1.3413,0.521,1.2984,-0.995,17.59,26.95,55.46
"h=10d, 33/67, base + interactions",XGBoost,0.3207,0.8162,0.4913,1.1558,-0.9994,16.87,10.32,72.81
