horizonte_d,q_lo,q_hi,f1,sharpe,win_rate,profit_factor,max_dd,signal_buy,signal_hold,signal_sell,n_train,n_test
1,0.25,0.75,0.4105,0.7205,0.5206,1.2241,-0.4785,14.86,56.45,28.69,10563,1729
1,0.3,0.7,0.3899,0.6841,0.5161,1.2141,-0.4208,16.71,56.85,26.43,10563,1729
1,0.33,0.67,0.3885,0.7589,0.5227,1.2369,-0.4492,16.71,55.41,27.88,10563,1729
1,0.4,0.6,0.3451,0.7351,0.5232,1.2237,-0.4285,18.74,53.79,27.47,10563,1729
3,0.25,0.75,0.4088,0.808,0.5109,1.2193,-0.8174,13.29,49.21,37.49,10563,1715
3,0.3,0.7,0.4052,1.0562,0.5206,1.2917,-0.8318,14.75,47.7,37.55,10563,1715
3,0.33,0.67,0.4041,0.9773,0.5191,1.2672,-0.7435,14.81,48.22,36.97,10563,1715
3,0.4,0.6,0.3624,1.3189,0.5305,1.3882,-0.7215,15.74,50.32,33.94,10563,1715
5,0.25,0.75,0.4296,1.1485,0.5284,1.2817,-0.9017,13.87,39.92,46.21,10563,1701
5,0.3,0.7,0.4143,1.2888,0.5342,1.316,-0.8899,15.52,38.04,46.44,10563,1701
5,0.33,0.67,0.4041,1.0261,0.5216,1.2407,-0.8971,15.05,36.1,48.85,10563,1701
5,0.4,0.6,0.3952,1.3018,0.533,1.3087,-0.9107,17.93,34.16,47.91,10563,1701
10,0.25,0.75,0.4003,1.1746,0.5192,1.2654,-0.9939,16.87,31.21,51.92,10563,1666
10,0.3,0.7,0.4019,1.0193,0.5115,1.2232,-0.9956,17.59,29.59,52.82,10563,1666
10,0.33,0.67,0.4164,1.2046,0.5269,1.2723,-0.991,18.25,30.85,50.9,10563,1666
10,0.4,0.6,0.3981,1.0902,0.5316,1.2552,-0.9875,18.13,36.31,45.56,10563,1666
