horizonte_d,q_lo,q_hi,f1,sharpe,win_rate,profit_factor,max_dd,signal_buy,signal_hold,signal_sell,n_test
2,0.2,0.8,0.4181,0.7199,0.5213,1.2051,-0.5932,12.78,53.66,33.57,1722
2,0.25,0.75,0.4097,0.8454,0.5154,1.2433,-0.5911,14.75,52.9,32.35,1722
2,0.3,0.7,0.3952,0.9671,0.5138,1.2777,-0.5923,16.14,51.51,32.35,1722
5,0.2,0.8,0.4239,1.1603,0.534,1.2972,-0.9114,13.76,44.74,41.5,1701
5,0.25,0.75,0.4296,1.1485,0.5284,1.2817,-0.9017,13.87,39.92,46.21,1701
5,0.3,0.7,0.4143,1.2888,0.5342,1.316,-0.8899,15.52,38.04,46.44,1701
7,0.2,0.8,0.4187,1.4314,0.539,1.3506,-0.9601,15.53,36.87,47.6,1687
7,0.25,0.75,0.4253,1.5119,0.5482,1.3719,-0.9583,16.54,36.1,47.36,1687
7,0.3,0.7,0.4296,1.1805,0.535,1.2703,-0.9669,16.78,32.19,51.04,1687
10,0.2,0.8,0.4004,1.1451,0.5277,1.2665,-0.9862,16.09,35.05,48.86,1666
10,0.25,0.75,0.4003,1.1746,0.5192,1.2654,-0.9939,16.87,31.21,51.92,1666
10,0.3,0.7,0.4019,1.0193,0.5115,1.2232,-0.9956,17.59,29.59,52.82,1666
