modelo,tipo,ticker,experimento,lookback,val_f1_macro,test_f1_macro,test_f1_buy,test_f1_sell,test_f1_buy_sell_avg,signal_pct_buy,signal_pct_hold,signal_pct_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test
CNN-LSTM,por_ticker,AAPL,A,20,0.4073,0.3407,0.2479,0.3536,0.3007,20.2,30.6,49.2,0.0956,-0.4438,0.221,-0.2318,0.4505,1.0495
CNN-LSTM,por_ticker,NVDA,A,20,0.3225,0.2564,0.1991,0.0,0.0995,14.2,85.4,0.4,0.205,-2.5321,0.471,-0.1657,0.5571,1.2098
CNN-LSTM,por_ticker,TSLA,A,20,0.3693,0.3351,0.3491,0.1413,0.2452,25.8,65.0,9.2,1.2399,0.5084,1.0468,-0.4547,0.506,1.3761
CNN-LSTM,por_ticker,AMZN,A,20,0.3312,0.3027,0.1778,0.1604,0.1691,7.7,83.3,9.0,-0.1845,-0.7444,-0.7911,-0.2254,0.4375,0.7195
CNN-LSTM,por_ticker,MSFT,A,20,0.3247,0.3027,0.3497,0.0,0.1748,32.1,67.3,0.6,-0.057,-0.389,-0.2566,-0.1974,0.5096,0.926
CNN-LSTM,por_ticker,GOOGL,A,20,0.368,0.3255,0.2562,0.2612,0.2587,19.4,50.0,30.6,-0.3576,-1.6523,-1.0211,-0.4965,0.5083,0.7839
CNN-LSTM,por_ticker,META,A,20,0.3707,0.2844,0.2316,0.0494,0.1405,11.9,86.0,2.1,0.2015,-0.6606,0.608,-0.1493,0.6269,1.357
CNN-LSTM,por_ticker,AAPL,B,20,0.3144,0.3035,0.3111,0.0494,0.1802,33.3,61.0,5.7,0.1913,0.0251,0.9082,-0.1306,0.573,1.3723
CNN-LSTM,por_ticker,NVDA,B,20,0.332,0.2468,0.3584,0.2014,0.2799,49.1,12.7,38.2,-0.3861,-0.6872,-1.1365,-0.5065,0.4472,0.801
CNN-LSTM,por_ticker,TSLA,B,20,0.3587,0.284,0.3978,0.2621,0.33,53.5,11.0,35.5,-0.2329,-0.367,-0.4726,-0.3416,0.4581,0.9171
CNN-LSTM,por_ticker,AMZN,B,20,0.4432,0.374,0.3252,0.3636,0.3444,25.9,29.4,44.7,-0.1238,-0.1858,-0.5176,-0.217,0.4783,0.9
CNN-LSTM,por_ticker,MSFT,B,20,0.3103,0.2995,0.3378,0.0,0.1689,37.7,61.4,0.9,-0.1774,-0.3488,-1.5964,-0.1952,0.4545,0.6227
CNN-LSTM,por_ticker,GOOGL,B,20,0.3624,0.3422,0.4654,0.3353,0.4003,39.5,13.2,47.4,-0.4758,-1.1435,-2.2884,-0.586,0.4293,0.6526
CNN-LSTM,por_ticker,META,B,20,0.3304,0.3322,0.4,0.0732,0.2366,42.5,54.4,3.1,0.229,0.157,0.9876,-0.2441,0.6058,1.3034
CNN-LSTM,por_ticker,AAPL,C,20,0.2959,0.2973,0.2157,0.0732,0.1444,18.9,75.0,6.1,0.188,0.0218,1.0412,-0.0847,0.5263,1.6243
CNN-LSTM,por_ticker,NVDA,C,20,0.2676,0.2779,0.3822,0.2278,0.305,71.9,16.2,11.8,-0.0466,-0.3478,-0.1383,-0.4145,0.5183,0.9753
CNN-LSTM,por_ticker,TSLA,C,20,0.4128,0.3081,0.369,0.2695,0.3193,45.6,20.6,33.8,0.0142,-0.1199,0.0265,-0.3979,0.4862,1.005
CNN-LSTM,por_ticker,AMZN,C,20,0.3273,0.3076,0.0571,0.3563,0.2067,2.6,53.5,43.9,0.1653,0.1033,0.6609,-0.1495,0.5377,1.1858
CNN-LSTM,por_ticker,MSFT,C,20,0.3742,0.4053,0.3586,0.3419,0.3503,36.4,41.7,21.9,-0.0293,-0.2007,-0.1923,-0.1337,0.4962,0.9573
CNN-LSTM,por_ticker,GOOGL,C,20,0.2847,0.363,0.1667,0.3419,0.2543,6.6,70.6,22.8,0.1321,-0.5356,0.7344,-0.1312,0.5224,1.2585
CNN-LSTM,por_ticker,META,C,20,0.2134,0.2607,0.0,0.4964,0.2482,0.0,12.7,87.3,0.5014,0.4294,1.2859,-0.1842,0.5025,1.3019
CNN-LSTM,por_ticker,AAPL,A,60,0.4184,0.3364,0.2891,0.2478,0.2684,29.5,48.0,22.5,-0.3747,-0.7763,-1.397,-0.4866,0.4672,0.702
CNN-LSTM,por_ticker,NVDA,A,60,0.3468,0.2674,0.1341,0.1006,0.1174,8.0,85.2,6.8,-0.1773,-3.0743,-0.5321,-0.3036,0.4769,0.7698
CNN-LSTM,por_ticker,TSLA,A,60,0.3681,0.3249,0.2258,0.3767,0.3012,10.2,33.0,56.8,-0.715,-1.4452,-1.2806,-0.76,0.4847,0.7579
CNN-LSTM,por_ticker,AMZN,A,60,0.336,0.3371,0.1871,0.3108,0.249,8.6,54.8,36.6,-0.0498,-0.5139,-0.1453,-0.2369,0.5176,0.9632
CNN-LSTM,por_ticker,MSFT,A,60,0.2011,0.2161,0.0,0.4737,0.2368,0.0,10.5,89.5,-0.3187,-0.7318,-1.0179,-0.3464,0.4518,0.8206
CNN-LSTM,por_ticker,GOOGL,A,60,0.33,0.302,0.3422,0.028,0.1851,29.1,68.6,2.3,-0.0209,-0.8088,-0.0672,-0.2298,0.5435,0.9786
CNN-LSTM,por_ticker,META,A,60,0.303,0.3042,0.3488,0.0,0.1744,30.9,69.1,0.0,0.1651,-0.8995,0.5432,-0.1329,0.5515,1.1865
CNN-LSTM,por_ticker,AAPL,B,60,0.2989,0.3127,0.3363,0.0645,0.2004,36.2,60.1,3.7,-0.1603,-0.2221,-1.1104,-0.2671,0.48,0.7129
