modelo,tipo,ticker,experimento,C,val_f1_macro,val_f1_buy,val_f1_sell,test_f1_macro,test_f1_buy,test_f1_sell,test_f1_buy_sell_avg,signal_pct_buy,signal_pct_hold,signal_pct_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test
LogisticRegression,por_ticker,AAPL,A,0.001,0.3796,0.3812,0.254,0.347,0.3653,0.1949,0.2801,36.4,46.2,17.4,0.2329,0.163,0.4922,-0.2715,0.5428,1.1207
LogisticRegression,por_ticker,NVDA,A,0.001,0.3517,0.3778,0.2809,0.3789,0.3522,0.2846,0.3184,29.8,45.4,24.8,2.9131,2.2668,1.7558,-0.2244,0.5897,1.5115
LogisticRegression,por_ticker,TSLA,A,0.001,0.3429,0.2276,0.3323,0.3193,0.2335,0.3305,0.282,21.0,37.4,41.6,-0.1443,0.2344,-0.1563,-0.618,0.492,0.9674
LogisticRegression,por_ticker,AMZN,A,0.001,0.293,0.3709,0.099,0.3405,0.4011,0.1538,0.2775,42.2,46.2,11.6,0.9404,1.0488,1.1522,-0.1961,0.513,1.3116
LogisticRegression,por_ticker,MSFT,A,1.0,0.3537,0.4399,0.2528,0.3588,0.3437,0.2731,0.3084,43.2,37.0,19.8,0.2204,0.0765,0.3966,-0.3195,0.5238,1.0879
LogisticRegression,por_ticker,GOOGL,A,1.0,0.3519,0.4444,0.181,0.3464,0.3927,0.1361,0.2644,35.2,56.2,8.6,0.5692,0.6058,0.9446,-0.1481,0.5205,1.2826
LogisticRegression,por_ticker,META,A,0.01,0.3704,0.4022,0.2622,0.3499,0.3444,0.2973,0.3208,32.2,39.4,28.4,0.2239,0.1783,0.2524,-0.4149,0.5017,1.0678
LogisticRegression,por_ticker,AAPL,B,0.1,0.3606,0.359,0.2794,0.417,0.3934,0.2899,0.3416,23.4,51.6,25.0,-0.2941,-0.8505,-2.6576,-0.3403,0.4,0.5203
LogisticRegression,por_ticker,NVDA,B,0.1,0.3485,0.3727,0.2581,0.4043,0.3699,0.3407,0.3553,31.5,38.7,29.8,0.1808,-2.2802,0.4254,-0.2751,0.5526,1.1065
LogisticRegression,por_ticker,TSLA,B,0.1,0.3099,0.3509,0.3704,0.2532,0.2338,0.2759,0.2548,34.3,24.2,41.5,1.1338,-0.2083,1.5825,-0.1802,0.5372,1.3514
LogisticRegression,por_ticker,AMZN,B,0.001,0.3378,0.3077,0.2017,0.3389,0.4043,0.2326,0.3184,46.8,32.7,20.6,0.1138,-0.6735,0.4431,-0.281,0.503,1.0913
LogisticRegression,por_ticker,MSFT,B,0.01,0.3223,0.2805,0.2439,0.3257,0.3352,0.1803,0.2578,44.8,36.3,19.0,0.5648,-0.0155,2.1821,-0.0831,0.6013,1.5762
LogisticRegression,por_ticker,GOOGL,B,0.001,0.3272,0.3681,0.1386,0.3959,0.4,0.193,0.2965,33.1,50.0,16.9,0.1362,-0.4373,0.5981,-0.106,0.5323,1.1544
LogisticRegression,por_ticker,META,B,1.0,0.3544,0.3407,0.2464,0.3516,0.3737,0.288,0.3309,50.8,31.0,18.1,0.1801,-1.6924,0.6957,-0.3002,0.5263,1.1448
LogisticRegression,por_ticker,AAPL,C,0.001,0.318,0.3881,0.2344,0.3385,0.427,0.1441,0.2856,46.0,39.9,14.1,0.5467,0.1446,2.5834,-0.1051,0.6242,1.7826
LogisticRegression,por_ticker,NVDA,C,0.1,0.3479,0.3729,0.3019,0.3959,0.3034,0.3256,0.3145,31.0,41.5,27.4,1.4883,-0.4176,2.3176,-0.1768,0.5931,1.6871
LogisticRegression,por_ticker,TSLA,C,0.001,0.2309,0.3478,0.3448,0.296,0.3372,0.2194,0.2783,41.5,24.6,33.9,0.8354,0.0073,1.1078,-0.3338,0.4813,1.2542
LogisticRegression,por_ticker,AMZN,C,0.01,0.3218,0.3097,0.2793,0.3377,0.3117,0.2667,0.2892,33.1,44.0,23.0,-0.2448,-0.7591,-1.2674,-0.2583,0.3885,0.7388
LogisticRegression,por_ticker,MSFT,C,0.001,0.3389,0.3043,0.243,0.3418,0.3667,0.1468,0.2567,45.2,41.1,13.7,0.0094,-0.1807,0.058,-0.1462,0.5205,1.0128
LogisticRegression,por_ticker,GOOGL,C,0.01,0.3317,0.2945,0.3291,0.4254,0.4211,0.3312,0.3761,29.8,35.9,34.3,0.061,-0.3598,0.2468,-0.2085,0.5157,1.0566
LogisticRegression,por_ticker,META,C,0.01,0.3812,0.3669,0.3922,0.3114,0.3656,0.237,0.3013,46.0,31.9,22.2,0.0869,-0.6621,0.3439,-0.2689,0.4793,1.0733
LogisticRegression,global,GLOBAL,A,0.001,0.344,,,0.3562,0.3784,0.1988,0.2886,38.7,47.1,14.2,2.9708,-4.7714,0.2952,-0.5358,0.507,1.0748
LogisticRegression,global,GLOBAL,B,0.01,0.3284,,,0.3912,0.3838,0.2909,0.3373,38.4,40.5,21.1,1.1542,-112.3555,0.3278,-0.5511,0.4898,1.0807
LogisticRegression,global,GLOBAL,C,0.1,0.3389,,,0.3748,0.3828,0.2728,0.3278,41.5,38.2,20.3,1.4533,-19.3361,0.4279,-0.3887,0.521,1.1102
