modelo,tipo,ticker,experimento,lookback,val_f1_macro,test_f1_macro,test_f1_buy,test_f1_sell,test_f1_buy_sell_avg,signal_pct_buy,signal_pct_hold,signal_pct_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test
LSTM,por_ticker,AAPL,A,20,0.4048,0.3287,0.2041,0.2569,0.2305,12.3,57.5,30.2,-0.3983,-0.9377,-1.8344,-0.4318,0.3922,0.6271
LSTM,por_ticker,NVDA,A,20,0.2534,0.203,0.0274,0.0,0.0137,0.6,99.4,0.0,0.0129,-2.7243,0.272,-0.0182,0.3333,1.6969
LSTM,por_ticker,TSLA,A,20,0.2624,0.271,0.0,0.303,0.1515,0.0,74.2,25.8,-0.6146,-1.3461,-1.6676,-0.6409,0.4194,0.5797
LSTM,por_ticker,AMZN,A,20,0.2679,0.281,0.4169,0.4261,0.4215,34.2,0.0,65.8,0.277,-0.2829,0.4038,-0.2633,0.5167,1.0737
LSTM,por_ticker,MSFT,A,20,0.3163,0.3287,0.2982,0.4314,0.3648,20.0,15.2,64.8,0.0306,-0.3014,0.0823,-0.2186,0.4988,1.0157
LSTM,por_ticker,GOOGL,A,20,0.347,0.324,0.296,0.1356,0.2158,21.0,72.1,6.9,0.1258,-1.169,0.3607,-0.1836,0.5746,1.1204
LSTM,por_ticker,META,A,20,0.3328,0.2581,0.2139,0.0,0.107,11.2,88.8,0.0,-0.0907,-0.9528,-0.4651,-0.181,0.5926,0.8005
LSTM,por_ticker,AAPL,B,20,0.3495,0.3605,0.3852,0.2114,0.2983,33.3,42.5,24.1,-0.2339,-0.4001,-1.1734,-0.2934,0.4656,0.7283
LSTM,por_ticker,NVDA,B,20,0.2437,0.2093,0.33,0.2979,0.3139,61.0,0.0,39.0,-0.3402,-0.6413,-0.8981,-0.4731,0.4737,0.8494
LSTM,por_ticker,TSLA,B,20,0.1741,0.1461,0.4384,0.0,0.2192,100.0,0.0,0.0,0.1341,0.0,0.2149,-0.4819,0.5088,1.0376
LSTM,por_ticker,AMZN,B,20,0.3045,0.296,0.4062,0.0267,0.2165,56.1,43.4,0.4,-0.0918,-0.1538,-0.4685,-0.2233,0.4961,0.901
LSTM,por_ticker,MSFT,B,20,0.3577,0.3618,0.2903,0.2655,0.2779,27.2,52.6,20.2,0.1562,-0.0152,1.0409,-0.1071,0.5741,1.316
LSTM,por_ticker,GOOGL,B,20,0.2996,0.3297,0.4103,0.0,0.2051,38.2,61.8,0.0,0.1733,-0.4945,0.7494,-0.2493,0.5057,1.2363
LSTM,por_ticker,META,B,20,0.2994,0.3145,0.1127,0.4,0.2563,3.5,46.1,50.4,0.0313,-0.0407,0.1274,-0.1973,0.4634,1.0327
