modelo,tipo,ticker,experimento,val_f1_macro,val_f1_buy,val_f1_sell,test_f1_macro,test_f1_buy,test_f1_sell,test_f1_buy_sell_avg,signal_pct_buy,signal_pct_hold,signal_pct_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test
XGBoost,por_ticker,AAPL,A,0.3879,0.3322,0.2974,0.3675,0.3095,0.3236,0.3166,22.2,45.8,32.0,0.5623,0.0774,0.939,-0.1705,0.5203,1.2785
XGBoost,por_ticker,NVDA,A,0.4062,0.3824,0.3916,0.3754,0.3116,0.3425,0.327,24.8,45.4,29.8,1.5477,-1.3479,1.1032,-0.4417,0.5421,1.2945
XGBoost,por_ticker,TSLA,A,0.3886,0.3776,0.3321,0.3681,0.3258,0.3419,0.3338,22.4,45.4,32.2,0.7622,-0.067,0.5828,-0.5197,0.5604,1.1485
XGBoost,por_ticker,AMZN,A,0.3615,0.4216,0.2469,0.3837,0.32,0.3121,0.316,25.4,48.2,26.4,0.0735,-0.4774,0.1376,-0.2766,0.4942,1.0343
XGBoost,por_ticker,MSFT,A,0.3897,0.4236,0.2393,0.3404,0.3631,0.1468,0.2549,39.4,47.0,13.6,-0.1483,-0.4824,-0.4424,-0.3089,0.5245,0.8949
XGBoost,por_ticker,GOOGL,A,0.4103,0.4321,0.3013,0.3987,0.3505,0.3659,0.3582,27.2,39.0,33.8,0.0447,-1.244,0.0887,-0.2312,0.518,1.0195
XGBoost,por_ticker,META,A,0.3883,0.3853,0.3333,0.4131,0.3897,0.3544,0.3721,26.2,41.4,32.4,0.7482,-0.1883,0.8482,-0.3352,0.5017,1.2388
XGBoost,por_ticker,AAPL,B,0.4026,0.3846,0.3892,0.3594,0.2797,0.3231,0.3014,31.9,46.4,21.8,-0.0653,-0.1902,-0.2376,-0.3458,0.4962,0.9367
XGBoost,por_ticker,NVDA,B,0.4175,0.3485,0.4204,0.3476,0.2903,0.381,0.3356,22.6,25.8,51.6,0.6251,0.2688,1.1621,-0.3939,0.5652,1.2666
XGBoost,por_ticker,TSLA,B,0.3978,0.3623,0.3727,0.3872,0.3439,0.366,0.355,35.5,31.5,33.1,0.62,0.4219,0.8848,-0.3328,0.5588,1.201
XGBoost,por_ticker,AMZN,B,0.439,0.3459,0.4472,0.4033,0.403,0.3736,0.3883,25.0,33.1,41.9,0.082,0.0261,0.2546,-0.2859,0.512,1.0585
XGBoost,por_ticker,MSFT,B,0.3861,0.2537,0.3951,0.3669,0.3101,0.3487,0.3294,24.6,27.0,48.4,-0.2237,-0.3969,-1.1449,-0.3737,0.4309,0.7766
XGBoost,por_ticker,GOOGL,B,0.4056,0.3025,0.4581,0.3716,0.3741,0.3548,0.3645,24.6,29.4,46.0,0.0165,-0.6468,0.0574,-0.2636,0.52,1.0118
XGBoost,por_ticker,META,B,0.3562,0.2476,0.3776,0.3615,0.3008,0.3544,0.3276,24.6,44.0,31.5,0.3238,0.209,0.9169,-0.223,0.482,1.2607
XGBoost,por_ticker,AAPL,C,0.3965,0.3704,0.359,0.3862,0.2615,0.3597,0.3106,26.6,48.0,25.4,-0.1343,-0.2592,-0.5109,-0.3111,0.5504,0.87
XGBoost,por_ticker,NVDA,C,0.4012,0.3134,0.4121,0.3039,0.1849,0.2983,0.2416,20.6,31.0,48.4,-0.6055,-0.9618,-2.1165,-0.6562,0.4269,0.6238
XGBoost,por_ticker,TSLA,C,0.3791,0.3649,0.2812,0.3551,0.3724,0.3656,0.369,30.6,23.0,46.4,0.6596,0.4614,0.8989,-0.3393,0.555,1.195
XGBoost,por_ticker,AMZN,C,0.3848,0.2985,0.349,0.4239,0.3889,0.3648,0.3768,29.0,38.3,32.7,0.3692,0.3133,1.0679,-0.2466,0.549,1.2746
XGBoost,por_ticker,MSFT,C,0.3691,0.2308,0.3602,0.3604,0.304,0.3316,0.3178,23.0,31.9,45.2,-0.0944,-0.2676,-0.4548,-0.2368,0.4734,0.9006
XGBoost,por_ticker,GOOGL,C,0.4106,0.3252,0.3975,0.3456,0.3265,0.3353,0.3309,27.8,31.5,40.7,-0.1435,-0.8068,-0.5633,-0.2459,0.5,0.8881
XGBoost,por_ticker,META,C,0.3478,0.2887,0.4409,0.3351,0.2812,0.2927,0.287,22.6,43.5,33.9,0.0852,-0.0296,0.2577,-0.2365,0.4357,1.0666
XGBoost,global,GLOBAL,A,0.3954,,,0.3825,0.3465,0.3326,0.3395,27.7,39.1,33.3,1.7559,-94.2758,0.2114,-0.6727,0.5082,1.052
XGBoost,global,GLOBAL,B,0.3821,,,0.3694,0.3093,0.3693,0.3393,26.1,30.8,43.1,-0.4419,-3.641,-0.2284,-0.686,0.5067,0.9495
XGBoost,global,GLOBAL,C,0.3826,,,0.362,0.3044,0.3426,0.3235,22.8,32.1,45.1,-0.7988,-3.998,-0.6244,-0.8646,0.464,0.8678
